dataset,model,cal_size,test_size,n_classes,CatBoost_brier,CatBoost_logloss,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
MIC,Mitra_GPU,1132,567,8,0.18548021705223738,0.4766658900991351,0.026909422129392624,0.8871251940727234,1.0091431187465787
anneal,Mitra_GPU,598,300,5,0.017535296787916488,0.04344188474196323,0.02151184156537056,0.996666669845581,1.3393485778942704
maternal_health_risk,Mitra_GPU,676,338,3,0.19657824797797832,0.3780342142988537,0.04101799800992012,0.8757396340370178,0.46710909716784954
splice,Mitra_GPU,2126,1064,3,0.04248524479519202,0.08934028347214146,0.014094063080847263,0.972744345664978,0.9098140308633447
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.31531719934154173,0.5608803576809066,0.02061792090535164,0.7735593318939209,0.9571589082479477
website_phishing,Mitra_GPU,902,451,3,0.1173960007463588,0.21713336607900735,0.021606456488370895,0.9268292784690857,0.5355825824663043
MIC,TabDPT_GPU,1132,567,8,0.19180452697707806,0.49125366976111307,0.019704753533005714,0.8853615522384644,1.097651437856257
SDSS17,TabDPT_GPU,52035,26018,3,0.04056025396661371,0.08040848514212484,0.0021575470454990864,0.9752094745635986,12.295856106095016
anneal,TabDPT_GPU,598,300,5,0.016044645481547982,0.04632071276859824,0.006828421261161566,0.9900000095367432,1.848951691761613
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.0685829985476181,0.17662643967487382,0.0016444973880425096,0.9648985862731934,0.6602806448936462
maternal_health_risk,TabDPT_GPU,676,338,3,0.17602682194842187,0.34249705384582907,0.03983847051858902,0.8875739574432373,0.4983026525005698
splice,TabDPT_GPU,2126,1064,3,0.10022986012802118,0.18686623896942334,0.021366601809859276,0.932330846786499,0.8818940734490752
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.3250218379554053,0.5754879639673579,0.021847428753972054,0.7633898258209229,0.7443382432684302
website_phishing,TabDPT_GPU,902,451,3,0.11475671019508772,0.20783950761364461,0.0193256214261055,0.9290465712547302,0.7260910430923104
