dataset,model,cal_size,test_size,n_classes,SVS_brier,SVS_logloss,SVS_ece-15,SVS_accuracy,SVS_time
anneal,BetaTabPFN_GPU,598,300,5,0.014840562827885151,0.04757973179221153,0.004412034992128611,0.9933333396911621,0.015015482902526855
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.0683017298579216,0.17406147718429565,0.0003428459167480469,0.9648985862731934,0.026270519942045212
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.28248581290245056,0.49932968616485596,0.08421801775693893,0.8254438042640686,0.01880151405930519
splice,BetaTabPFN_GPU,2126,1064,3,0.04030713438987732,0.08645391464233398,0.019038019701838493,0.9736841917037964,0.025086915120482445
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.3194715082645416,0.5679587721824646,0.023430410772562027,0.7776271104812622,0.031011544167995453
website_phishing,BetaTabPFN_GPU,902,451,3,0.1299714744091034,0.2309878021478653,0.029189160093665123,0.9179601073265076,0.01751483604311943
MIC,ModernNCA_GPU,1132,567,8,0.18242934346199036,0.4549729526042938,0.03709166496992111,0.8888888955116272,0.027295708656311035
SDSS17,ModernNCA_GPU,52035,26018,3,0.038049086928367615,0.07498686015605927,0.0032882308587431908,0.9764009714126587,0.31661854684352875
anneal,ModernNCA_GPU,598,300,5,0.00826952699571848,0.03416978567838669,0.00532539002597332,0.996666669845581,0.01892913691699505
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06868237257003784,0.17735743522644043,0.003982372581958771,0.9648985862731934,0.033421291038393974
maternal_health_risk,ModernNCA_GPU,676,338,3,0.21321000158786774,0.39721181988716125,0.051696423441171646,0.857988178730011,0.03781837411224842
splice,ModernNCA_GPU,2126,1064,3,0.0482950285077095,0.10535936802625656,0.030015964061021805,0.9746240377426147,0.028373094275593758
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.3224637508392334,0.5704914927482605,0.029778972268104553,0.7776271104812622,0.034803640097379684
website_phishing,ModernNCA_GPU,902,451,3,0.12721581757068634,0.2263479232788086,0.02996404841542244,0.9246119856834412,0.02325952798128128
MIC,Mitra_GPU,1132,567,8,0.18257392942905426,0.4621564745903015,0.047064799815416336,0.8888888955116272,0.02856789529323578
anneal,Mitra_GPU,598,300,5,0.010059358552098274,0.03262385353446007,0.007939833216369152,0.996666669845581,0.014415204524993896
maternal_health_risk,Mitra_GPU,676,338,3,0.19374391436576843,0.38292744755744934,0.06898187845945358,0.8905325531959534,0.01654866151511669
splice,Mitra_GPU,2126,1064,3,0.04143422469496727,0.089079350233078,0.01991982012987137,0.972744345664978,0.022496987134218216
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.31291767954826355,0.5545004606246948,0.024526549503207207,0.7742372751235962,0.026874246075749397
website_phishing,Mitra_GPU,902,451,3,0.11788348108530045,0.21495342254638672,0.0352337621152401,0.9312638640403748,0.019593482837080956
MIC,TabDPT_GPU,1132,567,8,0.18913860619068146,0.4841487407684326,0.024484729394316673,0.8888888955116272,0.04043997451663017
SDSS17,TabDPT_GPU,52035,26018,3,0.04072580486536026,0.08175291866064072,0.0031907688826322556,0.9751710295677185,0.32049903459846973
anneal,TabDPT_GPU,598,300,5,0.011574947275221348,0.037213388830423355,0.0020014478359371424,0.9933333396911621,0.014881584793329239
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.06832234561443329,0.17448441684246063,0.0003925493801943958,0.9648985862731934,0.025539737194776535
maternal_health_risk,TabDPT_GPU,676,338,3,0.17887310683727264,0.35399481654167175,0.03164217621088028,0.8786982297897339,0.019461745396256447
splice,TabDPT_GPU,2126,1064,3,0.09808962792158127,0.1782199740409851,0.011692301370203495,0.9360902309417725,0.0240460317581892
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.3236841559410095,0.5706169009208679,0.017976125702261925,0.7640677690505981,0.024633929133415222
website_phishing,TabDPT_GPU,902,451,3,0.11651571840047836,0.2082589715719223,0.03752657026052475,0.9290465712547302,0.019096778705716133
