dataset,model,cal_size,test_size,n_classes,CIR_brier,CIR_logloss,CIR_ece-15,CIR_accuracy,CIR_time
website_phishing,RealTabPFN-v2.5,902,451,3,0.11412250275112334,0.34521253142310115,0.028090113773941994,0.9290465712547302,0.00539509579539299
MIC,TabICL_GPU,1132,567,8,0.19200464238771678,1.0394221372444596,0.03418537601828575,0.8835979104042053,0.015121329575777054
SDSS17,TabICL_GPU,52035,26018,3,0.03843251778740374,0.07801004635832771,0.0018785392167046666,0.9765162467956543,0.04336709529161453
anneal,TabICL_GPU,598,300,5,0.02122011278806946,0.25659396070563983,0.013304625637829304,0.9900000095367432,0.00816408172249794
maternal_health_risk,TabICL_GPU,676,338,3,0.18330922506893335,1.3024103443571833,0.03257234767079353,0.8846153616905212,0.005718313157558441
splice,TabICL_GPU,2126,1064,3,0.07452629913498938,0.1441848305454877,0.012847009114921093,0.951127827167511,0.006887909024953842
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.32274490946290774,0.6119026341897491,0.03334013745188713,0.7627118825912476,0.007845588028430939
website_phishing,TabICL_GPU,902,451,3,0.11152370501137739,0.33034499156172864,0.023416632786393166,0.9312638640403748,0.0055891238152980804
MIC,LimiX_GPU,1132,567,8,0.18725117326747925,1.3747145803034249,0.05070805922150612,0.8888888955116272,0.01477820798754692
anneal,LimiX_GPU,598,300,5,0.007788387237139,0.23400477640368914,0.006298822816461325,0.996666669845581,0.008078102022409439
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06820434424885011,0.17373306389918838,0.001350868376903236,0.9648985862731934,0.006427250802516937
maternal_health_risk,LimiX_GPU,676,338,3,0.18544215687891583,0.7362716892070558,0.038584835827350616,0.8934911489486694,0.005669537931680679
splice,LimiX_GPU,2126,1064,3,0.03393976320555654,0.13667422494012135,0.012027017772197723,0.9830827116966248,0.006678774952888489
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.3164742590054007,0.5999079648458828,0.02719259262084961,0.7701694965362549,0.007920321077108383
website_phishing,LimiX_GPU,902,451,3,0.11567749134556282,0.3434365427370487,0.024820031598210335,0.9268292784690857,0.005798090249300003
MIC,TabM_GPU,1132,567,8,0.18323886071237985,0.9045983673170765,0.043981701135635376,0.8906525373458862,0.014914751052856445
SDSS17,TabM_GPU,52035,26018,3,0.04059955382091991,0.08352954964284522,0.002034804318100214,0.9746329188346863,0.04866349324584007
anneal,TabM_GPU,598,300,5,0.00724209778572845,0.23212993327180315,0.00475847814232111,0.996666669845581,0.008046284317970276
hiva_agnostic,TabM_GPU,2563,1282,3,0.06830021807359325,0.17456336530676198,0.0003274679183959961,0.9648985862731934,0.006460174918174744
maternal_health_risk,TabM_GPU,676,338,3,0.2620689510999394,0.4720804766000396,0.06151195243000984,0.8224852085113525,0.005438458174467087
splice,TabM_GPU,2126,1064,3,0.042529599286788164,0.15131034866148005,0.010733922943472862,0.9736841917037964,0.006758350878953934
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.3193966396771167,0.5643989502995502,0.02479495480656624,0.7688135504722595,0.008387096226215363
website_phishing,TabM_GPU,902,451,3,0.12059921937271133,0.35175893613268616,0.035790279507637024,0.9268292784690857,0.0058625489473342896
MIC,RealMLP_GPU,1132,567,8,0.18380735087067993,0.9027694781320472,0.04209382086992264,0.8906525373458862,0.014926832169294357
SDSS17,RealMLP_GPU,52035,26018,3,0.04275970063185624,0.086082418257006,0.002202762058004737,0.9742870330810547,0.04896416887640953
anneal,RealMLP_GPU,598,300,5,0.013460772024950177,0.23971765798534217,0.009361300617456436,0.9900000095367432,0.007803268730640411
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06889251982772425,0.17755353062836632,0.0020853232126682997,0.9648985862731934,0.0064841583371162415
maternal_health_risk,RealMLP_GPU,676,338,3,0.21283424787511337,0.9652797632858126,0.08476399630308151,0.860946774482727,0.005729164928197861
splice,RealMLP_GPU,2126,1064,3,0.03936825867672719,0.08450539598045644,0.010408714413642883,0.9736841917037964,0.006747867912054062
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.316231110283868,0.6473179389371096,0.017824623733758926,0.7762711644172668,0.008034873753786087
website_phishing,RealMLP_GPU,902,451,3,0.11695823742862103,0.632252801905882,0.038781505078077316,0.9223946928977966,0.005680650472640991
MIC,BetaTabPFN_GPU,1132,567,8,0.18049565914580057,1.1173786953810974,0.036806948482990265,0.8888888955116272,0.014344785362482071
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.04782281600821218,0.09544155023484935,0.00291507039219141,0.9711738228797913,0.04629793018102646
anneal,BetaTabPFN_GPU,598,300,5,0.015224448115806123,0.4646233257726926,0.007816568948328495,0.9900000095367432,0.008211474865674973
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.0683242449119563,0.1741666010693523,0.0010659437393769622,0.9648985862731934,0.006589796394109726
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.28696401589527537,0.5019698728817975,0.077757827937603,0.8047337532043457,0.005740709602832794
splice,BetaTabPFN_GPU,2126,1064,3,0.039769752150879106,0.08218125854464717,0.012603896670043468,0.9746240377426147,0.006745137274265289
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.31974192293622866,0.6114862587461078,0.027531251311302185,0.7688135504722595,0.008157923817634583
website_phishing,BetaTabPFN_GPU,902,451,3,0.1293229304470778,0.36352340364847696,0.029973536729812622,0.9201774001121521,0.005620650947093964
MIC,ModernNCA_GPU,1132,567,8,0.1815961379296605,0.787191902068187,0.04421145096421242,0.8906525373458862,0.014721281826496124
SDSS17,ModernNCA_GPU,52035,26018,3,0.038064966457517474,0.07500865174508478,0.0022965315729379654,0.9762856364250183,0.045677199959754944
anneal,ModernNCA_GPU,598,300,5,0.006996451870285026,0.23192136750927014,0.004591075703501701,0.996666669845581,0.00810696929693222
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06866947637769386,0.17804588267801205,0.0023399873171001673,0.9648985862731934,0.006836544722318649
maternal_health_risk,ModernNCA_GPU,676,338,3,0.21708074733690064,1.1574448422692125,0.052216991782188416,0.8491124510765076,0.005608208477497101
splice,ModernNCA_GPU,2126,1064,3,0.04478722869073133,0.09674698074800267,0.022218555212020874,0.9746240377426147,0.006841979920864105
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.3242056802832786,0.5742967349175782,0.024708129465579987,0.7762711644172668,0.008044019341468811
website_phishing,ModernNCA_GPU,902,451,3,0.1308443216035044,0.6556243869011067,0.04170634597539902,0.9201774001121521,0.005678679794073105
MIC,Mitra_GPU,1132,567,8,0.18262121421921632,1.0165272437286519,0.04368020221590996,0.8906525373458862,0.015038948506116867
anneal,Mitra_GPU,598,300,5,0.0099749473890232,0.23952564513241115,0.010483759455382824,0.996666669845581,0.008032664656639099
maternal_health_risk,Mitra_GPU,676,338,3,0.19170993144043036,0.5600067906161481,0.05719573050737381,0.8905325531959534,0.005571775138378143
splice,Mitra_GPU,2126,1064,3,0.04146725888872705,0.08703293250429486,0.010938793420791626,0.9736841917037964,0.0068363286554813385
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.31430579212296517,0.6023857956305008,0.03410143405199051,0.7762711644172668,0.007997088134288788
website_phishing,Mitra_GPU,902,451,3,0.11765953751164647,0.3431363829181623,0.0369773767888546,0.9223946928977966,0.0056106820702552795
MIC,TabDPT_GPU,1132,567,8,0.19250398955540804,1.6079336029574112,0.04211008921265602,0.8871251940727234,0.014885559678077698
SDSS17,TabDPT_GPU,52035,26018,3,0.040685709896538635,0.08281641604204751,0.0020553225185722113,0.9750941395759583,0.0472673699259758
anneal,TabDPT_GPU,598,300,5,0.013323397685097096,0.4616196495759404,0.007692747749388218,0.9933333396911621,0.008144181221723557
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.0685247988969833,0.22900144687043192,0.0006662210798822343,0.9648985862731934,0.0066373310983181
maternal_health_risk,TabDPT_GPU,676,338,3,0.17666948710817615,1.104649760697606,0.0534389391541481,0.8846153616905212,0.005592290312051773
splice,TabDPT_GPU,2126,1064,3,0.09822460540718715,0.1796136529691413,0.012530766427516937,0.9360902309417725,0.0068582333624362946
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.3251516222349893,0.6147152660571846,0.02149149216711521,0.7620338797569275,0.00795057788491249
website_phishing,TabDPT_GPU,902,451,3,0.11465207874342528,0.33780078058493823,0.029906248673796654,0.9290465712547302,0.005664128810167313
