dataset,model,cal_size,test_size,n_classes,Hist-quantile_brier,Hist-quantile_logloss,Hist-quantile_ece-15,Hist-quantile_accuracy,Hist-quantile_time
anneal,Mitra_GPU,598,300,5,0.11086968261501319,0.19936319381172712,0.03600137308239937,0.9166666865348816,0.0027941311709582806
maternal_health_risk,Mitra_GPU,676,338,3,0.19929360559623632,1.3389167271319615,0.07795854657888412,0.8934911489486694,0.0017576892860233784
splice,Mitra_GPU,2126,1064,3,0.0717077316116107,0.24749842590766608,0.026334566995501518,0.951127827167511,0.0023058527149260044
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.31433308427781326,0.5604077798317026,0.02343079447746277,0.7688135504722595,0.0026206267066299915
website_phishing,Mitra_GPU,902,451,3,0.12434307970186928,0.35578329031661715,0.03093462809920311,0.9201774001121521,0.0018243431113660336
MIC,TabDPT_GPU,1132,567,8,0.19971280091094049,1.1797085278268615,0.03436673432588577,0.8800705671310425,0.004731789231300354
SDSS17,TabDPT_GPU,52035,26018,3,0.054718212798054666,0.11446062997742444,0.020186126232147217,0.964832067489624,0.018564295955002308
anneal,TabDPT_GPU,598,300,5,0.047120038413975183,0.08981813820556364,0.02183392643928528,0.9566666483879089,0.002761133946478367
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.06864834620659693,0.28092760320245097,0.0004988312721252441,0.9648985862731934,0.0025247540324926376
maternal_health_risk,TabDPT_GPU,676,338,3,0.1843509248657426,1.1020027417566443,0.025111686438322067,0.8846153616905212,0.0017415680922567844
splice,TabDPT_GPU,2126,1064,3,0.10601708282545026,0.24618421616991693,0.01812715455889702,0.9219924807548523,0.0022885771468281746
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.3269155897685616,0.5786120438452121,0.029158415272831917,0.7545762658119202,0.002617595251649618
website_phishing,TabDPT_GPU,902,451,3,0.1147072534677884,0.3485982442539085,0.02756267786026001,0.9334811568260193,0.001864749938249588
