dataset,model,cal_size,test_size,n_classes,Dirichlet_brier,Dirichlet_logloss,Dirichlet_ece-15,Dirichlet_accuracy,Dirichlet_time
SDSS17,TabICL_GPU,52035,26018,3,0.03815275406195845,0.07554211282583867,0.002451521111652255,0.9766700267791748,1.931813858449459
anneal,TabICL_GPU,598,300,5,0.02235741540274383,0.07025951288219934,0.010201023891568184,0.9833333492279053,1.1360930278897285
maternal_health_risk,TabICL_GPU,676,338,3,0.18193334346532725,0.36333206263696405,0.0457453578710556,0.8757396340370178,0.5009431801736355
splice,TabICL_GPU,2126,1064,3,0.07668584538861446,0.14320222281644474,0.014460746198892593,0.9483082890510559,0.4669184982776642
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.3212924346862297,0.565859938806186,0.026609772816300392,0.7688135504722595,0.47724664211273193
website_phishing,TabICL_GPU,902,451,3,0.11150391522197328,0.20009142012381637,0.024616602808237076,0.9334811568260193,0.6469728350639343
MIC,LimiX_GPU,1132,567,8,0.18799225493593535,0.48450428663073264,0.037816956639289856,0.8853615522384644,0.7076422311365604
anneal,LimiX_GPU,598,300,5,0.009099852977491078,0.057785887075338396,0.004144203383475542,0.9933333396911621,1.3821482919156551
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06820282745801284,0.17333856848905535,0.0009346604347229004,0.9648985862731934,0.4737055003643036
maternal_health_risk,LimiX_GPU,676,338,3,0.19181817784522165,0.3740286757534921,0.057677991688251495,0.88165682554245,0.5025137551128864
splice,LimiX_GPU,2126,1064,3,0.03792577481800097,0.08267983946064211,0.01441154908388853,0.9774436354637146,0.5781712159514427
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.31604385758827763,0.5572094740272018,0.03670632094144821,0.7769491672515869,0.47678693383932114
website_phishing,LimiX_GPU,902,451,3,0.11431157399477059,0.20761870318033068,0.028680764138698578,0.9290465712547302,0.6456970497965813
MIC,TabM_GPU,1132,567,8,0.1803619706188264,0.45244488388853804,0.03963962197303772,0.89241623878479,0.6966630816459656
SDSS17,TabM_GPU,52035,26018,3,0.04164044034193503,0.08324930574014615,0.003094304585829377,0.9742870330810547,1.6571421027183533
anneal,TabM_GPU,598,300,5,0.008341466968843605,0.08825510045988477,0.00487256795167923,0.996666669845581,1.6999047584831715
hiva_agnostic,TabM_GPU,2563,1282,3,0.0682676482685549,0.17384554902745986,0.0002824068069458008,0.9648985862731934,0.3633318059146404
