dataset,model,cal_size,test_size,n_classes,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.2007959033890918,0.3838285730288867,0.07073254138231277,0.8757396340370178,0.027170006185770035
splice,RealTabPFN-v2.5,2126,1064,3,0.04233259764623615,0.0922997177774307,0.02162061259150505,0.9774436354637146,0.10005015879869461
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.309923646311864,0.547940902348195,0.016025448217988014,0.7783051133155823,0.10045523941516876
website_phishing,RealTabPFN-v2.5,902,451,3,0.11610642502318722,0.21103038159921905,0.027295343577861786,0.9268292784690857,0.05285528674721718
MIC,TabICL_GPU,1132,567,8,0.19471178680147908,0.4918502365386407,0.04667918384075165,0.8871251940727234,0.18910426646471024
SDSS17,TabICL_GPU,52035,26018,3,0.03843243239565606,0.07617566218601919,0.002725112484768033,0.9765931367874146,10.25669276714325
anneal,TabICL_GPU,598,300,5,0.024187659012511045,0.07025993635396967,0.039412446320056915,0.9833333492279053,0.08444876223802567
maternal_health_risk,TabICL_GPU,676,338,3,0.18638288989976579,0.3612750428378069,0.059912655502557755,0.8757396340370178,0.030957277864217758
splice,TabICL_GPU,2126,1064,3,0.07497297969340108,0.14104249580713651,0.018519409000873566,0.9520676732063293,0.08409243449568748
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.3228111378070937,0.570415037394288,0.026120636612176895,0.7654237151145935,0.08721780776977539
website_phishing,TabICL_GPU,902,451,3,0.11486998616549615,0.20949920169415226,0.03381705656647682,0.9290465712547302,0.05280042067170143
MIC,LimiX_GPU,1132,567,8,0.19026471789043908,0.4881200820087086,0.04704919829964638,0.8888888955116272,0.1918889582157135
anneal,LimiX_GPU,598,300,5,0.014946993849142845,0.057575552366639166,0.04087478294968605,0.9933333396911621,0.08442811295390129
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06934600508227957,0.17650226560069798,0.004637384787201881,0.9648985862731934,0.04058084264397621
maternal_health_risk,LimiX_GPU,676,338,3,0.1913444129820683,0.3693942966311146,0.07232818007469177,0.8875739574432373,0.030178580433130264
splice,LimiX_GPU,2126,1064,3,0.035969892652027165,0.0824477318839059,0.023952003568410873,0.9830827116966248,0.11049279943108559
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.31759018587374793,0.5592510378608996,0.026705903932452202,0.7708474397659302,0.09571200236678123
website_phishing,LimiX_GPU,902,451,3,0.11883776193421978,0.21962739277719265,0.039827942848205566,0.9246119856834412,0.05120918154716492
MIC,TabM_GPU,1132,567,8,0.18636217687788303,0.4691888183624204,0.047928426414728165,0.8888888955116272,0.19939733296632767
SDSS17,TabM_GPU,52035,26018,3,0.04069596712717414,0.08155123756434085,0.0028136600740253925,0.9745945334434509,8.382247030735016
anneal,TabM_GPU,598,300,5,0.02301675458823515,0.08462844908631292,0.06185084581375122,0.9933333396911621,0.045393314212560654
hiva_agnostic,TabM_GPU,2563,1282,3,0.06840945815775613,0.17546132672494635,0.003315509529784322,0.9648985862731934,0.04933160915970802
maternal_health_risk,TabM_GPU,676,338,3,0.2731468672738847,0.4875190241608793,0.08791863918304443,0.8195266127586365,0.027298372238874435
splice,TabM_GPU,2126,1064,3,0.04400898857529544,0.09798921081509508,0.026866579428315163,0.9765037298202515,0.11551894247531891
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.3196873036587522,0.5659378248943673,0.025120915845036507,0.7688135504722595,0.09859060123562813
website_phishing,TabM_GPU,902,451,3,0.12265838201981338,0.22587453018093004,0.02845638431608677,0.9179601073265076,0.04979744553565979
MIC,RealMLP_GPU,1132,567,8,0.18638408581331706,0.46187877849260833,0.053357355296611786,0.89241623878479,0.199660025537014
SDSS17,RealMLP_GPU,52035,26018,3,0.04282502327495564,0.0866344367421135,0.0035814412403851748,0.9744407534599304,8.712817169725895
