dataset,model,cal_size,test_size,n_classes,VS_brier,VS_logloss,VS_ece-15,VS_accuracy,VS_time
anneal,RealMLP_GPU,598,300,5,0.016680188477039337,0.44468939304351807,0.010017097927629948,0.9933333396911621,0.023248308338224888
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06848784536123276,0.17599456012248993,0.0011494504287838936,0.9648985862731934,0.040236037224531174
maternal_health_risk,RealMLP_GPU,676,338,3,0.21023976802825928,0.4040912091732025,0.07794782519340515,0.88165682554245,0.01261527743190527
splice,RealMLP_GPU,2126,1064,3,0.039395470172166824,0.08715201169252396,0.01445874571800232,0.9755638837814331,0.009808738715946674
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.3160424828529358,0.5604146122932434,0.020727163180708885,0.7810169458389282,0.014607110992074013
website_phishing,RealMLP_GPU,902,451,3,0.11622884124517441,0.21269962191581726,0.030553434044122696,0.9246119856834412,0.011702684685587883
MIC,BetaTabPFN_GPU,1132,567,8,0.18061402440071106,0.4514806866645813,0.028286349028348923,0.8888888955116272,0.03755068685859442
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.04782712459564209,0.09555606544017792,0.0026233994867652655,0.9712122082710266,0.1447222912684083
anneal,BetaTabPFN_GPU,598,300,5,0.015548134222626686,0.10506372153759003,0.007429302670061588,0.9900000095367432,0.02329219877719879
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.06826889514923096,0.17382971942424774,6.580352783203125e-05,0.9648985862731934,0.05324750021100044
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.28265470266342163,0.4985702931880951,0.0830191969871521,0.8254438042640686,0.010679859668016434
splice,BetaTabPFN_GPU,2126,1064,3,0.040092919021844864,0.08647212386131287,0.016775328665971756,0.9736841917037964,0.01243877038359642
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.3194567561149597,0.5679121613502502,0.022490236908197403,0.7776271104812622,0.0157384742051363
website_phishing,BetaTabPFN_GPU,902,451,3,0.12826058268547058,0.2307300567626953,0.022680027410387993,0.9179601073265076,0.011397670023143291
MIC,ModernNCA_GPU,1132,567,8,0.18215490877628326,0.45512279868125916,0.03542192652821541,0.8888888955116272,0.04352052416652441
SDSS17,ModernNCA_GPU,52035,26018,3,0.03801833465695381,0.07490841299295425,0.003229151712730527,0.9763625264167786,0.146355664357543
anneal,ModernNCA_GPU,598,300,5,0.019657844677567482,0.5992740392684937,0.00981903076171875,0.9900000095367432,0.07211646810173988
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06851034611463547,0.17642177641391754,0.002871366683393717,0.9648985862731934,0.03424782119691372
maternal_health_risk,ModernNCA_GPU,676,338,3,0.21345971524715424,0.4038201868534088,0.04300474375486374,0.8668639063835144,0.011109758168458939
splice,ModernNCA_GPU,2126,1064,3,0.04913332685828209,0.10778961330652237,0.03241877630352974,0.9746240377426147,0.010923611931502819
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.32241958379745483,0.5704124569892883,0.027168167755007744,0.7769491672515869,0.01505367923527956
website_phishing,ModernNCA_GPU,902,451,3,0.12674471735954285,0.2277638167142868,0.020282700657844543,0.9201774001121521,0.010314583778381348
MIC,Mitra_GPU,1132,567,8,0.1823749840259552,0.4619709551334381,0.0377512164413929,0.8871251940727234,0.040344592183828354
