dataset,model,cal_size,test_size,n_classes,Spline_brier,Spline_logloss,Spline_ece-15,Spline_accuracy,Spline_time
website_phishing,LimiX_GPU,902,451,3,0.11572982524656374,0.24167736790296743,0.028369255363941193,0.9312638640403748,0.8259277297183871
MIC,TabM_GPU,1132,567,8,0.1826221261023194,0.45723068162813796,0.03139027953147888,0.89241623878479,2.3112048003822565
SDSS17,TabM_GPU,52035,26018,3,0.04067069858147851,0.0813118609258951,0.0017153291264548898,0.9750173091888428,26.181626226752996
anneal,TabM_GPU,598,300,5,0.00987621380238382,0.048886658986327665,0.007762816268950701,0.996666669845581,1.0003654919564724
hiva_agnostic,TabM_GPU,2563,1282,3,0.06827102510168676,0.1740355093745005,0.00019568204879760742,0.9648985862731934,0.5850765574723482
maternal_health_risk,TabM_GPU,676,338,3,0.2645554157112989,0.4809081724613431,0.07923346012830734,0.8372781276702881,0.8461319217458367
splice,TabM_GPU,2126,1064,3,0.042156731335721453,0.091783442828615,0.016196973621845245,0.9755638837814331,1.5181575091555715
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.31818218131000864,0.5637237497499746,0.023109624162316322,0.7722033858299255,1.5464242538437247
website_phishing,TabM_GPU,902,451,3,0.11968568982703998,0.2743232910884789,0.016573935747146606,0.9290465712547302,0.8378244284540415
MIC,RealMLP_GPU,1132,567,8,0.18188971368218007,0.45469523307803117,0.03348679840564728,0.8906525373458862,2.412954174913466
SDSS17,RealMLP_GPU,52035,26018,3,0.042813928289065606,0.08604560389598818,0.0031240307725965977,0.9740948677062988,25.609971597790718
anneal,RealMLP_GPU,598,300,5,0.013979725782715413,0.04001103417526403,0.006170592270791531,0.9900000095367432,0.954366453923285
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06848732746885276,0.17541774984301892,0.002042437205091119,0.9648985862731934,0.8772794948890805
maternal_health_risk,RealMLP_GPU,676,338,3,0.2109172433945624,0.40356369584732116,0.08762820065021515,0.860946774482727,0.8133036214858294
splice,RealMLP_GPU,2126,1064,3,0.03927655855144883,0.08409772697586548,0.01668480783700943,0.9736841917037964,1.3574986550956964
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.31606755506217055,0.5598112056800364,0.02070348523557186,0.7796609997749329,1.4853061083704233
website_phishing,RealMLP_GPU,902,451,3,0.11770994217167492,0.20969410603321512,0.03622133657336235,0.9268292784690857,0.8665492432191968
MIC,BetaTabPFN_GPU,1132,567,8,0.18029943006757296,0.4551689047385079,0.019899193197488785,0.8888888955116272,2.0576563561335206
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.047863487969628436,0.09542138937968345,0.0034889879170805216,0.9709047675132751,25.72889836411923
anneal,BetaTabPFN_GPU,598,300,5,0.015321378628265304,0.06653507172205274,0.004314842633903027,0.9900000095367432,1.0710993595421314
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.06828582941777556,0.1739281911809753,0.0009349584579467773,0.9648985862731934,0.8203759184107184
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.28567040239624175,0.5033568305450999,0.07768623530864716,0.807692289352417,0.8132515549659729
splice,BetaTabPFN_GPU,2126,1064,3,0.04073046991640135,0.08893890046621868,0.023510722443461418,0.9736841917037964,1.7716830121353269
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.31895145815022075,0.5664350219891465,0.028596486896276474,0.7749152779579163,1.4778639432042837
website_phishing,BetaTabPFN_GPU,902,451,3,0.12989357828762388,0.24750197372882293,0.0262005515396595,0.9201774001121521,1.052625197917223
MIC,ModernNCA_GPU,1132,567,8,0.18533112280360547,0.46946392285144894,0.049940325319767,0.8888888955116272,2.5186437452211976
SDSS17,ModernNCA_GPU,52035,26018,3,0.03801491442280577,0.07518360600570581,0.0030728811398148537,0.9763240814208984,28.19825720973313
anneal,ModernNCA_GPU,598,300,5,0.008528636303946185,0.043980199288265596,0.0063462816178798676,0.996666669845581,0.9207294946536422
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06851321654014848,0.17673618572679117,0.00277461064979434,0.9648985862731934,1.103657859377563
maternal_health_risk,ModernNCA_GPU,676,338,3,0.21398364415632098,0.3998268844251326,0.04840081185102463,0.8491124510765076,0.9183545159175992
splice,ModernNCA_GPU,2126,1064,3,0.04596668385456299,0.10023451459857483,0.02548178657889366,0.9746240377426147,2.1018425710499287
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.32239980953447583,0.5722073751650649,0.0280457716435194,0.7769491672515869,1.4757761834189296
website_phishing,ModernNCA_GPU,902,451,3,0.12985812717303435,0.22919848669280724,0.02845975011587143,0.9179601073265076,1.0196003122255206
MIC,Mitra_GPU,1132,567,8,0.1824198081561608,0.4693669358694052,0.025545544922351837,0.8888888955116272,2.325240441597998
anneal,Mitra_GPU,598,300,5,0.009920189257962156,0.041592918271083794,0.010149850510060787,0.996666669845581,1.0845059929415584
maternal_health_risk,Mitra_GPU,676,338,3,0.19135780580760245,0.3716215771610183,0.06259431689977646,0.8875739574432373,0.9177820095792413
