dataset,model,cal_size,test_size,n_classes,XGBoost_brier,XGBoost_logloss,XGBoost_ece-15,XGBoost_accuracy,XGBoost_time
splice,TabICL_GPU,2126,1064,3,0.07762935012578964,0.1649729460477829,0.03706509619951248,0.951127827167511,0.044439647346735
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.325716495513916,0.5827057957649231,0.023907335475087166,0.7654237151145935,0.05246565863490105
website_phishing,TabICL_GPU,902,451,3,0.11761002987623215,0.22131411731243134,0.044790416955947876,0.9290465712547302,0.0350753590464592
MIC,LimiX_GPU,1132,567,8,0.19010905921459198,0.5001165866851807,0.046479273587465286,0.8871251940727234,0.09773049131035805
anneal,LimiX_GPU,598,300,5,0.011425656266510487,0.04499852657318115,0.026646524667739868,0.9933333396911621,0.04111916571855545
hiva_agnostic,LimiX_GPU,2563,1282,3,0.0690535381436348,0.18028022348880768,0.004403963685035706,0.9648985862731934,0.046130090951919556
maternal_health_risk,LimiX_GPU,676,338,3,0.1928977221250534,0.376049667596817,0.06718706339597702,0.8875739574432373,0.03340983763337135
splice,LimiX_GPU,2126,1064,3,0.03800147399306297,0.10488978028297424,0.04499141871929169,0.9821428656578064,0.04384397342801094
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.3212054967880249,0.5751728415489197,0.032239194959402084,0.7735593318939209,0.05208021402359009
website_phishing,LimiX_GPU,902,451,3,0.12046240270137787,0.2278391569852829,0.04944069683551788,0.9312638640403748,0.0338907465338707
MIC,TabM_GPU,1132,567,8,0.1820928156375885,0.4817861318588257,0.02250947244465351,0.8888888955116272,0.09427052736282349
SDSS17,TabM_GPU,52035,26018,3,0.04165910184383392,0.10440018028020859,0.028149472549557686,0.9747098088264465,0.4005521908402443
anneal,TabM_GPU,598,300,5,0.01620960235595703,0.057473074644804,0.026674523949623108,0.9900000095367432,0.03701591119170189
hiva_agnostic,TabM_GPU,2563,1282,3,0.06877486407756805,0.18031732738018036,0.00760459341108799,0.9648985862731934,0.047145500779151917
maternal_health_risk,TabM_GPU,676,338,3,0.29495903849601746,0.5213934779167175,0.0750657394528389,0.7928994297981262,0.033831410109996796
splice,TabM_GPU,2126,1064,3,0.04452059045433998,0.11231563985347748,0.03917258232831955,0.9736841917037964,0.04431604593992233
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.32149240374565125,0.5770308375358582,0.028546234592795372,0.7701694965362549,0.05319451540708542
website_phishing,TabM_GPU,902,451,3,0.12310473620891571,0.23049534857273102,0.04217837378382683,0.9090909361839294,0.03465184569358826
MIC,RealMLP_GPU,1132,567,8,0.1857396960258484,0.47541892528533936,0.03442152589559555,0.8853615522384644,0.0970306508243084
SDSS17,RealMLP_GPU,52035,26018,3,0.04397674649953842,0.1087225154042244,0.02705841138958931,0.9744023084640503,0.40079130977392197
anneal,RealMLP_GPU,598,300,5,0.02362021990120411,0.07204598933458328,0.02425030991435051,0.9866666793823242,0.03576381877064705
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06840381771326065,0.17465993762016296,0.00316213583573699,0.9648985862731934,0.04624157398939133
maternal_health_risk,RealMLP_GPU,676,338,3,0.22673143446445465,0.4222472608089447,0.09944003075361252,0.860946774482727,0.034134771674871445
splice,RealMLP_GPU,2126,1064,3,0.0411827377974987,0.10719188302755356,0.04187730327248573,0.9765037298202515,0.04398888349533081
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.3184192180633545,0.5711816549301147,0.029838083311915398,0.7789830565452576,0.05392082780599594
website_phishing,RealMLP_GPU,902,451,3,0.1237395778298378,0.23065900802612305,0.03648993372917175,0.9201774001121521,0.03455325961112976
MIC,BetaTabPFN_GPU,1132,567,8,0.18441051244735718,0.49172547459602356,0.026442861184477806,0.8853615522384644,0.0935373455286026
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.04906950518488884,0.11822863668203354,0.02863183245062828,0.9714812636375427,0.40326280891895294
anneal,BetaTabPFN_GPU,598,300,5,0.01665426231920719,0.06231848523020744,0.03147106617689133,0.9900000095367432,0.04120788350701332
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.0685078576207161,0.17611172795295715,0.0022352933883666992,0.9648985862731934,0.04481613263487816
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.29837754368782043,0.520773708820343,0.08110608905553818,0.8047337532043457,0.03393537923693657
splice,BetaTabPFN_GPU,2126,1064,3,0.04325717315077782,0.1112741157412529,0.03939679637551308,0.9746240377426147,0.04406654089689255
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.32204872369766235,0.5787473917007446,0.033411264419555664,0.7640677690505981,0.0525393933057785
website_phishing,BetaTabPFN_GPU,902,451,3,0.12836198508739471,0.23962555825710297,0.04180540889501572,0.9246119856834412,0.034444138407707214
MIC,ModernNCA_GPU,1132,567,8,0.18457163870334625,0.4787060022354126,0.04306114837527275,0.89241623878479,0.09826996177434921
SDSS17,ModernNCA_GPU,52035,26018,3,0.03955915570259094,0.09919452667236328,0.02912440523505211,0.9765162467956543,0.4076921232044697
anneal,ModernNCA_GPU,598,300,5,0.016103645786643028,0.054833900183439255,0.02740815095603466,0.9900000095367432,0.04015776142477989
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06857240945100784,0.17614006996154785,0.0060203527100384235,0.9648985862731934,0.05106233060359955
maternal_health_risk,ModernNCA_GPU,676,338,3,0.22948527336120605,0.4180023968219757,0.04435756057500839,0.8461538553237915,0.03750913590192795
splice,ModernNCA_GPU,2126,1064,3,0.045954834669828415,0.11964273452758789,0.055305950343608856,0.9755638837814331,0.048579003661870956
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.32654643058776855,0.5869866609573364,0.03860544413328171,0.7776271104812622,0.05750679597258568
website_phishing,ModernNCA_GPU,902,451,3,0.13235503435134888,0.24602243304252625,0.03651706501841545,0.9135255217552185,0.03748972713947296
MIC,Mitra_GPU,1132,567,8,0.1861129254102707,0.4888679087162018,0.04527187719941139,0.8853615522384644,0.09684959799051285
anneal,Mitra_GPU,598,300,5,0.014769261702895164,0.05744452029466629,0.03430991992354393,0.996666669845581,0.04213903099298477
maternal_health_risk,Mitra_GPU,676,338,3,0.2063809037208557,0.3986577093601227,0.0699533000588417,0.8786982297897339,0.03341985121369362
splice,Mitra_GPU,2126,1064,3,0.04525557532906532,0.11534770578145981,0.044902049005031586,0.9736841917037964,0.04395914822816849
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.31793591380119324,0.5734665989875793,0.033606890588998795,0.7735593318939209,0.05243819206953049
website_phishing,Mitra_GPU,902,451,3,0.11937175691127777,0.2268361747264862,0.046216849237680435,0.9135255217552185,0.034791525453329086
MIC,TabDPT_GPU,1132,567,8,0.19450579583644867,0.5103029012680054,0.04715101048350334,0.8835979104042053,0.09466689825057983
SDSS17,TabDPT_GPU,52035,26018,3,0.04199342057108879,0.10325177758932114,0.02608819492161274,0.9753247499465942,0.40724189579486847
anneal,TabDPT_GPU,598,300,5,0.014822788536548615,0.0579293891787529,0.02609643153846264,0.9933333396911621,0.04502664506435394
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.06944327801465988,0.18426357209682465,0.005437282845377922,0.9648985862731934,0.050616491585969925
maternal_health_risk,TabDPT_GPU,676,338,3,0.1765635758638382,0.3397981524467468,0.058845825493335724,0.8905325531959534,0.037172023206949234
splice,TabDPT_GPU,2126,1064,3,0.10454913973808289,0.20829682052135468,0.04038980230689049,0.9276315569877625,0.04912179708480835
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.3258168697357178,0.5830591917037964,0.03032250702381134,0.7647457718849182,0.05693170428276062
website_phishing,TabDPT_GPU,902,451,3,0.11788748949766159,0.22329674661159515,0.03407900035381317,0.9290465712547302,0.037793099880218506
