dataset,model,cal_size,test_size,n_classes,SMS_brier,SMS_logloss,SMS_ece-15,SMS_accuracy,SMS_time
anneal,RealMLP_GPU,598,300,5,0.01395846684056503,0.03618781967949857,0.007279386278241873,0.9900000095367432,0.0319638978689909
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06863062089429306,0.17691046108597275,0.0013478749897331,0.9648985862731934,0.043248191475868225
maternal_health_risk,RealMLP_GPU,676,338,3,0.21078691292969187,0.39941900511208195,0.07882731407880783,0.88165682554245,0.04892776906490326
splice,RealMLP_GPU,2126,1064,3,0.03954833264801167,0.08636692123003274,0.013423934578895569,0.9746240377426147,0.041598050855100155
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.31554129780864754,0.5591741685649981,0.02304469235241413,0.7823728919029236,0.05554197635501623
website_phishing,RealMLP_GPU,902,451,3,0.11647005392701272,0.2083718613579277,0.039497584104537964,0.9290465712547302,0.05540052801370621
MIC,BetaTabPFN_GPU,1132,567,8,0.18043362714938996,0.4529404913117,0.027142830193042755,0.8888888955116272,0.051514812745153904
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.04768850944638814,0.09499517779060566,0.002812719903886318,0.9712890982627869,0.5865861484780908
anneal,BetaTabPFN_GPU,598,300,5,0.01505495332551129,0.04833019188132315,0.006766460370272398,0.9900000095367432,0.029969929717481136
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.06830217197711676,0.17406169039504824,0.00036913156509399414,0.9648985862731934,0.03046223521232605
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.2828536977336504,0.49994382987209546,0.08075875043869019,0.8254438042640686,0.04479761701077223
splice,BetaTabPFN_GPU,2126,1064,3,0.039993658487315974,0.08601746441844851,0.020927689969539642,0.9736841917037964,0.04731007479131222
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.31972495710421317,0.5673888350279984,0.03365832567214966,0.7755932211875916,0.04862464498728514
website_phishing,BetaTabPFN_GPU,902,451,3,0.12912213070870865,0.23039879076246725,0.027770519256591797,0.9179601073265076,0.045206123031675816
MIC,ModernNCA_GPU,1132,567,8,0.18217045570115603,0.4546529233036471,0.03776681050658226,0.8888888955116272,0.07252699136734009
SDSS17,ModernNCA_GPU,52035,26018,3,0.03802716279769453,0.07489755654180819,0.0032054116018116474,0.9759397506713867,0.5168349472805858
anneal,ModernNCA_GPU,598,300,5,0.00807288344233404,0.03403496228559315,0.003998481668531895,0.996666669845581,0.028778999112546444
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06868728147368147,0.17731170558779805,0.004500546958297491,0.9648985862731934,0.05777849070727825
maternal_health_risk,ModernNCA_GPU,676,338,3,0.21324301935301093,0.39430871905806114,0.04248616099357605,0.8639053106307983,0.05047622788697481
splice,ModernNCA_GPU,2126,1064,3,0.04829460324798577,0.10512075332453155,0.03165091574192047,0.9765037298202515,0.052096329629421234
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.3226186411592953,0.5711184973046786,0.02427985519170761,0.7776271104812622,0.04053395614027977
website_phishing,ModernNCA_GPU,902,451,3,0.12715182193242766,0.22603427190991426,0.032447896897792816,0.9223946928977966,0.051637524738907814
MIC,Mitra_GPU,1132,567,8,0.18266658370770375,0.46266208576798706,0.047870930284261703,0.8871251940727234,0.08931328915059566
anneal,Mitra_GPU,598,300,5,0.011629836673340683,0.034903446723711366,0.009690438397228718,0.996666669845581,0.037020863965153694
maternal_health_risk,Mitra_GPU,676,338,3,0.193411189781817,0.3811181667209554,0.07280710339546204,0.8875739574432373,0.0514474930241704
splice,Mitra_GPU,2126,1064,3,0.04192164068345378,0.08924732746196758,0.01699046604335308,0.972744345664978,0.04422437772154808
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.31298679996260415,0.5544659999273144,0.024040456861257553,0.7722033858299255,0.05272923782467842
website_phishing,Mitra_GPU,902,451,3,0.11747316818327545,0.21522337671783898,0.034378573298454285,0.9312638640403748,0.04699516110122204
MIC,TabDPT_GPU,1132,567,8,0.18965207884701674,0.48527264257435204,0.02178255282342434,0.8871251940727234,0.08573554176837206
SDSS17,TabDPT_GPU,52035,26018,3,0.04065507934303362,0.08126770694045946,0.002552492544054985,0.9749404191970825,0.40421030670404434
anneal,TabDPT_GPU,598,300,5,0.012230641309446016,0.04092768488890489,0.004680659621953964,0.9933333396911621,0.036298589780926704
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.06832207559056763,0.17440477167211113,0.00020975209190510213,0.9648985862731934,0.04966400936245918
maternal_health_risk,TabDPT_GPU,676,338,3,0.17867068850130763,0.34433865449173884,0.031813714653253555,0.8786982297897339,0.03978273831307888
splice,TabDPT_GPU,2126,1064,3,0.09945575968610335,0.17976623104735806,0.008673070929944515,0.9360902309417725,0.03814368974417448
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.32350008922248213,0.5699790296162683,0.021228475496172905,0.7661017179489136,0.04534580186009407
website_phishing,TabDPT_GPU,902,451,3,0.11549630081392194,0.20699792803615377,0.031672459095716476,0.9290465712547302,0.04715352226048708
