dataset,model,cal_size,test_size,n_classes,Base-model_brier,Base-model_logloss,Base-model_ece-15,Base-model_accuracy,Base-model_time
maternal_health_risk,ModernNCA_GPU,676,338,3,0.2163519263267517,0.39576616883277893,0.04234158992767334,0.8461538553237915,0
splice,ModernNCA_GPU,2126,1064,3,0.048943184316158295,0.10554971545934677,0.02786668762564659,0.972744345664978,0
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.3225615322589874,0.570913553237915,0.022326786071062088,0.7755932211875916,0
website_phishing,ModernNCA_GPU,902,451,3,0.12776826322078705,0.22854867577552795,0.04437657818198204,0.9201774001121521,0
MIC,Mitra_GPU,1132,567,8,0.18301576375961304,0.46282657980918884,0.036308132112026215,0.8871251940727234,0
anneal,Mitra_GPU,598,300,5,0.009253915399312973,0.029338832944631577,0.0075003160163760185,0.996666669845581,0
maternal_health_risk,Mitra_GPU,676,338,3,0.1891382932662964,0.3777391016483307,0.05782878026366234,0.8905325531959534,0
splice,Mitra_GPU,2126,1064,3,0.041203197091817856,0.08840871602296829,0.014173832722008228,0.972744345664978,0
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.3122215270996094,0.5529136061668396,0.018996788188815117,0.7749152779579163,0
website_phishing,Mitra_GPU,902,451,3,0.11787302792072296,0.21455161273479462,0.02892802283167839,0.9312638640403748,0
MIC,TabDPT_GPU,1132,567,8,0.18927696347236633,0.48605695366859436,0.02377188205718994,0.8853615522384644,0
SDSS17,TabDPT_GPU,52035,26018,3,0.041235122829675674,0.08521803468465805,0.0068663000129163265,0.9749019742012024,0
anneal,TabDPT_GPU,598,300,5,0.010462376289069653,0.03295841068029404,0.006017432082444429,0.9933333396911621,0
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.0683496966958046,0.17480741441249847,0.0031004466582089663,0.9648985862731934,0
maternal_health_risk,TabDPT_GPU,676,338,3,0.179710254073143,0.3465578556060791,0.040308453142642975,0.8786982297897339,0
splice,TabDPT_GPU,2126,1064,3,0.09879671782255173,0.17893657088279724,0.014596029184758663,0.9332706928253174,0
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.3234992027282715,0.5698103308677673,0.01710626110434532,0.7654237151145935,0
website_phishing,TabDPT_GPU,902,451,3,0.11795708537101746,0.2125825732946396,0.021607790142297745,0.9290465712547302,0
