dataset,model,cal_size,test_size,n_classes,MS_brier,MS_logloss,MS_ece-15,MS_accuracy,MS_time
Indian_pines,ExtraTrees,8229,915,8,0.10608004033565521,0.18074853718280792,0.02663395181298256,0.9333333373069763,0.5748663321137428
Indian_pines,LightGBM,8229,915,8,0.05722913146018982,0.10564413666725159,0.021147292107343674,0.9661202430725098,0.5852343672886491
Indian_pines,LinearModel,8229,915,8,0.11089783906936646,0.20597504079341888,0.02207031473517418,0.9311475157737732,0.59252620767802
Indian_pines,NeuralNetFastAI,8229,915,8,0.054743774235248566,0.09946434199810028,0.014119250699877739,0.9672130942344666,0.6541069587692618
Indian_pines,NeuralNetTorch,8229,915,8,0.045015666633844376,0.08330779522657394,0.013634832575917244,0.9693989157676697,0.6182639077305794
Indian_pines,RandomForest,8229,915,8,0.11236730962991714,0.1919459104537964,0.02357759326696396,0.9267759323120117,0.9106847606599331
Indian_pines,XGBoost,8229,915,8,0.06431778520345688,0.11632779985666275,0.02601681835949421,0.9617486596107483,0.6314019104465842
LED-display-domain-7digit,CatBoost,450,50,10,0.4177718758583069,0.8547999858856201,0.19674640893936157,0.699999988079071,0.23607990890741348
LED-display-domain-7digit,ExtraTrees,450,50,10,0.4308795928955078,0.9341534376144409,0.1724410206079483,0.699999988079071,0.37510776426643133
LED-display-domain-7digit,LightGBM,450,50,10,0.410462886095047,0.8340098857879639,0.19179943203926086,0.6800000071525574,0.39136953093111515
LED-display-domain-7digit,LinearModel,450,50,10,0.4419797956943512,0.8867141008377075,0.1979682743549347,0.6600000262260437,0.39913701731711626
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.38617366552352905,0.767138659954071,0.11858803778886795,0.6800000071525574,0.26506929751485586
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.4132436513900757,0.8047370910644531,0.12929017841815948,0.699999988079071,0.3130859211087227
LED-display-domain-7digit,RandomForest,450,50,10,0.4393104612827301,0.9170675873756409,0.10855775326490402,0.699999988079071,0.2981888856738806
LED-display-domain-7digit,XGBoost,450,50,10,0.4062422811985016,0.8161992430686951,0.11426685750484467,0.699999988079071,0.2828453602269292
MiceProtein,CatBoost,972,108,8,0.018518514931201935,0.14926983416080475,0.0092582106590271,0.9907407164573669,0.042148650623857975
MiceProtein,ExtraTrees,972,108,8,0.0717819333076477,0.23420371115207672,0.1986113041639328,1.0,0.054916033521294594
MiceProtein,LightGBM,972,108,8,0.01496215257793665,0.021347567439079285,0.00846188049763441,0.9907407164573669,0.056006583385169506
MiceProtein,LinearModel,972,108,8,0.0019895092118531466,0.011190986260771751,0.010598741471767426,1.0,0.2844896214082837
MiceProtein,NeuralNetFastAI,972,108,8,0.05539517104625702,0.20009785890579224,0.027396857738494873,0.9722222089767456,0.08904666360467672
MiceProtein,NeuralNetTorch,972,108,8,0.016996411606669426,0.02938690036535263,0.00884091854095459,0.9907407164573669,0.0717177540063858
MiceProtein,RandomForest,972,108,8,0.06254106760025024,0.9266713261604309,0.0347433015704155,0.9629629850387573,0.4125045519322157
MiceProtein,XGBoost,972,108,8,0.027572812512516975,0.06517313420772552,0.03876173496246338,0.9722222089767456,0.12432922516018152
Traffic_violations,CatBoost,63306,7034,3,0.2680370509624481,0.40343165397644043,0.010581931099295616,0.7996872067451477,0.25512852519750595
Traffic_violations,ExtraTrees,63306,7034,3,0.27757614850997925,0.41922691464424133,0.007096472196280956,0.7907307147979736,0.2842069026082754
Traffic_violations,LightGBM,63306,7034,3,0.27189356088638306,0.4105169475078583,0.008731428533792496,0.7948535680770874,0.18666994385421276
Traffic_violations,LinearModel,63306,7034,3,0.276023268699646,0.41503506898880005,0.010773437097668648,0.7921524047851562,0.33920525293797255
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.2754719853401184,0.41306573152542114,0.007212407886981964,0.7932897210121155,0.13339607883244753
Traffic_violations,NeuralNetTorch,63306,7034,3,0.28894415497779846,0.43793797492980957,0.009911062195897102,0.7824850678443909,0.15285958629101515
Traffic_violations,RandomForest,63306,7034,3,0.273468941450119,0.4113505780696869,0.013402510434389114,0.7935740947723389,0.06210220791399479
Traffic_violations,XGBoost,63306,7034,3,0.2728230655193329,0.40889206528663635,0.006174022331833839,0.7935740947723389,0.22315216343849897
UMIST_Faces_Cropped,CatBoost,517,58,20,0.00014017905050422996,0.001178558450192213,0.0011444687843322754,1.0,0.2817124258726835
UMIST_Faces_Cropped,ExtraTrees,517,58,20,0.07369211316108704,0.23515872657299042,0.18218468129634857,1.0,0.6933958102017641
UMIST_Faces_Cropped,LightGBM,517,58,20,0.06896550208330154,0.5924994945526123,0.03448009490966797,0.9655172228813171,0.27582033537328243
UMIST_Faces_Cropped,LinearModel,517,58,20,0.06073383986949921,0.25228074193000793,0.035392336547374725,0.9655172228813171,0.6416256781667471
