dataset,model,cal_size,test_size,n_classes,SMS_brier,SMS_logloss,SMS_ece-15,SMS_accuracy,SMS_time
analcatdata_authorship,ExtraTrees,756,85,4,0.03537461565720243,0.06322852734805337,0.024473434314131737,0.9764705896377563,0.04398063663393259
analcatdata_authorship,LightGBM,756,85,4,0.023517565096447195,0.1047102453961367,0.011332988739013672,0.9882352948188782,0.025544346310198307
analcatdata_authorship,LinearModel,756,85,4,0.023517565096447195,0.1047102453961367,0.011332988739013672,0.9882352948188782,0.02485660556703806
analcatdata_authorship,NeuralNetFastAI,756,85,4,0.023517565096447195,0.1047102453961367,0.011332988739013672,0.9882352948188782,0.025830913335084915
analcatdata_authorship,NeuralNetTorch,756,85,4,0.023517565096447195,0.1047102453961367,0.011332988739013672,0.9882352948188782,0.02413022145628929
analcatdata_authorship,RandomForest,756,85,4,0.03624634712391411,0.0709653522596436,0.022587696090340614,0.9764705896377563,0.05813703220337629
analcatdata_authorship,XGBoost,756,85,4,0.016729879107839477,0.02703287286107795,0.017769284546375275,0.9882352948188782,0.037474959157407284
analcatdata_dmft,CatBoost,717,80,6,0.8127867939031777,1.726175094312012,0.04269373416900635,0.25,0.030694846995174885
analcatdata_dmft,ExtraTrees,717,80,6,0.8142298626858416,1.732406998160048,0.020848074927926064,0.22499999403953552,0.037883914075791836
analcatdata_dmft,LightGBM,717,80,6,0.8092175751943367,1.7156287916023287,0.028905441984534264,0.20000000298023224,0.035558998584747314
analcatdata_dmft,LinearModel,717,80,6,0.8130248015254444,1.7289354693786898,0.0210595540702343,0.21250000596046448,0.030114185996353626
analcatdata_dmft,NeuralNetFastAI,717,80,6,0.8122920307304117,1.7249836506621095,0.036824196577072144,0.21250000596046448,0.04665874410420656
analcatdata_dmft,NeuralNetTorch,717,80,6,0.8084166358095001,1.715508582197644,0.03826721012592316,0.21250000596046448,0.03617572411894798
analcatdata_dmft,RandomForest,717,80,6,0.8151924191548197,1.7337630791494483,0.007556616328656673,0.21250000596046448,0.035036372020840645
analcatdata_dmft,XGBoost,717,80,6,0.8108615819928702,1.7238181047397856,0.030667036771774292,0.22499999403953552,0.03845192305743694
artificial-characters,CatBoost,9196,1022,10,0.07250358254330917,0.1679180257154929,0.0412498414516449,0.9608610272407532,0.4891141876578331
artificial-characters,ExtraTrees,9196,1022,10,0.07963611532219124,0.19565157284368873,0.022437380626797676,0.9540117383003235,0.5664673466235399
artificial-characters,LightGBM,9196,1022,10,0.060572337179911714,0.14201848618563023,0.042884279042482376,0.9618395566940308,0.5344228148460388
artificial-characters,LinearModel,9196,1022,10,0.7423099460533881,1.6576018429487156,0.04204143211245537,0.34442269802093506,0.7192880250513554
