dataset,model,cal_size,test_size,n_classes,XGBoost_brier,XGBoost_logloss,XGBoost_ece-15,XGBoost_accuracy,XGBoost_time
jungle_chess_2pcs_raw_endgame_complete,RandomForest,40337,4482,3,0.16992811858654022,0.290732741355896,0.03260735794901848,0.8694779276847839,0.31163449957966805
jungle_chess_2pcs_raw_endgame_complete,XGBoost,40337,4482,3,0.13085952401161194,0.2205965667963028,0.03191431239247322,0.8891119956970215,0.3062937706708908
kr-vs-k,CatBoost,25250,2806,18,0.1355701982975006,0.3222518861293793,0.0684693455696106,0.9183891415596008,1.6282908879220486
kr-vs-k,ExtraTrees,25250,2806,18,0.1666754186153412,0.3907698094844818,0.06300795078277588,0.8895224332809448,1.4344130605459213
kr-vs-k,LightGBM,25250,2806,18,0.1221248134970665,0.29862266778945923,0.08002354949712753,0.927655041217804,1.502859827131033
kr-vs-k,LinearModel,25250,2806,18,0.7393684983253479,1.6987792253494263,0.07723687589168549,0.4055595099925995,1.6905854605138302
kr-vs-k,NeuralNetFastAI,25250,2806,18,0.1676676720380783,0.361066609621048,0.08970902115106583,0.891660749912262,1.5784503109753132
kr-vs-k,NeuralNetTorch,25250,2806,18,0.12336210161447525,0.28179284930229187,0.08855809271335602,0.920527458190918,1.4778746515512466
kr-vs-k,RandomForest,25250,2806,18,0.16365453600883484,0.3817318379878998,0.05432862788438797,0.8891660571098328,1.4096397310495377
kr-vs-k,XGBoost,25250,2806,18,0.12408562749624252,0.2934539318084717,0.07405421137809753,0.9265859127044678,1.6837792806327343
led24,CatBoost,2880,320,10,0.3974771797657013,0.8750618100166321,0.06016230955719948,0.7281249761581421,0.23923607915639877
led24,ExtraTrees,2880,320,10,0.4046996235847473,0.887962818145752,0.05397481471300125,0.706250011920929,0.2436702512204647
led24,LightGBM,2880,320,10,0.4019166827201843,0.8952007293701172,0.08074107021093369,0.7281249761581421,0.24328869953751564
led24,LinearModel,2880,320,10,0.3979400396347046,0.8700454831123352,0.0754651129245758,0.71875,0.23976097628474236
led24,NeuralNetFastAI,2880,320,10,0.3879414498806,0.8516809344291687,0.08179964125156403,0.731249988079071,0.24274999648332596
