dataset,model,cal_size,test_size,n_classes,Kernel_brier,Kernel_logloss,Kernel_ece-15,Kernel_accuracy,Kernel_time
cardiotocography,XGBoost,1913,213,10,2.535092062949694e-18,0.0,5.960464477539063e-08,1.0,0.10025298967957497
cmc,CatBoost,1325,148,3,0.5026708841323853,0.8466213345527649,0.0930725634098053,0.587837815284729,0.01290147379040718
cmc,ExtraTrees,1325,148,3,0.5149027705192566,0.8687718510627747,0.09854837507009506,0.5675675868988037,0.012904658913612366
cmc,LightGBM,1325,148,3,0.5250189304351807,0.881330132484436,0.08124153316020966,0.5405405163764954,0.011448908597230911
cmc,LinearModel,1325,148,3,0.5205530524253845,0.8684245944023132,0.09017150104045868,0.5945945978164673,0.01232939213514328
cmc,NeuralNetFastAI,1325,148,3,0.5021052956581116,0.843617856502533,0.07888222485780716,0.587837815284729,0.013135507702827454
cmc,NeuralNetTorch,1325,148,3,0.5106338858604431,0.8591955900192261,0.09829728305339813,0.6148648858070374,0.013094281777739525
cmc,RandomForest,1325,148,3,0.5076373815536499,0.8518739342689514,0.07868501543998718,0.5675675868988037,0.01258964091539383
cmc,XGBoost,1325,148,3,0.5104653835296631,0.8594244122505188,0.06847043335437775,0.5810810923576355,0.01188826747238636
cnae-9,CatBoost,972,108,9,0.07598117738962173,0.20934413373470306,0.025465331971645355,0.9537037014961243,0.02514469437301159
cnae-9,ExtraTrees,972,108,9,0.06639987975358963,0.169838547706604,0.04102739691734314,0.9537037014961243,0.02333432249724865
cnae-9,LightGBM,972,108,9,0.05883411690592766,0.15605933964252472,0.01801273226737976,0.9629629850387573,0.02375006303191185
cnae-9,LinearModel,972,108,9,0.07284680008888245,0.16215355694293976,0.04167134314775467,0.9444444179534912,0.02461831271648407
cnae-9,NeuralNetFastAI,972,108,9,0.05984628200531006,0.11733026802539825,0.03208467736840248,0.9537037014961243,0.022536417469382286
cnae-9,NeuralNetTorch,972,108,9,0.056831590831279755,0.1864161342382431,0.029192794114351273,0.9629629850387573,0.024879280477762222
cnae-9,RandomForest,972,108,9,0.07217206060886383,0.2001781314611435,0.03662949800491333,0.9629629850387573,0.024049127474427223
cnae-9,XGBoost,972,108,9,0.09914160519838333,0.2552702724933624,0.04232342913746834,0.9351851940155029,0.02400319278240204
collins,CatBoost,900,100,30,0.8676003813743591,2.3574423789978027,0.07113268226385117,0.23999999463558197,0.0716763585805893
collins,ExtraTrees,900,100,30,0.900332510471344,2.5688600540161133,0.042212240397930145,0.15000000596046448,0.0718219242990017
collins,LightGBM,900,100,30,0.8765577673912048,2.422335624694824,0.11501125991344452,0.2199999988079071,0.07110303081572056
collins,LinearModel,900,100,30,0.8480539917945862,2.2649331092834473,0.06721571832895279,0.25999999046325684,0.07125293463468552
collins,NeuralNetFastAI,900,100,30,0.8530726432800293,2.277688503265381,0.09804065525531769,0.23999999463558197,0.07053319551050663
collins,NeuralNetTorch,900,100,30,0.8369281888008118,2.2116575241088867,0.0919928327202797,0.28999999165534973,0.07055681571364403
collins,RandomForest,900,100,30,0.8949816823005676,2.516798734664917,0.04415496066212654,0.17000000178813934,0.07088879682123661
collins,XGBoost,900,100,30,0.8863874673843384,2.5384418964385986,0.05759677663445473,0.1899999976158142,0.07074986025691032
connect-4,CatBoost,60801,6756,3,0.1781429797410965,0.32608962059020996,0.022942403331398964,0.8759620785713196,6.8475766982883215
connect-4,ExtraTrees,60801,6756,3,0.2520652711391449,0.4567400813102722,0.019964950159192085,0.8220840692520142,5.588763194158673
connect-4,LightGBM,60801,6756,3,0.17862017452716827,0.32755303382873535,0.02370668575167656,0.8741859197616577,6.878084510564804
connect-4,LinearModel,60801,6756,3,0.33791959285736084,0.600578248500824,0.03024110198020935,0.759917140007019,5.449376456439495
connect-4,NeuralNetFastAI,60801,6756,3,0.16742779314517975,0.30514857172966003,0.01533166691660881,0.8826228380203247,6.935932788997889
connect-4,NeuralNetTorch,60801,6756,3,0.17624090611934662,0.3193483054637909,0.02222129888832569,0.8784784078598022,6.930645702406764
connect-4,RandomForest,60801,6756,3,0.2640925943851471,0.47915083169937134,0.026731980964541435,0.8164594173431396,5.2639658357948065
connect-4,XGBoost,60801,6756,3,0.17995254695415497,0.330339252948761,0.026012495160102844,0.8715215921401978,6.858329713344574
dilbert,CatBoost,9000,1000,5,0.025836924090981483,0.05923347920179367,0.011144843883812428,0.9819999933242798,1.290435440838337
dilbert,ExtraTrees,9000,1000,5,0.039190199226140976,0.07902969419956207,0.010500345379114151,0.9739999771118164,1.170274529606104
dilbert,LightGBM,9000,1000,5,0.01602705381810665,0.059062473475933075,0.008374124765396118,0.9909999966621399,1.3994503393769264
dilbert,LinearModel,9000,1000,5,0.10259172320365906,0.21791939437389374,0.03590778261423111,0.9380000233650208,1.4508669637143612
dilbert,NeuralNetFastAI,9000,1000,5,0.02064189687371254,0.07254177331924438,0.009586075320839882,0.9879999756813049,1.4259979985654354
dilbert,NeuralNetTorch,9000,1000,5,0.011926813051104546,0.025075282901525497,0.004798908717930317,0.9940000176429749,1.4762097150087357
dilbert,RandomForest,9000,1000,5,0.06689722836017609,0.12976886332035065,0.0106502715498209,0.9539999961853027,1.1897621359676123
dilbert,XGBoost,9000,1000,5,0.026671990752220154,0.06859653443098068,0.012684362009167671,0.9850000143051147,1.4781637955456972
dna,CatBoost,2867,319,3,0.06230403855443001,0.14167140424251556,0.02505621686577797,0.9655172228813171,0.09133034758269787
dna,ExtraTrees,2867,319,3,0.08209920674562454,0.1676657497882843,0.02761911228299141,0.9498432874679565,0.06416299194097519
dna,LightGBM,2867,319,3,0.06767544895410538,0.15641574561595917,0.02492404356598854,0.9529780745506287,0.08847710490226746
dna,LinearModel,2867,319,3,0.1271367073059082,0.27567458152770996,0.04145697504281998,0.931034505367279,0.08809658512473106
dna,NeuralNetFastAI,2867,319,3,0.0886560007929802,0.18709160387516022,0.035125732421875,0.9467084407806396,0.08930252678692341
dna,NeuralNetTorch,2867,319,3,0.08629734814167023,0.18750080466270447,0.03279402479529381,0.9467084407806396,0.0846642553806305
dna,RandomForest,2867,319,3,0.09519757330417633,0.18543386459350586,0.03333611413836479,0.9404388666152954,0.06678337976336479
dna,XGBoost,2867,319,3,0.0631655678153038,0.1557895839214325,0.022380849346518517,0.9592476487159729,0.09341764636337757
eucalyptus,CatBoost,662,74,5,0.4288099408149719,0.7086637020111084,0.12546540796756744,0.6891891956329346,0.006894275546073914
eucalyptus,ExtraTrees,662,74,5,0.37908095121383667,0.631019115447998,0.12110569328069687,0.7297297120094299,0.0061470866203308105
eucalyptus,LightGBM,662,74,5,0.3861006796360016,0.6421522498130798,0.1623246669769287,0.6756756901741028,0.005911750718951225
eucalyptus,LinearModel,662,74,5,0.46222296357154846,0.7761361598968506,0.12850624322891235,0.6486486196517944,0.005973925814032555
eucalyptus,NeuralNetFastAI,662,74,5,0.43053165078163147,0.7299875020980835,0.14157047867774963,0.7297297120094299,0.006477717310190201
eucalyptus,NeuralNetTorch,662,74,5,0.44177812337875366,0.6968778371810913,0.1111949011683464,0.6891891956329346,0.006463410332798958
eucalyptus,RandomForest,662,74,5,0.4029015600681305,0.6780575513839722,0.1368347853422165,0.7297297120094299,0.0063919685781002045
eucalyptus,XGBoost,662,74,5,0.4242227375507355,0.7073121070861816,0.09015842527151108,0.6756756901741028,0.006540067493915558
eye_movements,CatBoost,9842,1094,3,0.35173100233078003,0.5989126563072205,0.029284168034791946,0.7376599907875061,0.8224592991173267
eye_movements,ExtraTrees,9842,1094,3,0.32035669684410095,0.5502716898918152,0.05361241102218628,0.7751371264457703,0.6894978992640972
eye_movements,LightGBM,9842,1094,3,0.2758841812610626,0.48785725235939026,0.027372442185878754,0.8071298003196716,0.9205690138041973
eye_movements,LinearModel,9842,1094,3,0.5648826360702515,0.9203006029129028,0.02305528335273266,0.5228519439697266,0.6917043197900057
eye_movements,NeuralNetFastAI,9842,1094,3,0.4298129081726074,0.714641809463501,0.030959997326135635,0.67641681432724,0.7938307207077742
eye_movements,NeuralNetTorch,9842,1094,3,0.41278403997421265,0.6895171999931335,0.05006559565663338,0.6873857378959656,0.7828115057200193
eye_movements,RandomForest,9842,1094,3,0.38277462124824524,0.6514425873756409,0.03833476081490517,0.7239488363265991,0.7112421747297049
eye_movements,XGBoost,9842,1094,3,0.31671908497810364,0.5489522814750671,0.02669249102473259,0.7723948955535889,0.8707817830145359
fabert,CatBoost,7413,824,7,0.38358744978904724,0.7829192280769348,0.08005709946155548,0.731796145439148,1.0366141498088837
fabert,ExtraTrees,7413,824,7,0.40160855650901794,0.8037543296813965,0.07055126130580902,0.708737850189209,1.0805427748709917
fabert,LightGBM,7413,824,7,0.38573771715164185,0.7727646827697754,0.08850311487913132,0.7135922312736511,1.0253935940563679
fabert,LinearModel,7413,824,7,0.49155017733573914,1.028307557106018,0.06515106558799744,0.6395630836486816,1.282575836405158
fabert,NeuralNetFastAI,7413,824,7,0.4043157696723938,0.8304082751274109,0.0523357167840004,0.7111650705337524,1.0314662009477615
fabert,NeuralNetTorch,7413,824,7,0.4281458556652069,0.8852764368057251,0.05136140435934067,0.6990291476249695,1.027290703728795
fabert,RandomForest,7413,824,7,0.41195303201675415,0.844645082950592,0.07545465975999832,0.7014563083648682,1.1148629672825336
fabert,XGBoost,7413,824,7,0.38039764761924744,0.7897552847862244,0.06519411504268646,0.7281553149223328,1.0317784827202559
first-order-theorem-proving,CatBoost,5506,612,6,0.5240112543106079,1.0989593267440796,0.09000503271818161,0.6111111044883728,0.47288958728313446
first-order-theorem-proving,ExtraTrees,5506,612,6,0.5303028225898743,1.1085656881332397,0.06592260301113129,0.5898692607879639,0.4741861801594496
first-order-theorem-proving,LightGBM,5506,612,6,0.5277925729751587,1.1068899631500244,0.08205734193325043,0.601307213306427,0.4746135715395212
first-order-theorem-proving,LinearModel,5506,612,6,0.6494467854499817,1.3741955757141113,0.058935221284627914,0.4869281053543091,0.4786698631942272
first-order-theorem-proving,NeuralNetFastAI,5506,612,6,0.5684467554092407,1.1931753158569336,0.05317308381199837,0.5571895241737366,0.47708119079470634
first-order-theorem-proving,NeuralNetTorch,5506,612,6,0.5598652362823486,1.1705044507980347,0.08270155638456345,0.5702614188194275,0.47655084170401096
first-order-theorem-proving,RandomForest,5506,612,6,0.5258292555809021,1.0983831882476807,0.07466261088848114,0.6045751571655273,0.4840162880718708
first-order-theorem-proving,XGBoost,5506,612,6,0.524172306060791,1.1029964685440063,0.08292446285486221,0.6111111044883728,0.4781348295509815
har,CatBoost,9269,1030,6,0.005942665971815586,0.008840463124215603,0.004183388780802488,0.9961165189743042,1.6949947383254766
har,ExtraTrees,9269,1030,6,0.018475482240319252,0.03201080858707428,0.004716174677014351,0.9873786568641663,1.610449392348528
har,LightGBM,9269,1030,6,0.00019335895194672048,0.0009268794092349708,0.0008711488335393369,1.0,1.684049503877759
har,LinearModel,9269,1030,6,0.015970371663570404,0.030254319310188293,0.005705969873815775,0.9902912378311157,1.714670730754733
har,NeuralNetFastAI,9269,1030,6,0.007950319908559322,0.013888092711567879,0.0030902314465492964,0.9941747784614563,1.7263945117592812
har,NeuralNetTorch,9269,1030,6,0.007265530526638031,0.01400980819016695,0.003409354714676738,0.9961165189743042,1.6943426337093115
har,RandomForest,9269,1030,6,0.02881765365600586,0.05238546431064606,0.004111240617930889,0.9815533757209778,1.6281789988279343
har,XGBoost,9269,1030,6,0.003930425271391869,0.0066703069023787975,0.002348200883716345,0.9980582594871521,1.7926235664635897
isolet,CatBoost,7017,780,26,0.07008183002471924,0.1352235972881317,0.020430583506822586,0.9487179517745972,3.5738686360418797
isolet,ExtraTrees,7017,780,26,0.10704205185174942,0.24230733513832092,0.0706402063369751,0.9397435784339905,3.5740890447050333
isolet,LightGBM,7017,780,26,0.054280880838632584,0.1242230162024498,0.015505489893257618,0.9615384340286255,3.5851257238537073
isolet,LinearModel,7017,780,26,0.059147369116544724,0.13606570661067963,0.009749586693942547,0.9653846025466919,3.571177812293172
isolet,NeuralNetFastAI,7017,780,26,0.04639778286218643,0.09780756384134293,0.01589720882475376,0.9666666388511658,3.5884443409740925
isolet,NeuralNetTorch,7017,780,26,0.05402349680662155,0.12091425061225891,0.012206029146909714,0.9666666388511658,3.5800517220050097
