dataset,model,cal_size,test_size,n_classes,Dirichlet_logloss,Dirichlet_brier,Dirichlet_accuracy,Dirichlet_ece-15,Dirichlet_time
Traffic_violations,NeuralNetTorch,63306,7034,3,0.437913774903102,0.28881211602984497,0.7826272249221802,0.008541149087250233,0.5518402920006338
Traffic_violations,RandomForest,63306,7034,3,0.41134001853967106,0.2735390736214795,0.7922945618629456,0.013599264435470104,0.4008465419992717
Traffic_violations,XGBoost,63306,7034,3,0.40929751676175036,0.27290890705147514,0.7932897210121155,0.007970108650624752,0.40974862500024756
UMIST_Faces_Cropped,CatBoost,517,58,20,0.007218598440540125,0.0021528865308702854,1.0,0.006497486028820276,6.736498291999851
UMIST_Faces_Cropped,ExtraTrees,517,58,20,0.05175739630028828,0.03138849694442814,0.9655172228813171,0.02137339487671852,1.6966446249998626
UMIST_Faces_Cropped,LightGBM,517,58,20,0.3042975007765421,0.06664207748117026,0.9655172228813171,0.03307652473449707,1.8953753750001852
UMIST_Faces_Cropped,LinearModel,517,58,20,0.11945509116285968,0.0565800559068863,0.9655172228813171,0.026890195906162262,2.102641749999748
UMIST_Faces_Cropped,NeuralNetFastAI,517,58,20,0.11372087163972955,0.030907645843721843,0.982758641242981,0.016620999202132225,1.8703921670003183
UMIST_Faces_Cropped,NeuralNetTorch,517,58,20,0.17334557229936592,0.03796540965070101,0.982758641242981,0.024662790820002556,1.6720059579993176
UMIST_Faces_Cropped,RandomForest,517,58,20,0.0830108678498482,0.04721343607335417,0.9655172228813171,0.028109658509492874,1.4677155829995172
UMIST_Faces_Cropped,XGBoost,517,58,20,0.2137619777022615,0.06964867040818762,0.9655172228813171,0.04436880350112915,1.485012082999674
analcatdata_authorship,CatBoost,756,85,4,0.09971821322428769,0.05078811879695693,0.9647058844566345,0.02770456299185753,4.793991583999741
analcatdata_authorship,ExtraTrees,756,85,4,0.0766201642219428,0.039312257839064696,0.9647058844566345,0.02902315743267536,0.4250402080006097
analcatdata_authorship,LightGBM,756,85,4,0.5581530367329489,0.031181488877468473,0.9764705896377563,0.018275663256645203,0.6219872080000641
analcatdata_authorship,LinearModel,756,85,4,0.14543273312312457,0.02352983402424886,0.9882352948188782,0.011134803295135498,0.5575404170003821
analcatdata_authorship,NeuralNetFastAI,756,85,4,0.14077252454599523,0.08348731419550995,0.9529411792755127,0.04567854851484299,0.5572543340003904
analcatdata_authorship,NeuralNetTorch,756,85,4,0.1442545886876339,0.08478096755262886,0.9529411792755127,0.046532802283763885,0.7772915410005226
analcatdata_authorship,RandomForest,756,85,4,0.09045155406786684,0.04534146244423831,0.9764705896377563,0.04318004474043846,0.40736404200015386
analcatdata_authorship,XGBoost,756,85,4,0.028347361180661244,0.01846121038167934,0.9882352948188782,0.01674383319914341,0.8307694159993844
analcatdata_dmft,CatBoost,717,80,6,1.7450903792684875,0.819230145519483,0.22499999403953552,0.009125562384724617,5.766206499999498
analcatdata_dmft,ExtraTrees,717,80,6,1.7409308065451623,0.8166861981631168,0.1875,0.04339005798101425,0.22022350000042934
analcatdata_dmft,LightGBM,717,80,6,1.7207059165108263,0.8117611561105484,0.22499999403953552,0.08993188291788101,0.18303495799955272
analcatdata_dmft,LinearModel,717,80,6,1.7419685679372088,0.8176693968218061,0.23749999701976776,0.05954825133085251,0.2213806250001653
analcatdata_dmft,NeuralNetFastAI,717,80,6,1.7438100256698312,0.8178811972884261,0.22499999403953552,0.025406956672668457,0.4736816249996991
analcatdata_dmft,NeuralNetTorch,717,80,6,1.7218553478911407,0.810814598790379,0.23749999701976776,0.0180981308221817,0.2048697499994887
analcatdata_dmft,RandomForest,717,80,6,1.7470015353953596,0.819983592788228,0.21250000596046448,0.01426797453314066,0.20633033299964154
analcatdata_dmft,XGBoost,717,80,6,1.7449607817912178,0.8175863207624043,0.22499999403953552,0.05130678415298462,0.15817370800050412
artificial-characters,CatBoost,9196,1022,10,0.1713818201922769,0.07344557917000442,0.9589040875434875,0.04578090086579323,3.3793348749995857
artificial-characters,ExtraTrees,9196,1022,10,0.21092934320119733,0.08430041400610697,0.9540117383003235,0.030226485803723335,1.2449795830007133
artificial-characters,LightGBM,9196,1022,10,0.1437930543778227,0.06030794863889126,0.9618395566940308,0.04478517174720764,1.616706124999837
artificial-characters,LinearModel,9196,1022,10,1.6573299679251323,0.7413036374902625,0.3414872884750366,0.05040154233574867,1.1463529169996036
artificial-characters,NeuralNetFastAI,9196,1022,10,0.5981584089993082,0.3582708430987706,0.7074363827705383,0.053049083799123764,1.0772261669999352
artificial-characters,NeuralNetTorch,9196,1022,10,0.5870547207460051,0.3478702738415157,0.7191780805587769,0.04110584408044815,0.8937027499996475
artificial-characters,RandomForest,9196,1022,10,0.22496557624894536,0.08417609307665706,0.9559686779975891,0.0418044738471508,1.516788916999758
artificial-characters,XGBoost,9196,1022,10,0.16109400914212074,0.0692041312000188,0.9618395566940308,0.051263369619846344,1.4032346670001061
autoUniv-au6-750,CatBoost,675,75,8,1.9526794653795718,0.8335066130418322,0.2133333384990692,0.11233538389205933,2.2165879169997424
autoUniv-au6-750,ExtraTrees,675,75,8,1.9426792078317392,0.8306514876305879,0.2800000011920929,0.14751972258090973,0.23016912500042963
autoUniv-au6-750,LightGBM,675,75,8,1.8497619807660317,0.7970971478574881,0.3466666638851166,0.08311735838651657,0.219206208000287
autoUniv-au6-750,LinearModel,675,75,8,2.000033603370746,0.8530982171932057,0.20000000298023224,0.08111826330423355,0.26817591700000776
autoUniv-au6-750,NeuralNetFastAI,675,75,8,1.9900483274805736,0.8518608392346083,0.23999999463558197,0.0907464474439621,0.21471241699964594
autoUniv-au6-750,NeuralNetTorch,675,75,8,1.992375089155997,0.8523329554588776,0.20000000298023224,0.02322324365377426,0.21703824999985954
autoUniv-au6-750,RandomForest,675,75,8,1.7971566822346354,0.7697621341964995,0.36000001430511475,0.1734316647052765,0.21896729200034315
autoUniv-au6-750,XGBoost,675,75,8,1.920075043760664,0.8167811975063892,0.30666667222976685,0.07043251395225525,0.2717267919997539
autoUniv-au7-1100,CatBoost,990,110,5,1.4246228079241798,0.735835310212849,0.41818180680274963,0.13240350782871246,4.509662166000453
autoUniv-au7-1100,ExtraTrees,990,110,5,1.4702204572000535,0.7529412003978865,0.41818180680274963,0.16997098922729492,0.21889875000033499
autoUniv-au7-1100,LightGBM,990,110,5,1.4339902236498705,0.7380293337053468,0.3909091055393219,0.09015808999538422,0.2608247090001896
autoUniv-au7-1100,LinearModel,990,110,5,1.5310166797732203,0.773179425953897,0.34545454382896423,0.09565267711877823,0.22410545899947465
autoUniv-au7-1100,NeuralNetFastAI,990,110,5,1.4455373923989285,0.7447184588907273,0.3636363744735718,0.07093589007854462,0.23699541699988913
autoUniv-au7-1100,NeuralNetTorch,990,110,5,1.4170455647806057,0.7292908497459996,0.3909091055393219,0.08031269907951355,0.2144090829997367
autoUniv-au7-1100,RandomForest,990,110,5,1.4128991674456157,0.7145164160733046,0.4272727370262146,0.1026289314031601,0.2054189589998714
autoUniv-au7-1100,XGBoost,990,110,5,1.4051976921058262,0.7239789133982945,0.38181817531585693,0.11986041814088821,0.2652969579994533
autoUniv-au7-700,CatBoost,630,70,3,0.944883057296075,0.5689637939202538,0.4285714328289032,0.13427512347698212,3.6445592079999187
autoUniv-au7-700,ExtraTrees,630,70,3,0.9360182005189537,0.5635786665006831,0.4571428596973419,0.09606759250164032,0.2078190000001996
autoUniv-au7-700,LightGBM,630,70,3,0.8830167259852484,0.528432679507339,0.5142857432365417,0.1620347797870636,0.20447137500013923
autoUniv-au7-700,LinearModel,630,70,3,1.1081316643077974,0.6732040926016987,0.4000000059604645,0.09597153961658478,0.20518937499946333
autoUniv-au7-700,NeuralNetFastAI,630,70,3,1.030177857928854,0.6202975696224716,0.48571428656578064,0.0926898941397667,0.20351974999994127
autoUniv-au7-700,NeuralNetTorch,630,70,3,1.0343445793909232,0.6266177819603616,0.4571428596973419,0.08158892393112183,0.15047491600034846
autoUniv-au7-700,RandomForest,630,70,3,0.8797152375885479,0.5360180699142796,0.5142857432365417,0.1428034007549286,0.19586095799968462
autoUniv-au7-700,XGBoost,630,70,3,0.9007051515684913,0.5355655344724115,0.5142857432365417,0.16392679512500763,0.20670104199962225
balance-scale,CatBoost,562,63,3,0.02840808801282275,0.009936103902873906,1.0,0.02476591244339943,2.2262132500000007
balance-scale,ExtraTrees,562,63,3,0.13924865338266448,0.07957483585387623,0.9365079402923584,0.05569829046726227,0.6121031249995212
balance-scale,LightGBM,562,63,3,0.05628824193383994,0.03126626302549034,0.9841269850730896,0.022467292845249176,0.3958998750003957
balance-scale,LinearModel,562,63,3,0.15029372590411336,0.07877692919193414,0.9523809552192688,0.04462822526693344,0.3428992910003217
balance-scale,NeuralNetFastAI,562,63,3,0.015364245115574967,0.00522352543191617,1.0,0.013445685617625713,0.2907526249991861
balance-scale,NeuralNetTorch,562,63,3,0.0060114144103898025,0.0014891359543247585,1.0,0.005569217726588249,0.29222520800067286
balance-scale,RandomForest,562,63,3,0.15506248196628888,0.08639218043850798,0.9365079402923584,0.05426045507192612,0.49358612499963783
balance-scale,XGBoost,562,63,3,0.028959258493789258,0.010031594525248662,1.0,0.025574790313839912,0.47153458400043746
baseball,CatBoost,1206,134,3,0.1348832852861035,0.07186775662163972,0.9552238583564758,0.033722225576639175,2.2314422090003063
baseball,ExtraTrees,1206,134,3,0.13705536966320958,0.07523042439978618,0.9477611780166626,0.02904273010790348,0.2183310000000347
baseball,LightGBM,1206,134,3,0.13267007161054645,0.0733947105730709,0.9552238583564758,0.039712850004434586,0.21242154199990182
baseball,LinearModel,1206,134,3,0.12648524109600542,0.0670374462724681,0.9552238583564758,0.03882964700460434,0.24619012500079407
baseball,NeuralNetFastAI,1206,134,3,0.12510121190502752,0.0725544008666526,0.9477611780166626,0.03614800050854683,0.2528024590001223
baseball,NeuralNetTorch,1206,134,3,0.1334949061376149,0.07324500375274356,0.9477611780166626,0.020989952608942986,0.23155020800004422
baseball,RandomForest,1206,134,3,0.14251858149516128,0.07594399493744078,0.9477611780166626,0.03907949477434158,0.24321608399986872
baseball,XGBoost,1206,134,3,0.13468964539707756,0.07136687624036187,0.9552238583564758,0.04284518584609032,0.20928245799950673
car,CatBoost,1555,173,4,0.0033128478283323396,0.0012132926934496342,1.0,0.0029525794088840485,2.620968707999964
car,ExtraTrees,1555,173,4,0.027767820738096336,0.011963587473833217,0.9942196607589722,0.009506125003099442,0.34178133299974434
car,LightGBM,1555,173,4,0.0001258036830546123,4.159374570524802e-07,1.0,0.00012552738189697266,0.6205649160001485
car,LinearModel,1555,173,4,0.1309701230729639,0.08174453939425491,0.9248554706573486,0.03549322485923767,0.3849657920000027
car,NeuralNetFastAI,1555,173,4,0.0006940848986459811,5.669980435644488e-05,1.0,0.000679385440889746,0.6272574580007131
car,NeuralNetTorch,1555,173,4,0.00018508592148720645,6.551077316563691e-07,1.0,0.00018453598022460938,0.6460019170008309
car,RandomForest,1555,173,4,0.054760517604806214,0.028878241436718376,0.9826589822769165,0.01703987643122673,0.30530849999922793
car,XGBoost,1555,173,4,0.0008884217687135588,7.143727531867374e-05,1.0,0.0008697775192558765,0.44622475000051054
cardiotocography,CatBoost,1913,213,10,0.00011481944004942211,6.298170855437982e-08,1.0,0.00011557340621948242,3.117618790999586
cardiotocography,ExtraTrees,1913,213,10,7.003138328358199e-05,1.6041853253772532e-08,1.0,7.158517837524414e-05,1.0148157500007073
cardiotocography,LightGBM,1913,213,10,8.464931219030148e-05,2.5734780784714266e-08,1.0,8.52346420288086e-05,0.9330209169993395
cardiotocography,LinearModel,1913,213,10,8.132797334466831e-05,3.2995283508061214e-08,1.0,8.219480514526367e-05,0.9245180420002725
cardiotocography,NeuralNetFastAI,1913,213,10,0.00010517748570275399,4.929780741074749e-07,1.0,0.00010657310485839844,0.8600695840004846
cardiotocography,NeuralNetTorch,1913,213,10,7.056240409498183e-05,1.6530244152493725e-08,1.0,7.212162017822266e-05,0.8551596659999632
cardiotocography,RandomForest,1913,213,10,6.740600544333462e-05,1.4105938709816509e-08,1.0,6.842613220214844e-05,0.9408470830003353
cardiotocography,XGBoost,1913,213,10,0.00022039715201765023,2.058796178196409e-07,1.0,0.00022149085998535156,0.9981277910001154
cmc,CatBoost,1325,148,3,0.8350530328103252,0.49531732579721727,0.5945945978164673,0.08725269138813019,2.0614618339996014
cmc,ExtraTrees,1325,148,3,0.8555705138219423,0.5065506523501169,0.5945945978164673,0.06267515569925308,0.19529979199978698
cmc,LightGBM,1325,148,3,0.876355848957105,0.5213908337655974,0.5743243098258972,0.07111053913831711,0.19312575000003562
cmc,LinearModel,1325,148,3,0.8658302874452101,0.520319718799281,0.6081081032752991,0.08520034700632095,0.1557654159996673
cmc,NeuralNetFastAI,1325,148,3,0.8426619723021073,0.5013365000730037,0.5810810923576355,0.06267035752534866,0.48675175000062154
cmc,NeuralNetTorch,1325,148,3,0.8524707162098053,0.50549597459807,0.6486486196517944,0.12490665912628174,0.14970062500015047
cmc,RandomForest,1325,148,3,0.8471138083201716,0.5047370055245763,0.5743243098258972,0.07627739757299423,0.1514121250002063
cmc,XGBoost,1325,148,3,0.8472969873911462,0.5013715770447759,0.5810810923576355,0.07243234664201736,0.2019422499997745
cnae-9,CatBoost,972,108,9,0.22523206810817276,0.08115474402709912,0.9537037014961243,0.04801957309246063,5.182355957999789
cnae-9,ExtraTrees,972,108,9,0.22239428753596055,0.08584839849640247,0.9444444179534912,0.04462842270731926,0.6323182500000257
cnae-9,LightGBM,972,108,9,0.1610402414375301,0.049319904046207334,0.9722222089767456,0.03193163499236107,0.6611594160003733
cnae-9,LinearModel,972,108,9,0.14861496291767004,0.05752619640739588,0.9444444179534912,0.04708102345466614,0.5940284999996948
cnae-9,NeuralNetFastAI,972,108,9,0.1299240996730888,0.052096739210736244,0.9629629850387573,0.035907503217458725,0.4532070420000309
cnae-9,NeuralNetTorch,972,108,9,0.12903221752850827,0.05568938734181607,0.9722222089767456,0.0394679456949234,0.5947146250000515
cnae-9,RandomForest,972,108,9,0.22566398598029616,0.08507479847502415,0.9351851940155029,0.053946055471897125,0.6809857909993298
cnae-9,XGBoost,972,108,9,0.19305160842894298,0.08158783357990701,0.9351851940155029,0.0441683754324913,0.4799357920001057
collins,CatBoost,900,100,30,2.0219647098480427,0.8003131451839098,0.3100000023841858,0.10758815705776215,10.222851624999748
collins,ExtraTrees,900,100,30,2.419642515680871,0.9016173080486931,0.2199999988079071,0.16143888235092163,6.625745583000025
collins,LightGBM,900,100,30,2.140684778599657,0.8423801398312927,0.2800000011920929,0.11611920595169067,7.318023874999199
collins,LinearModel,900,100,30,2.3048813025765145,0.8731391947429895,0.27000001072883606,0.16406892240047455,17.858586084000308
collins,NeuralNetFastAI,900,100,30,2.1136118786794484,0.816341868397402,0.25999999046325684,0.11093052476644516,4.565643249999994
collins,NeuralNetTorch,900,100,30,2.008505486107511,0.7942508017888139,0.30000001192092896,0.12423601746559143,3.3772610830001213
collins,RandomForest,900,100,30,2.491947731067202,0.9311917343993585,0.20000000298023224,0.1882699728012085,6.676118874999702
collins,XGBoost,900,100,30,2.2921716252962354,0.8707687201352284,0.27000001072883606,0.12092821300029755,3.8487869169994156
connect-4,CatBoost,60801,6756,3,0.31385752472687345,0.17568615101547314,0.8777382969856262,0.014140760526061058,2.5098671249998006
connect-4,ExtraTrees,60801,6756,3,0.4478607530177258,0.24953449404238154,0.8220840692520142,0.00800309143960476,0.43424066599982325
connect-4,LightGBM,60801,6756,3,0.31457838422621254,0.1758352470317218,0.874333918094635,0.014287957921624184,0.4171870829995896
connect-4,LinearModel,60801,6756,3,0.5916775795735517,0.3344200396947978,0.7587329745292664,0.011488288640975952,0.344656125000256
connect-4,NeuralNetFastAI,60801,6756,3,0.2990666975256986,0.16714340880005288,0.8839550018310547,0.019991695880889893,0.33471608299987565
connect-4,NeuralNetTorch,60801,6756,3,0.3143843086490508,0.1755199541823673,0.8787744045257568,0.025253474712371826,0.3417064579998623
connect-4,RandomForest,60801,6756,3,0.46738313821663585,0.25953939516088553,0.8161634206771851,0.008132603019475937,0.4042855839998083
connect-4,XGBoost,60801,6756,3,0.31553742991307426,0.17675864443139386,0.8728537559509277,0.013218480162322521,0.41131333300018014
dilbert,CatBoost,9000,1000,5,0.04503707269844452,0.02207065615734735,0.9869999885559082,0.007101165130734444,2.6168439159991976
dilbert,ExtraTrees,9000,1000,5,0.08429457398465004,0.04091334718617039,0.9750000238418579,0.017140887677669525,0.5261082079996413
dilbert,LightGBM,9000,1000,5,0.026418630900929007,0.010869387339235804,0.9919999837875366,0.006295010447502136,0.4378977919996032
dilbert,LinearModel,9000,1000,5,0.1640635903574676,0.08998363012268873,0.9430000185966492,0.02259857952594757,0.3622115410007609
dilbert,NeuralNetFastAI,9000,1000,5,0.03691083700828065,0.019041055703565186,0.9869999885559082,0.009531507268548012,0.4195951250003418
dilbert,NeuralNetTorch,9000,1000,5,0.030827823874980377,0.014240940801577746,0.9909999966621399,0.014081604778766632,0.42355304200009414
dilbert,RandomForest,9000,1000,5,0.12806200552731573,0.0660105455535914,0.953000009059906,0.016324937343597412,0.4272153749998324
dilbert,XGBoost,9000,1000,5,0.03921445961332577,0.018447814617977655,0.9890000224113464,0.005793064367026091,0.36188549999951647
dna,CatBoost,2867,319,3,0.12030816533331437,0.06259628704444961,0.9655172228813171,0.02549443207681179,2.2099611249996087
dna,ExtraTrees,2867,319,3,0.15683666491785908,0.08155702017950858,0.9467084407806396,0.035592611879110336,0.25583075000031386
dna,LightGBM,2867,319,3,0.11932652675663662,0.06257259999336158,0.9561128616333008,0.018382763490080833,0.20903220799937117
dna,LinearModel,2867,319,3,0.2294347445857745,0.1245448324086037,0.92476487159729,0.04451952874660492,0.3083337919997575
dna,NeuralNetFastAI,2867,319,3,0.15600663924041624,0.0819456887743162,0.9435736536979675,0.026808036491274834,0.2955664169994634
dna,NeuralNetTorch,2867,319,3,0.15733818164645125,0.08004481872314499,0.9467084407806396,0.02243354730308056,0.21059325000078388
dna,RandomForest,2867,319,3,0.1698998297839763,0.09085119139369095,0.9404388666152954,0.02250656858086586,0.25161991599998146
dna,XGBoost,2867,319,3,0.1209469889840991,0.06148736675413094,0.9592476487159729,0.01905541494488716,0.1980401669998173
eucalyptus,CatBoost,662,74,5,0.6619818948499651,0.4023618179793675,0.7027027010917664,0.0756087601184845,2.5224414169997544
