dataset,model,cal_size,test_size,n_classes,Base-model_brier,Base-model_logloss,Base-model_ece-15,Base-model_accuracy,Base-model_time
kr-vs-k,LinearModel,25250,2806,18,0.7930752635002136,1.853553056716919,0.047816261649131775,0.3328581750392914,0
kr-vs-k,NeuralNetFastAI,25250,2806,18,0.16676022112369537,0.31845641136169434,0.0773996040225029,0.8941553831100464,0
kr-vs-k,NeuralNetTorch,25250,2806,18,0.11706153303384781,0.2198227494955063,0.05087193474173546,0.9230220913887024,0
kr-vs-k,RandomForest,25250,2806,18,0.17594146728515625,0.41516217589378357,0.06727967411279678,0.8895224332809448,0
kr-vs-k,XGBoost,25250,2806,18,0.11579294502735138,0.22867648303508759,0.025902478024363518,0.927655041217804,0
led24,CatBoost,2880,320,10,0.39802393317222595,0.8372359275817871,0.07011561095714569,0.71875,0
led24,ExtraTrees,2880,320,10,0.400231271982193,0.8359318971633911,0.06738477945327759,0.7093750238418579,0
led24,LightGBM,2880,320,10,0.4008760452270508,0.8455411791801453,0.06161561980843544,0.715624988079071,0
led24,LinearModel,2880,320,10,0.3974706530570984,0.8183253407478333,0.06622359901666641,0.7124999761581421,0
led24,NeuralNetFastAI,2880,320,10,0.38379478454589844,0.8112529516220093,0.05961725488305092,0.7406250238418579,0
led24,NeuralNetTorch,2880,320,10,0.38626670837402344,0.8039337396621704,0.056152068078517914,0.737500011920929,0
led24,RandomForest,2880,320,10,0.3972977101802826,0.8293927907943726,0.07000229507684708,0.7124999761581421,0
led24,XGBoost,2880,320,10,0.4003068804740906,0.8522445559501648,0.05930185690522194,0.715624988079071,0
letter,CatBoost,18000,2000,26,0.03393716737627983,0.07234948128461838,0.006692036986351013,0.9779999852180481,0
letter,ExtraTrees,18000,2000,26,0.0920318141579628,0.23447701334953308,0.13117781281471252,0.9735000133514404,0
letter,LightGBM,18000,2000,26,0.03510770574212074,0.07864958047866821,0.0056513408198952675,0.9775000214576721,0
letter,LinearModel,18000,2000,26,0.30871129035949707,0.825319230556488,0.05539574474096298,0.7950000166893005,0
letter,NeuralNetFastAI,18000,2000,26,0.020454037934541702,0.041947707533836365,0.006873611360788345,0.9860000014305115,0
letter,NeuralNetTorch,18000,2000,26,0.021803412586450577,0.04413565993309021,0.007182152476161718,0.984499990940094,0
letter,RandomForest,18000,2000,26,0.08920107036828995,0.21638180315494537,0.10387318581342697,0.9674999713897705,0
letter,XGBoost,18000,2000,26,0.03786253556609154,0.0818842425942421,0.010423507541418076,0.9750000238418579,0
mfeat-factors,CatBoost,1800,200,10,0.04216759651899338,0.10510740429162979,0.023252056911587715,0.9800000190734863,0
mfeat-factors,ExtraTrees,1800,200,10,0.07805002480745316,0.21258217096328735,0.11943370848894119,0.9700000286102295,0
mfeat-factors,LightGBM,1800,200,10,0.041075367480516434,0.10111311823129654,0.021015062928199768,0.9800000190734863,0
mfeat-factors,LinearModel,1800,200,10,0.03206145390868187,0.07038550078868866,0.015434115193784237,0.9850000143051147,0
mfeat-factors,NeuralNetFastAI,1800,200,10,0.02706880494952202,0.05017106235027313,0.0180345606058836,0.9850000143051147,0
mfeat-factors,NeuralNetTorch,1800,200,10,0.029553454369306564,0.06155405193567276,0.013633892871439457,0.9850000143051147,0
mfeat-factors,RandomForest,1800,200,10,0.0799746960401535,0.19831474125385284,0.10701706260442734,0.9700000286102295,0
mfeat-factors,XGBoost,1800,200,10,0.04454176127910614,0.10616636276245117,0.025210369378328323,0.9800000190734863,0
micro-mass,CatBoost,513,58,20,0.05957946181297302,0.12123186886310577,0.06098109483718872,0.9655172228813171,0
micro-mass,ExtraTrees,513,58,20,0.1765718013048172,0.41454654932022095,0.25885117053985596,0.9655172228813171,0
micro-mass,LightGBM,513,58,20,0.0998830571770668,0.1685563176870346,0.03444410488009453,0.931034505367279,0
micro-mass,LinearModel,513,58,20,0.08551932871341705,0.15759770572185516,0.023268844932317734,0.9482758641242981,0
micro-mass,NeuralNetFastAI,513,58,20,0.20101360976696014,0.42782488465309143,0.08060715347528458,0.8620689511299133,0
micro-mass,NeuralNetTorch,513,58,20,0.06985488533973694,0.15025101602077484,0.06212814524769783,0.9482758641242981,0
micro-mass,RandomForest,513,58,20,0.15395455062389374,0.3459334671497345,0.16413873434066772,0.9137930870056152,0
micro-mass,XGBoost,513,58,20,0.12570983171463013,0.26414263248443604,0.0703432559967041,0.9137930870056152,0
microaggregation2,CatBoost,18000,2000,5,0.4820088744163513,0.906787633895874,0.019689809530973434,0.6370000243186951,0
microaggregation2,ExtraTrees,18000,2000,5,0.496283620595932,0.9412998557090759,0.029997926205396652,0.6244999766349792,0
microaggregation2,LightGBM,18000,2000,5,0.47745031118392944,0.8947745561599731,0.018114522099494934,0.640500009059906,0
microaggregation2,LinearModel,18000,2000,5,0.5538008213043213,1.0447461605072021,0.024003006517887115,0.5809999704360962,0
microaggregation2,NeuralNetFastAI,18000,2000,5,0.4582522511482239,0.8588773012161255,0.021428124979138374,0.6514999866485596,0
microaggregation2,NeuralNetTorch,18000,2000,5,0.46584826707839966,0.8727816939353943,0.03005398064851761,0.6460000276565552,0
microaggregation2,RandomForest,18000,2000,5,0.49549543857574463,0.9388969540596008,0.015099341049790382,0.6269999742507935,0
microaggregation2,XGBoost,18000,2000,5,0.48051172494888306,0.9010094404220581,0.019978757947683334,0.6315000057220459,0
okcupid-stem,CatBoost,45710,5079,3,0.3357791602611542,0.5624794363975525,0.007421004120260477,0.761961042881012,0
okcupid-stem,ExtraTrees,45710,5079,3,0.3557963967323303,0.5914970636367798,0.016582541167736053,0.7454223036766052,0
okcupid-stem,LightGBM,45710,5079,3,0.33884650468826294,0.5651586055755615,0.011122755706310272,0.7597952485084534,0
okcupid-stem,LinearModel,45710,5079,3,0.3450887203216553,0.5767086148262024,0.017328688874840736,0.7556605339050293,0
okcupid-stem,NeuralNetFastAI,45710,5079,3,0.34195899963378906,0.5699105262756348,0.014750120230019093,0.7594014406204224,0
okcupid-stem,NeuralNetTorch,45710,5079,3,0.3380042612552643,0.564551591873169,0.015960048884153366,0.761961042881012,0
okcupid-stem,RandomForest,45710,5079,3,0.3546501696109772,0.5897305607795715,0.01608765311539173,0.7452254295349121,0
okcupid-stem,XGBoost,45710,5079,3,0.33898311853408813,0.5657685995101929,0.012083818204700947,0.7607796788215637,0
optdigits,CatBoost,5058,562,10,0.02231507934629917,0.04924618452787399,0.008644714020192623,0.9857650995254517,0
optdigits,ExtraTrees,5058,562,10,0.053592756390571594,0.1579095721244812,0.10571808367967606,0.9857650995254517,0
optdigits,LightGBM,5058,562,10,0.018199186772108078,0.04358562454581261,0.008238322101533413,0.9893238544464111,0
optdigits,LinearModel,5058,562,10,0.052838586270809174,0.09668520838022232,0.015457002446055412,0.9679715037345886,0
optdigits,NeuralNetFastAI,5058,562,10,0.019393151625990868,0.03981851041316986,0.010351215489208698,0.9911032319068909,0
optdigits,NeuralNetTorch,5058,562,10,0.013110795989632607,0.02916775643825531,0.005478252191096544,0.9928825497627258,0
optdigits,RandomForest,5058,562,10,0.06488567590713501,0.16469763219356537,0.0882863774895668,0.9697508811950684,0
optdigits,XGBoost,5058,562,10,0.028747087344527245,0.05652720108628273,0.010452482849359512,0.9786477088928223,0
page-blocks,CatBoost,4925,548,5,0.04320463538169861,0.08819234371185303,0.011128624901175499,0.970802903175354,0
page-blocks,ExtraTrees,4925,548,5,0.04366720840334892,0.10835208743810654,0.016893573105335236,0.9762773513793945,0
page-blocks,LightGBM,4925,548,5,0.04161279648542404,0.08459575474262238,0.012116599828004837,0.9726277589797974,0
page-blocks,LinearModel,4925,548,5,0.046502452343702316,0.10238802433013916,0.014400811865925789,0.9671533107757568,0
page-blocks,NeuralNetFastAI,4925,548,5,0.0483863428235054,0.10214680433273315,0.011421924456954002,0.9671533107757568,0
page-blocks,NeuralNetTorch,4925,548,5,0.03683120012283325,0.082867830991745,0.014573235996067524,0.9762773513793945,0
page-blocks,RandomForest,4925,548,5,0.04142651706933975,0.102646604180336,0.009826721623539925,0.974452555179596,0
page-blocks,XGBoost,4925,548,5,0.04003355652093887,0.08405797928571701,0.012025818228721619,0.974452555179596,0
pendigits,CatBoost,9892,1100,10,0.005463315639644861,0.010190650820732117,0.00445597805082798,0.9972727298736572,0
pendigits,ExtraTrees,9892,1100,10,0.019470328465104103,0.058617427945137024,0.04280645027756691,0.9945454597473145,0
pendigits,LightGBM,9892,1100,10,0.00754029955714941,0.015046289190649986,0.0018053906969726086,0.9954545497894287,0
pendigits,LinearModel,9892,1100,10,0.07059845328330994,0.14883622527122498,0.018366215750575066,0.9581817984580994,0
pendigits,NeuralNetFastAI,9892,1100,10,0.004546508193016052,0.010229283012449741,0.002947754692286253,0.9981818199157715,0
pendigits,NeuralNetTorch,9892,1100,10,0.003910565748810768,0.007272372022271156,0.004678922705352306,0.996363639831543,0
pendigits,RandomForest,9892,1100,10,0.023686790838837624,0.05978155508637428,0.035764291882514954,0.9909090995788574,0
pendigits,XGBoost,9892,1100,10,0.010846927762031555,0.02057240530848503,0.0038258195854723454,0.9927272796630859,0
robert,CatBoost,9000,1000,10,0.6002816557884216,1.3266301155090332,0.08222871273756027,0.5519999861717224,0
robert,ExtraTrees,9000,1000,10,0.7228537201881409,1.6715019941329956,0.19711153209209442,0.47600001096725464,0
robert,LightGBM,9000,1000,10,0.5698010325431824,1.254855990409851,0.04519890993833542,0.5590000152587891,0
robert,LinearModel,9000,1000,10,0.9312681555747986,3.3674843311309814,0.3396841585636139,0.37400001287460327,0
robert,NeuralNetFastAI,9000,1000,10,0.6554968357086182,1.4794610738754272,0.04556814581155777,0.4749999940395355,0
robert,NeuralNetTorch,9000,1000,10,0.6543539762496948,1.4811733961105347,0.07906882464885712,0.5,0
robert,RandomForest,9000,1000,10,0.7212232947349548,1.6715006828308105,0.19335469603538513,0.48100000619888306,0
robert,XGBoost,9000,1000,10,0.6165451407432556,1.3775323629379272,0.07829948514699936,0.5199999809265137,0
satimage,CatBoost,5787,643,6,0.1179986447095871,0.2080073356628418,0.026077723130583763,0.9160186648368835,0
satimage,ExtraTrees,5787,643,6,0.1294531226158142,0.2431507259607315,0.05559857189655304,0.917573869228363,0
satimage,LightGBM,5787,643,6,0.11983529478311539,0.21266642212867737,0.020653443410992622,0.917573869228363,0
satimage,LinearModel,5787,643,6,0.18871071934700012,0.3368613123893738,0.03059939667582512,0.8569206595420837,0
satimage,NeuralNetFastAI,5787,643,6,0.11048118770122528,0.18596680462360382,0.015491941943764687,0.920684278011322,0
satimage,NeuralNetTorch,5787,643,6,0.11357363313436508,0.19250185787677765,0.022860929369926453,0.917573869228363,0
satimage,RandomForest,5787,643,6,0.1321893036365509,0.24872438609600067,0.05712791159749031,0.9191290736198425,0
satimage,XGBoost,5787,643,6,0.11547815799713135,0.21827030181884766,0.021283235400915146,0.9269051551818848,0
segment,CatBoost,2079,231,7,0.03143531084060669,0.07623758167028427,0.01755584217607975,0.9870129823684692,0
segment,ExtraTrees,2079,231,7,0.03602002561092377,0.08823956549167633,0.03729752078652382,0.9826839566230774,0
segment,LightGBM,2079,231,7,0.03647264838218689,0.08824967592954636,0.014906744472682476,0.9783549904823303,0
segment,LinearModel,2079,231,7,0.044803034514188766,0.09499061107635498,0.03260861337184906,0.9783549904823303,0
segment,NeuralNetFastAI,2079,231,7,0.03220329061150551,0.06777947396039963,0.02379392832517624,0.9826839566230774,0
segment,NeuralNetTorch,2079,231,7,0.03203321248292923,0.06490561366081238,0.034658752381801605,0.9913420081138611,0
segment,RandomForest,2079,231,7,0.03646989166736603,0.08660979568958282,0.027449140325188637,0.9783549904823303,0
segment,XGBoost,2079,231,7,0.04024656489491463,0.0925498679280281,0.020305372774600983,0.9696969985961914,0
semeion,CatBoost,1433,160,10,0.09581594169139862,0.19605520367622375,0.034732233732938766,0.9375,0
semeion,ExtraTrees,1433,160,10,0.21306459605693817,0.5150406956672668,0.1756877452135086,0.8812500238418579,0
semeion,LightGBM,1433,160,10,0.12952658534049988,0.2701524496078491,0.056767337024211884,0.90625,0
semeion,LinearModel,1433,160,10,0.1371164470911026,0.2665110230445862,0.04880575090646744,0.9125000238418579,0
semeion,NeuralNetFastAI,1433,160,10,0.10666882991790771,0.19010427594184875,0.04698128253221512,0.918749988079071,0
semeion,NeuralNetTorch,1433,160,10,0.10270323604345322,0.20235157012939453,0.06267497688531876,0.918749988079071,0
semeion,RandomForest,1433,160,10,0.21589072048664093,0.5166229009628296,0.16958358883857727,0.8812500238418579,0
semeion,XGBoost,1433,160,10,0.13246332108974457,0.2762987017631531,0.04993874579668045,0.8999999761581421,0
soybean,CatBoost,614,69,19,0.09982079267501831,0.1856943964958191,0.09914107620716095,0.95652174949646,0
soybean,ExtraTrees,614,69,19,0.10248915106058121,0.17504820227622986,0.06077716127038002,0.9420289993286133,0
soybean,LightGBM,614,69,19,0.07383201271295547,0.12888158857822418,0.05259537696838379,0.95652174949646,0
soybean,LinearModel,614,69,19,0.12638191878795624,0.2786917984485626,0.0689239501953125,0.9275362491607666,0
soybean,NeuralNetFastAI,614,69,19,0.10317415744066238,0.17646244168281555,0.06690994650125504,0.9420289993286133,0
soybean,NeuralNetTorch,614,69,19,0.11332488059997559,0.18501025438308716,0.0658656507730484,0.9275362491607666,0
soybean,RandomForest,614,69,19,0.1133197546005249,0.19786790013313293,0.06360357999801636,0.9275362491607666,0
soybean,XGBoost,614,69,19,0.09717798978090286,0.19029685854911804,0.05270576477050781,0.9420289993286133,0
splice,CatBoost,2871,319,3,0.060532111674547195,0.11257823556661606,0.015059433877468109,0.9561128616333008,0
