dataset,model,cal_size,test_size,n_classes,TS_brier,TS_logloss,TS_ece-15,TS_accuracy,TS_time
microaggregation2,ExtraTrees,18000,2000,5,0.49531060457229614,0.9378967881202698,0.02036304958164692,0.6244999766349792,0.07607528567314148
microaggregation2,LightGBM,18000,2000,5,0.4774470329284668,0.8946913480758667,0.020253032445907593,0.640500009059906,0.07640101760625839
microaggregation2,LinearModel,18000,2000,5,0.5537557601928711,1.0447136163711548,0.025086678564548492,0.5809999704360962,0.07576648518443108
microaggregation2,NeuralNetFastAI,18000,2000,5,0.4581005275249481,0.8583650588989258,0.018176166340708733,0.6514999866485596,0.0767027698457241
microaggregation2,NeuralNetTorch,18000,2000,5,0.46588441729545593,0.8730526566505432,0.02898924984037876,0.6460000276565552,0.07570268586277962
microaggregation2,RandomForest,18000,2000,5,0.4953688681125641,0.9375293850898743,0.01795581355690956,0.6269999742507935,0.07670238241553307
microaggregation2,XGBoost,18000,2000,5,0.4805086851119995,0.9010419845581055,0.02045968547463417,0.6315000057220459,0.07559282332658768
okcupid-stem,CatBoost,45710,5079,3,0.3358158767223358,0.562502384185791,0.009645521640777588,0.761961042881012,0.13827557116746902
okcupid-stem,ExtraTrees,45710,5079,3,0.355467289686203,0.5906574726104736,0.013426906429231167,0.7454223036766052,0.1394636146724224
okcupid-stem,LightGBM,45710,5079,3,0.33884426951408386,0.5651476979255676,0.010790212079882622,0.7597952485084534,0.13955800235271454
okcupid-stem,LinearModel,45710,5079,3,0.34513968229293823,0.576336681842804,0.015473973006010056,0.7556605339050293,0.1379806324839592
okcupid-stem,NeuralNetFastAI,45710,5079,3,0.34190139174461365,0.5697659850120544,0.012770690955221653,0.7594014406204224,0.1390484720468521
okcupid-stem,NeuralNetTorch,45710,5079,3,0.33778202533721924,0.5641236901283264,0.012297877110540867,0.761961042881012,0.13994048163294792
okcupid-stem,RandomForest,45710,5079,3,0.3544400930404663,0.5891894698143005,0.010649176314473152,0.7452254295349121,0.13908106088638306
okcupid-stem,XGBoost,45710,5079,3,0.3389241099357605,0.5656526684761047,0.00863687228411436,0.7607796788215637,0.1396283656358719
optdigits,CatBoost,5058,562,10,0.02224159613251686,0.04834310710430145,0.005651879124343395,0.9857650995254517,0.03724795579910278
optdigits,ExtraTrees,5058,562,10,0.02409352734684944,0.05320566147565842,0.007885966449975967,0.9857650995254517,0.038250163197517395
optdigits,LightGBM,5058,562,10,0.018062302842736244,0.042015232145786285,0.005120694637298584,0.9893238544464111,0.03732823580503464
optdigits,LinearModel,5058,562,10,0.05290233716368675,0.09692127257585526,0.018800433725118637,0.9679715037345886,0.03748449683189392
optdigits,NeuralNetFastAI,5058,562,10,0.019399957731366158,0.039773546159267426,0.010223363526165485,0.9911032319068909,0.037682101130485535
optdigits,NeuralNetTorch,5058,562,10,0.013756945729255676,0.031602151691913605,0.01100232545286417,0.9928825497627258,0.03771155700087547
optdigits,RandomForest,5058,562,10,0.04264127090573311,0.08407442271709442,0.01332314033061266,0.9697508811950684,0.037308335304260254
optdigits,XGBoost,5058,562,10,0.028639689087867737,0.056432850658893585,0.00784072745591402,0.9786477088928223,0.03790295869112015
page-blocks,CatBoost,4925,548,5,0.04321374371647835,0.08823127299547195,0.011216981336474419,0.970802903175354,0.022058051079511642
page-blocks,ExtraTrees,4925,548,5,0.042853645980358124,0.11051297187805176,0.017250336706638336,0.9762773513793945,0.022628888487815857
page-blocks,LightGBM,4925,548,5,0.041563984006643295,0.08432764559984207,0.012407341040670872,0.9726277589797974,0.022125903517007828
page-blocks,LinearModel,4925,548,5,0.04640960693359375,0.10221520811319351,0.016050508245825768,0.9671533107757568,0.022480763494968414
page-blocks,NeuralNetFastAI,4925,548,5,0.048378124833106995,0.10104265809059143,0.014523714780807495,0.9671533107757568,0.022238492965698242
page-blocks,NeuralNetTorch,4925,548,5,0.03718901798129082,0.08234909176826477,0.012178868055343628,0.9762773513793945,0.022134430706501007
page-blocks,RandomForest,4925,548,5,0.041580624878406525,0.10205219686031342,0.009261596947908401,0.974452555179596,0.02231462672352791
page-blocks,XGBoost,4925,548,5,0.039982132613658905,0.08391660451889038,0.009572151117026806,0.974452555179596,0.021822310984134674
pendigits,CatBoost,9892,1100,10,0.005509212147444487,0.010784950107336044,0.004524608142673969,0.9972727298736572,0.07157096266746521
pendigits,ExtraTrees,9892,1100,10,0.009676840156316757,0.01967030204832554,0.005942081566900015,0.9945454597473145,0.07188819721341133
pendigits,LightGBM,9892,1100,10,0.007529229391366243,0.01557429414242506,0.00394496601074934,0.9954545497894287,0.0717121995985508
pendigits,LinearModel,9892,1100,10,0.07118751853704453,0.14909566938877106,0.017706142738461494,0.9581817984580994,0.07124665752053261
pendigits,NeuralNetFastAI,9892,1100,10,0.004676072858273983,0.010713119991123676,0.003600629512220621,0.9981818199157715,0.07152341678738594
pendigits,NeuralNetTorch,9892,1100,10,0.004006188828498125,0.008502436801791191,0.004848487675189972,0.996363639831543,0.07186798006296158
pendigits,RandomForest,9892,1100,10,0.015806769952178,0.029708564281463623,0.010097675956785679,0.9909090995788574,0.07132625952363014
pendigits,XGBoost,9892,1100,10,0.010834455490112305,0.020841561257839203,0.0034754907246679068,0.9927272796630859,0.07132108882069588
robert,CatBoost,9000,1000,10,0.593452513217926,1.3101792335510254,0.05025379732251167,0.5519999861717224,0.06622926145792007
robert,ExtraTrees,9000,1000,10,0.6697682738304138,1.5358341932296753,0.0612945631146431,0.47600001096725464,0.0665942132472992
robert,LightGBM,9000,1000,10,0.5702840089797974,1.2561651468276978,0.029886415228247643,0.5590000152587891,0.06513809412717819
robert,LinearModel,9000,1000,10,0.7825247049331665,1.8494337797164917,0.09522133320569992,0.37400001287460327,0.06515895575284958
robert,NeuralNetFastAI,9000,1000,10,0.6583759188652039,1.4823389053344727,0.05236769840121269,0.4749999940395355,0.06481316685676575
robert,NeuralNetTorch,9000,1000,10,0.6489337086677551,1.4682368040084839,0.04760517552495003,0.5,0.0664173848927021
robert,RandomForest,9000,1000,10,0.6740748882293701,1.5523616075515747,0.0560397244989872,0.48100000619888306,0.06614775210618973
robert,XGBoost,9000,1000,10,0.6058608293533325,1.345463752746582,0.040613431483507156,0.5199999809265137,0.0664173886179924
satimage,CatBoost,5787,643,6,0.1172303706407547,0.2067505419254303,0.02176804281771183,0.9160186648368835,0.029405485838651657
satimage,ExtraTrees,5787,643,6,0.1202855110168457,0.21548967063426971,0.024361418560147285,0.917573869228363,0.029126077890396118
satimage,LightGBM,5787,643,6,0.11989139020442963,0.21176624298095703,0.018900876864790916,0.917573869228363,0.02927621454000473
satimage,LinearModel,5787,643,6,0.18869860470294952,0.3370914161205292,0.03518257662653923,0.8569206595420837,0.028994455933570862
satimage,NeuralNetFastAI,5787,643,6,0.10966698080301285,0.18720868229866028,0.018684616312384605,0.920684278011322,0.029267556965351105
satimage,NeuralNetTorch,5787,643,6,0.11385621875524521,0.19440799951553345,0.02719801478087902,0.917573869228363,0.02908264473080635
satimage,RandomForest,5787,643,6,0.12344126403331757,0.22384223341941833,0.024612845852971077,0.9191290736198425,0.029229003936052322
satimage,XGBoost,5787,643,6,0.1154552474617958,0.21591518819332123,0.017887262627482414,0.9269051551818848,0.029249727725982666
segment,CatBoost,2079,231,7,0.031249478459358215,0.07624413073062897,0.01708799973130226,0.9870129823684692,0.013547223061323166
segment,ExtraTrees,2079,231,7,0.028610922396183014,0.07566145807504654,0.012818154878914356,0.9826839566230774,0.012971088290214539
segment,LightGBM,2079,231,7,0.03646235913038254,0.08729687333106995,0.014184080064296722,0.9783549904823303,0.013234082609415054
segment,LinearModel,2079,231,7,0.04758194833993912,0.09899216890335083,0.03160804882645607,0.9783549904823303,0.01328466460108757
segment,NeuralNetFastAI,2079,231,7,0.033046286553144455,0.06926094740629196,0.02606065571308136,0.9826839566230774,0.013196080923080444
segment,NeuralNetTorch,2079,231,7,0.031668346375226974,0.06423373520374298,0.031015543267130852,0.9913420081138611,0.013131462037563324
segment,RandomForest,2079,231,7,0.03168478235602379,0.08306946605443954,0.014203490689396858,0.9783549904823303,0.01325756311416626
segment,XGBoost,2079,231,7,0.040265318006277084,0.09273961931467056,0.020472882315516472,0.9696969985961914,0.01339539885520935
semeion,CatBoost,1433,160,10,0.0961398109793663,0.19668647646903992,0.03667725995182991,0.9375,0.012564156204462051
semeion,ExtraTrees,1433,160,10,0.16017696261405945,0.3746059536933899,0.06501594185829163,0.8812500238418579,0.01265827938914299
semeion,LightGBM,1433,160,10,0.1274137794971466,0.26689252257347107,0.05558641254901886,0.90625,0.012443985790014267
semeion,LinearModel,1433,160,10,0.13469074666500092,0.26972827315330505,0.05146283656358719,0.9125000238418579,0.01230931282043457
semeion,NeuralNetFastAI,1433,160,10,0.10221455991268158,0.19244976341724396,0.05955524742603302,0.918749988079071,0.012251004576683044
semeion,NeuralNetTorch,1433,160,10,0.10329971462488174,0.20131734013557434,0.06909888982772827,0.918749988079071,0.012012384831905365
semeion,RandomForest,1433,160,10,0.1664920300245285,0.3830053210258484,0.042336881160736084,0.8812500238418579,0.012424584478139877
semeion,XGBoost,1433,160,10,0.13328996300697327,0.2770816385746002,0.05493735149502754,0.8999999761581421,0.012503854930400848
soybean,CatBoost,614,69,19,0.09923557937145233,0.18405188620090485,0.07168994843959808,0.95652174949646,0.004139546304941177
soybean,ExtraTrees,614,69,19,0.1008613258600235,0.1694333702325821,0.05864572152495384,0.9420289993286133,0.004125986248254776
soybean,LightGBM,614,69,19,0.0737922191619873,0.1255490779876709,0.05404764786362648,0.95652174949646,0.004252191632986069
soybean,LinearModel,614,69,19,0.12650293111801147,0.2605513632297516,0.04827222600579262,0.9275362491607666,0.004115801304578781
soybean,NeuralNetFastAI,614,69,19,0.10272807627916336,0.1724764108657837,0.060350868850946426,0.9420289993286133,0.004047103226184845
soybean,NeuralNetTorch,614,69,19,0.1140986755490303,0.18734866380691528,0.06621548533439636,0.9275362491607666,0.0041700564324855804
soybean,RandomForest,614,69,19,0.11372186988592148,0.19536584615707397,0.04993073642253876,0.9275362491607666,0.004086975008249283
soybean,XGBoost,614,69,19,0.09624183923006058,0.19017741084098816,0.06554107367992401,0.9420289993286133,0.00416356697678566
splice,CatBoost,2871,319,3,0.060543473809957504,0.11306924372911453,0.011106351390480995,0.9561128616333008,0.010975070297718048
splice,ExtraTrees,2871,319,3,0.09059952944517136,0.15791848301887512,0.03116666153073311,0.9341692924499512,0.011002328246831894
splice,LightGBM,2871,319,3,0.06546448171138763,0.12303784489631653,0.02046220935881138,0.9592476487159729,0.010624144226312637
splice,LinearModel,2871,319,3,0.09361600875854492,0.183031365275383,0.032817792147397995,0.9435736536979675,0.010966788977384567
splice,NeuralNetFastAI,2871,319,3,0.054479509592056274,0.10733146965503693,0.01590666174888611,0.9592476487159729,0.010948661714792252
splice,NeuralNetTorch,2871,319,3,0.06713778525590897,0.12668190896511078,0.022364148870110512,0.9592476487159729,0.010885201394557953
splice,RandomForest,2871,319,3,0.08986532688140869,0.15305571258068085,0.018001537770032883,0.9341692924499512,0.010829001665115356
splice,XGBoost,2871,319,3,0.05321168527007103,0.09971635043621063,0.021100318059325218,0.9655172228813171,0.010614484548568726
steel-plates-fault,CatBoost,1746,195,7,0.23772190511226654,0.4592825770378113,0.058277420699596405,0.8256410360336304,0.011535748839378357
steel-plates-fault,ExtraTrees,1746,195,7,0.25946298241615295,0.4887368977069855,0.07023284584283829,0.8205128312110901,0.01149338111281395
steel-plates-fault,LightGBM,1746,195,7,0.2440813183784485,0.48376724123954773,0.0388573557138443,0.8205128312110901,0.01151280477643013
steel-plates-fault,LinearModel,1746,195,7,0.352597177028656,0.6796749234199524,0.0727546289563179,0.7487179636955261,0.01122656837105751
steel-plates-fault,NeuralNetFastAI,1746,195,7,0.3048248887062073,0.5848042964935303,0.0683509111404419,0.7743589878082275,0.011403042823076248
steel-plates-fault,NeuralNetTorch,1746,195,7,0.3333735167980194,0.6112905144691467,0.061251841485500336,0.7333333492279053,0.011444851756095886
steel-plates-fault,RandomForest,1746,195,7,0.25320398807525635,0.545822024345398,0.04729436710476875,0.8205128312110901,0.011538509279489517
steel-plates-fault,XGBoost,1746,195,7,0.24224638938903809,0.4814804196357727,0.060285575687885284,0.8256410360336304,0.01136166974902153
synthetic_control,CatBoost,540,60,6,0.003936020657420158,0.01115513127297163,0.009607892483472824,1.0,0.004807878285646439
synthetic_control,ExtraTrees,540,60,6,0.002261485904455185,0.00897353608161211,0.008308731019496918,1.0,0.004843447357416153
synthetic_control,LightGBM,540,60,6,5.452811819850467e-05,0.0012521006865426898,0.0012372136116027832,1.0,0.004984639585018158
synthetic_control,LinearModel,540,60,6,0.0008497810340486467,0.0072659398429095745,0.00697669293731451,1.0,0.004900392144918442
synthetic_control,NeuralNetFastAI,540,60,6,0.00012216823233757168,0.0016192428302019835,0.001581728458404541,1.0,0.004903014749288559
synthetic_control,NeuralNetTorch,540,60,6,0.011306388303637505,0.023087112233042717,0.019390037283301353,1.0,0.004837702959775925
synthetic_control,RandomForest,540,60,6,0.007226785644888878,0.021556222811341286,0.01918097399175167,1.0,0.004870466887950897
synthetic_control,XGBoost,540,60,6,0.017149917781352997,0.032551757991313934,0.022231560200452805,0.9833333492279053,0.004957474768161774
texture,CatBoost,4950,550,11,0.010731038637459278,0.021344220265746117,0.006211569998413324,0.9927272796630859,0.04122621938586235
texture,ExtraTrees,4950,550,11,0.020890358835458755,0.03687017410993576,0.006784285418689251,0.9872727394104004,0.03980393335223198
texture,LightGBM,4950,550,11,0.006191951222717762,0.014626272022724152,0.004885749891400337,0.996363639831543,0.03968717157840729
texture,LinearModel,4950,550,11,0.007197478320449591,0.011992509476840496,0.00431898795068264,0.9945454597473145,0.040363047271966934
texture,NeuralNetFastAI,4950,550,11,0.006068358197808266,0.0144494092091918,0.003741270862519741,0.996363639831543,0.03987951576709747
texture,NeuralNetTorch,4950,550,11,0.003636363660916686,0.15879371762275696,0.0018180608749389648,0.9981818199157715,0.043359577655792236
texture,RandomForest,4950,550,11,0.02758551947772503,0.048378750681877136,0.013911915011703968,0.9818181991577148,0.04017692431807518
texture,XGBoost,4950,550,11,0.01381627656519413,0.028742700815200806,0.007098301313817501,0.9909090995788574,0.03964600712060928
vehicle,CatBoost,761,85,4,0.27303728461265564,0.46171385049819946,0.09943000227212906,0.7764706015586853,0.00510840117931366
vehicle,ExtraTrees,761,85,4,0.2637060284614563,0.45996636152267456,0.05053338035941124,0.7882353067398071,0.005097195506095886
vehicle,LightGBM,761,85,4,0.26261672377586365,0.43507182598114014,0.09371999651193619,0.8352941274642944,0.004912856966257095
vehicle,LinearModel,761,85,4,0.21319495141506195,0.33926036953926086,0.0935061126947403,0.8352941274642944,0.004884358495473862
vehicle,NeuralNetFastAI,761,85,4,0.17261727154254913,0.30803021788597107,0.05550968274474144,0.8941176533699036,0.005173526704311371
vehicle,NeuralNetTorch,761,85,4,0.17632728815078735,0.3026910126209259,0.03918606415390968,0.8588235378265381,0.005191408097743988
vehicle,RandomForest,761,85,4,0.2668348550796509,0.45448464155197144,0.09833459556102753,0.7647058963775635,0.005184341222047806
vehicle,XGBoost,761,85,4,0.2662932574748993,0.4675157964229584,0.09325384348630905,0.8117647171020508,0.005076654255390167
volcanoes-a2,CatBoost,1460,163,5,0.11181296408176422,0.23709070682525635,0.05112352594733238,0.9018405079841614,0.008336443454027176
volcanoes-a2,ExtraTrees,1460,163,5,0.11358574777841568,0.24794140458106995,0.048211485147476196,0.907975435256958,0.00833284854888916
volcanoes-a2,LightGBM,1460,163,5,0.1101168766617775,0.23612242937088013,0.05254535749554634,0.9141104221343994,0.008267898112535477
volcanoes-a2,LinearModel,1460,163,5,0.10990366339683533,0.23685860633850098,0.05332329124212265,0.9263803958892822,0.008227068930864334
volcanoes-a2,NeuralNetFastAI,1460,163,5,0.10864538699388504,0.23396320641040802,0.04342518746852875,0.9141104221343994,0.008364889770746231
volcanoes-a2,NeuralNetTorch,1460,163,5,0.10977537930011749,0.2357342541217804,0.030286643654108047,0.9202454090118408,0.008358452469110489
volcanoes-a2,RandomForest,1460,163,5,0.1142444834113121,0.245302215218544,0.05816484987735748,0.9202454090118408,0.008355565369129181
volcanoes-a2,XGBoost,1460,163,5,0.1099197044968605,0.24648338556289673,0.05160143971443176,0.9263803958892822,0.008375413715839386
volcanoes-a3,CatBoost,1368,153,5,0.14122508466243744,0.3018057644367218,0.07645796239376068,0.9084967374801636,0.007881179451942444
volcanoes-a3,ExtraTrees,1368,153,5,0.13821667432785034,0.295141339302063,0.05579802766442299,0.9019607901573181,0.00774991512298584
volcanoes-a3,LightGBM,1368,153,5,0.14079932868480682,0.2971765697002411,0.06024520844221115,0.8954248428344727,0.007996741682291031
volcanoes-a3,LinearModel,1368,153,5,0.14283572137355804,0.31319254636764526,0.04187679663300514,0.8888888955116272,0.007873892784118652
volcanoes-a3,NeuralNetFastAI,1368,153,5,0.14310917258262634,0.3134910464286804,0.046494677662849426,0.8954248428344727,0.00800563395023346
volcanoes-a3,NeuralNetTorch,1368,153,5,0.14097750186920166,0.3030399978160858,0.06360741704702377,0.9019607901573181,0.007981590926647186
volcanoes-a3,RandomForest,1368,153,5,0.13933785259723663,0.30110159516334534,0.05689976364374161,0.8954248428344727,0.007723905146121979
volcanoes-a3,XGBoost,1368,153,5,0.1459091603755951,0.3115907311439514,0.05541636422276497,0.8888888955116272,0.007886547595262527
volcanoes-a4,CatBoost,1363,152,5,0.13120396435260773,0.3073387145996094,0.04076065868139267,0.9078947305679321,0.007914844900369644
volcanoes-a4,ExtraTrees,1363,152,5,0.134262353181839,0.3041306138038635,0.036892764270305634,0.9078947305679321,0.007984820753335953
volcanoes-a4,LightGBM,1363,152,5,0.1311618536710739,0.2981565296649933,0.0487479567527771,0.9144737124443054,0.007947959005832672
volcanoes-a4,LinearModel,1363,152,5,0.13036447763442993,0.3002680838108063,0.033845897763967514,0.9013158082962036,0.007966317236423492
volcanoes-a4,NeuralNetFastAI,1363,152,5,0.1303468495607376,0.2981439232826233,0.0513678602874279,0.9013158082962036,0.007899243384599686
volcanoes-a4,NeuralNetTorch,1363,152,5,0.13051094114780426,0.2955058217048645,0.03864795342087746,0.9144737124443054,0.007796209305524826
volcanoes-a4,RandomForest,1363,152,5,0.1354404091835022,0.31188005208969116,0.05071694776415825,0.9013158082962036,0.007912859320640564
volcanoes-a4,XGBoost,1363,152,5,0.13368910551071167,0.31938689947128296,0.04356680437922478,0.9144737124443054,0.007974553853273392
volcanoes-b1,CatBoost,9158,1018,5,0.05414581671357155,0.1387561708688736,0.007188256364315748,0.968565821647644,0.0394783616065979
volcanoes-b1,ExtraTrees,9158,1018,5,0.05628266558051109,0.14529061317443848,0.01165284775197506,0.9636542201042175,0.04017709195613861
volcanoes-b1,LightGBM,9158,1018,5,0.056603435426950455,0.14797745645046234,0.011465875431895256,0.9656188488006592,0.04035601392388344
volcanoes-b1,LinearModel,9158,1018,5,0.05414536967873573,0.14066952466964722,0.008988769724965096,0.968565821647644,0.03931424394249916
volcanoes-b1,NeuralNetFastAI,9158,1018,5,0.05422487109899521,0.1414109170436859,0.009292373433709145,0.968565821647644,0.039743080735206604
volcanoes-b1,NeuralNetTorch,9158,1018,5,0.05505529046058655,0.1429869830608368,0.010637147352099419,0.9675834774971008,0.039513446390628815
volcanoes-b1,RandomForest,9158,1018,5,0.05547063425183296,0.1448453962802887,0.006689968518912792,0.968565821647644,0.03930789977312088
volcanoes-b1,XGBoost,9158,1018,5,0.0547855980694294,0.14335931837558746,0.010129240341484547,0.968565821647644,0.03953582048416138
