dataset,model,cal_size,test_size,n_classes,Hist-uniform_brier,Hist-uniform_logloss,Hist-uniform_ece-15,Hist-uniform_accuracy,Hist-uniform_time
Indian_pines,NeuralNetFastAI,8229,915,8,0.05232761172462139,0.10582286334808597,0.016208650544285774,0.9683060050010681,0.007045058533549309
Indian_pines,NeuralNetTorch,8229,915,8,0.04699483064383656,0.09798973076903748,0.011508134193718433,0.9672130942344666,0.00700506754219532
Indian_pines,RandomForest,8229,915,8,0.10869920149530377,0.19566818694983704,0.026123151183128357,0.9344262480735779,0.007108751684427261
Indian_pines,XGBoost,8229,915,8,0.06811480746850497,0.14104562367344503,0.019854836165905,0.9584699273109436,0.0069436486810445786
LED-display-domain-7digit,CatBoost,450,50,10,0.41762701371270894,3.5217227793291466,0.08637753874063492,0.7400000095367432,0.0035330411046743393
LED-display-domain-7digit,ExtraTrees,450,50,10,0.37805920023527145,2.203742986618126,0.1279830038547516,0.7799999713897705,0.0033845584839582443
LED-display-domain-7digit,LightGBM,450,50,10,0.40477501594058796,3.4540379666091416,0.11347518861293793,0.7200000286102295,0.0034073591232299805
LED-display-domain-7digit,LinearModel,450,50,10,0.399222544795378,3.486882247091483,0.08012688905000687,0.7400000095367432,0.0032783038914203644
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.3635688784991653,0.82247387161671,0.09368723630905151,0.7200000286102295,0.003425704315304756
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.36125755494446465,2.0799188371333126,0.10135851800441742,0.7400000095367432,0.0031991880387067795
LED-display-domain-7digit,RandomForest,450,50,10,0.5076245768817459,8.904882226697689,0.2263941466808319,0.6800000071525574,0.0034414902329444885
LED-display-domain-7digit,XGBoost,450,50,10,0.4519832372019286,6.199270372215189,0.14683441817760468,0.699999988079071,0.0032349620014429092
MiceProtein,CatBoost,972,108,8,0.010889669628277055,0.01647228070429611,0.010835308581590652,0.9907407164573669,0.003161771222949028
MiceProtein,ExtraTrees,972,108,8,0.01440896049412533,0.6305125078981265,0.006181433331221342,0.9907407164573669,0.003015529364347458
MiceProtein,LightGBM,972,108,8,0.004137109827112268,0.005925024685566046,0.004376567900180817,1.0,0.002951841801404953
MiceProtein,LinearModel,972,108,8,0.004638920160819216,0.008616222234030486,0.006693912670016289,0.9907407164573669,0.0029522180557250977
MiceProtein,NeuralNetFastAI,972,108,8,0.006092386147436376,0.008746934533090354,0.0062361848540604115,0.9907407164573669,0.0031366944313049316
MiceProtein,NeuralNetTorch,972,108,8,0.0045916040852449595,0.006380003690808259,0.0046106986701488495,1.0,0.0028280653059482574
MiceProtein,RandomForest,972,108,8,0.09596656598414652,2.579470964034561,0.04663519561290741,0.9444444179534912,0.0029875431209802628
MiceProtein,XGBoost,972,108,8,0.03662148729926387,0.6073111643068543,0.019413437694311142,0.9814814925193787,0.002934284508228302
Traffic_violations,CatBoost,63306,7034,3,0.269485719717079,0.41264777456638846,0.01056694332510233,0.7998294234275818,0.014557328075170517
Traffic_violations,ExtraTrees,63306,7034,3,0.27842881480835,0.42380063341793356,0.009893449023365974,0.790446400642395,0.01357627660036087
Traffic_violations,LightGBM,63306,7034,3,0.2739388283973272,0.41953732819512835,0.009062817320227623,0.7958487272262573,0.014040570706129074
Traffic_violations,LinearModel,63306,7034,3,0.2788391029377433,0.4268473931669768,0.011554453521966934,0.791015088558197,0.01372360996901989
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.2772496498556759,0.4245128325688329,0.01062418520450592,0.7931475639343262,0.014422828331589699
Traffic_violations,NeuralNetTorch,63306,7034,3,0.2907998257443503,0.45273493035443335,0.008337223902344704,0.782058596611023,0.013704054057598114
Traffic_violations,RandomForest,63306,7034,3,0.27578474890806765,0.4197704300152587,0.0069826459512114525,0.7941427230834961,0.014527471736073494
Traffic_violations,XGBoost,63306,7034,3,0.2750702169547098,0.4188838645501634,0.006578301545232534,0.7932897210121155,0.01419280469417572
UMIST_Faces_Cropped,CatBoost,517,58,20,0.010259333143345681,0.013594092420073624,0.009405425749719143,0.982758641242981,0.006585787981748581
UMIST_Faces_Cropped,ExtraTrees,517,58,20,0.020704621647509577,0.05918872551684027,0.006969446782022715,0.982758641242981,0.00663839653134346
UMIST_Faces_Cropped,LightGBM,517,58,20,0.05150318315365608,2.307266265291506,0.02161085233092308,0.9655172228813171,0.006659518927335739
UMIST_Faces_Cropped,LinearModel,517,58,20,0.03596690459050314,1.1682561178298732,0.02077801153063774,0.9655172228813171,0.006694212555885315
UMIST_Faces_Cropped,NeuralNetFastAI,517,58,20,0.04215450413873384,1.1822847086745245,0.02180003747344017,0.9655172228813171,0.0067260898649692535
UMIST_Faces_Cropped,NeuralNetTorch,517,58,20,0.1115718255258404,1.3089715758101241,0.06672534346580505,0.8965517282485962,0.006731145083904266
UMIST_Faces_Cropped,RandomForest,517,58,20,0.03275862068965516,0.1033011128811721,0.0017251737881451845,0.9655172228813171,0.006505081430077553
UMIST_Faces_Cropped,XGBoost,517,58,20,0.12811120634765089,3.610965923773763,0.10505075007677078,0.931034505367279,0.006630748510360718
analcatdata_authorship,CatBoost,756,85,4,0.05973658496407515,1.6239976189855991,0.030861390754580498,0.9647058844566345,0.0016087088733911514
analcatdata_authorship,ExtraTrees,756,85,4,0.038609438700225054,0.8405468998792984,0.014464233070611954,0.9764705896377563,0.0016881078481674194
analcatdata_authorship,LightGBM,756,85,4,0.026744814410119746,0.8181066093538315,0.01611364260315895,0.9882352948188782,0.0016240999102592468
analcatdata_authorship,LinearModel,756,85,4,0.02982443869343219,0.8212446034140305,0.017849793657660484,0.9764705896377563,0.0016572047024965286
analcatdata_authorship,NeuralNetFastAI,756,85,4,0.0709968565267284,0.09828641982234292,0.03727032616734505,0.9176470637321472,0.001653650775551796
analcatdata_authorship,NeuralNetTorch,756,85,4,0.06841512330645438,0.0940141665860199,0.052186518907547,0.9176470637321472,0.0016531404107809067
analcatdata_authorship,RandomForest,756,85,4,0.07134366753603213,2.403602762858069,0.032732121646404266,0.9647058844566345,0.0016967840492725372
analcatdata_authorship,XGBoost,756,85,4,0.04751903676912951,1.6099425683778696,0.02411271072924137,0.9764705896377563,0.0015306714922189713
