dataset,model,cal_size,test_size,n_classes,SVS_brier,SVS_logloss,SVS_ece-15,SVS_accuracy,SVS_time
cardiotocography,ExtraTrees,1913,213,10,1.3136029508586944e-07,0.0003438009589444846,0.00034630298614501953,1.0,0.03335259761661291
cardiotocography,LightGBM,1913,213,10,1.3136029508586944e-07,0.0003438009589444846,0.00034630298614501953,1.0,0.03458897024393082
cardiotocography,LinearModel,1913,213,10,1.3136029508586944e-07,0.0003438009589444846,0.00034630298614501953,1.0,0.036447351798415184
cardiotocography,NeuralNetFastAI,1913,213,10,1.3136029508586944e-07,0.0003438009589444846,0.00034630298614501953,1.0,0.0341152036562562
cardiotocography,NeuralNetTorch,1913,213,10,1.3136029508586944e-07,0.0003438009589444846,0.00034630298614501953,1.0,0.03541538678109646
cardiotocography,RandomForest,1913,213,10,1.3136029508586944e-07,0.0003438009589444846,0.00034630298614501953,1.0,0.034159754402935505
cardiotocography,XGBoost,1913,213,10,1.3136029508586944e-07,0.0003438009589444846,0.00034630298614501953,1.0,0.03691680636256933
cmc,CatBoost,1325,148,3,0.49518781900405884,0.836471676826477,0.08324501663446426,0.5945945978164673,0.027063146233558655
cmc,ExtraTrees,1325,148,3,0.5058819651603699,0.8565876483917236,0.08981069177389145,0.5810810923576355,0.026197634637355804
cmc,LightGBM,1325,148,3,0.522786021232605,0.8812703490257263,0.057679999619722366,0.5608108043670654,0.027381685562431812
cmc,LinearModel,1325,148,3,0.5233308672904968,0.8722840547561646,0.11594203859567642,0.6013513803482056,0.020621176809072495
cmc,NeuralNetFastAI,1325,148,3,0.4993767738342285,0.8402765393257141,0.07850045710802078,0.587837815284729,0.028526426292955875
cmc,NeuralNetTorch,1325,148,3,0.5031973719596863,0.8491431474685669,0.092505544424057,0.6148648858070374,0.02193974982947111
cmc,RandomForest,1325,148,3,0.5044882297515869,0.8478662371635437,0.06259727478027344,0.587837815284729,0.020624426193535328
cmc,XGBoost,1325,148,3,0.500232458114624,0.8471580147743225,0.10036502778530121,0.5743243098258972,0.02716292068362236
cnae-9,CatBoost,972,108,9,0.07110182195901871,0.17148472368717194,0.04893355816602707,0.9537037014961243,0.031240535899996758
cnae-9,ExtraTrees,972,108,9,0.061281729489564896,0.14877809584140778,0.05977684631943703,0.9629629850387573,0.02493652142584324
