dataset,model,cal_size,test_size,n_classes,LightGBM_brier,LightGBM_logloss,LightGBM_ece-15,LightGBM_accuracy,LightGBM_time
autoUniv-au7-1100,RandomForest,990,110,5,0.6972730654658372,1.3697551493459592,0.04121866822242737,0.4363636374473572,0.2559697665274143
autoUniv-au7-1100,XGBoost,990,110,5,0.710603815624057,1.3769011786261531,0.049772873520851135,0.41818180680274963,0.24820882081985474
autoUniv-au7-700,CatBoost,630,70,3,0.5300958481845615,0.9007720648075767,0.13366375863552094,0.6285714507102966,0.09787969663739204
autoUniv-au7-700,ExtraTrees,630,70,3,0.5434143025417477,0.9166073913263948,0.09209422767162323,0.5428571701049805,0.09642981737852097
autoUniv-au7-700,LightGBM,630,70,3,0.5180200605757943,0.8733836064492425,0.11407490819692612,0.6000000238418579,0.09345168992877007
autoUniv-au7-700,LinearModel,630,70,3,0.6606656906817414,1.0915329229274733,0.16885581612586975,0.44285714626312256,0.0845026932656765
autoUniv-au7-700,NeuralNetFastAI,630,70,3,0.616093949308832,1.0239537684554327,0.1687585711479187,0.4714285731315613,0.08902732655405998
autoUniv-au7-700,NeuralNetTorch,630,70,3,0.6568811625717863,1.08426976318582,0.0798051506280899,0.3857142925262451,0.09236998856067657
autoUniv-au7-700,RandomForest,630,70,3,0.5396053901019704,0.899248312463189,0.1181493028998375,0.5142857432365417,0.09908546134829521
autoUniv-au7-700,XGBoost,630,70,3,0.5328007040000242,0.8989138152862329,0.12865284085273743,0.5,0.09248023852705956
balance-scale,CatBoost,562,63,3,0.0013905146757321669,0.011814239143558643,0.01132309902459383,1.0,0.11904140934348106
balance-scale,ExtraTrees,562,63,3,0.041809137063289745,0.08069057866328586,0.05904877930879593,0.9682539701461792,0.10806421563029289
balance-scale,LightGBM,562,63,3,0.04043027068480234,0.08524075560947876,0.029752051457762718,0.9841269850730896,0.1095677874982357
balance-scale,LinearModel,562,63,3,0.0832682354320243,0.1580343534105905,0.06887397170066833,0.9365079402923584,0.10905279219150543
balance-scale,NeuralNetFastAI,562,63,3,0.005840087671608956,0.02118152494147859,0.018794748932123184,1.0,0.0970301628112793
balance-scale,NeuralNetTorch,562,63,3,0.003989659584132977,0.018511940029416075,0.017163176089525223,1.0,0.09775656461715698
balance-scale,RandomForest,562,63,3,0.041335697182428285,0.08925322195616642,0.059787482023239136,0.9682539701461792,0.11692963913083076
balance-scale,XGBoost,562,63,3,0.002873608006939754,0.014821827630772203,0.013640623539686203,1.0,0.1220395490527153
baseball,CatBoost,1206,134,3,0.08020468415140103,0.14353465927512765,0.05461692437529564,0.9552238583564758,0.16066749393939972
baseball,ExtraTrees,1206,134,3,0.0831596203761043,0.15584601385978541,0.03585382550954819,0.9328358173370361,0.14119809120893478
baseball,LightGBM,1206,134,3,0.07216228639388601,0.14068665382829249,0.03526659309864044,0.9477611780166626,0.1489735133945942
baseball,LinearModel,1206,134,3,0.07065722946979215,0.1428281712831629,0.03150137513875961,0.9626865386962891,0.13646827638149261
baseball,NeuralNetFastAI,1206,134,3,0.07476746857804543,0.13517296806370988,0.04254754260182381,0.9552238583564758,0.1376669779419899
baseball,NeuralNetTorch,1206,134,3,0.08543722873110385,0.15890421760614243,0.04531843960285187,0.9402984976768494,0.13705580681562424
baseball,RandomForest,1206,134,3,0.08409204642488133,0.16136881087657176,0.03888672962784767,0.9477611780166626,0.150415800511837
baseball,XGBoost,1206,134,3,0.07954322316621258,0.14556305836138902,0.05698302015662193,0.9402984976768494,0.14751256257295609
car,CatBoost,1555,173,4,2.805311205599515e-05,0.0008533564029044346,0.0008462071418762207,1.0,0.2823130488395691
car,ExtraTrees,1555,173,4,0.0122039223764256,0.021429426795278688,0.012007955461740494,0.9884393215179443,0.20449387282133102
car,LightGBM,1555,173,4,1.5375639355355866e-11,2.60275895233371e-06,1.3113021850585938e-06,1.0,0.2598509043455124
car,LinearModel,1555,173,4,0.059806915257595704,0.10821496452440414,0.029575064778327942,0.9595375657081604,0.20729156583547592
car,NeuralNetFastAI,1555,173,4,0.009197965370091928,0.014184775723561957,0.0061065745539963245,0.9942196607589722,0.2650950103998184
car,NeuralNetTorch,1555,173,4,0.0061009471635196525,0.010422619905452537,0.007878645323216915,0.9942196607589722,0.17533530294895172
car,RandomForest,1555,173,4,0.032899750202093306,0.06734564237567138,0.014878214336931705,0.9826589822769165,0.18596044927835464
car,XGBoost,1555,173,4,1.6020818279615132e-06,0.0008617875145001794,0.0008620023727416992,1.0,0.270547479391098
