dataset,model,cal_size,test_size,n_classes,CIR_brier,CIR_logloss,CIR_ece-15,CIR_accuracy,CIR_time
optdigits,NeuralNetFastAI,5058,562,10,0.019681181414081372,0.03747469797791821,0.010614133439958096,0.9911032319068909,0.029762297868728638
optdigits,NeuralNetTorch,5058,562,10,0.013563802514523736,0.02981364704043593,0.008371591567993164,0.9946619272232056,0.028588708490133286
optdigits,RandomForest,5058,562,10,0.040046724141145934,0.18980947002297405,0.011154602281749249,0.9715302586555481,0.02908698469400406
optdigits,XGBoost,5058,562,10,0.03059338802512932,0.28710597279401917,0.011770397424697876,0.9804270267486572,0.03096943348646164
page-blocks,CatBoost,4925,548,5,0.044238284928884264,0.314383676568374,0.012186751700937748,0.9689781069755554,0.015635065734386444
page-blocks,ExtraTrees,4925,548,5,0.04238824762615267,0.2013336635638512,0.006360657978802919,0.9726277589797974,0.01346522569656372
page-blocks,LightGBM,4925,548,5,0.04224373002777314,0.19747490144565624,0.012487961910665035,0.9689781069755554,0.015750713646411896
page-blocks,LinearModel,4925,548,5,0.04467360597227903,0.09986933996883432,0.013183627277612686,0.970802903175354,0.015715673565864563
page-blocks,NeuralNetFastAI,4925,548,5,0.05005577733185274,0.21775569286521926,0.013349251821637154,0.9689781069755554,0.015671033412218094
page-blocks,NeuralNetTorch,4925,548,5,0.036864562893182344,0.1981992114314448,0.011323913000524044,0.974452555179596,0.015716321766376495
page-blocks,RandomForest,4925,548,5,0.04073129689050278,0.13478172118395135,0.009456346742808819,0.9762773513793945,0.013734318315982819
page-blocks,XGBoost,4925,548,5,0.04104912572727187,0.20067145372582265,0.012069137766957283,0.9762773513793945,0.015424467623233795
pendigits,CatBoost,9892,1100,10,0.005094265678321194,0.008802020709113645,0.005042085889726877,0.996363639831543,0.04035374894738197
pendigits,ExtraTrees,9892,1100,10,0.008956983163302687,0.018976289610970337,0.004496084526181221,0.9936363697052002,0.03563918545842171
pendigits,LightGBM,9892,1100,10,0.008256072164362962,0.0740068960834782,0.004455413669347763,0.9936363697052002,0.0391811802983284
pendigits,LinearModel,9892,1100,10,0.06946289039692322,0.1442778935629479,0.019520103931427002,0.9563636183738708,0.04102674126625061
pendigits,NeuralNetFastAI,9892,1100,10,0.005162232579879235,0.06994659175131207,0.003428463824093342,0.9972727298736572,0.040562089532613754
pendigits,NeuralNetTorch,9892,1100,10,0.003630372311509473,0.0064920745300495125,0.0018428890034556389,0.9972727298736572,0.03793801739811897
pendigits,RandomForest,9892,1100,10,0.015913958270192215,0.02853168645013217,0.005452836863696575,0.9909090995788574,0.034619905054569244
pendigits,XGBoost,9892,1100,10,0.01118551811793226,0.02038068930202037,0.0028209469746798277,0.9927272796630859,0.04145020991563797
robert,CatBoost,9000,1000,10,0.5944877002419718,1.310991370376735,0.05797087773680687,0.546999990940094,0.047248318791389465
robert,ExtraTrees,9000,1000,10,0.668470619608159,1.5325813839323337,0.06640375405550003,0.47699999809265137,0.04721998795866966
robert,LightGBM,9000,1000,10,0.5718919823754276,1.2545980202125913,0.025995902717113495,0.5569999814033508,0.04732344299554825
