dataset,model,cal_size,test_size,n_classes,VS_brier,VS_logloss,VS_ece-15,VS_accuracy,VS_time
autoUniv-au6-750,XGBoost,675,75,8,0.8057730197906494,1.8888921737670898,0.1381637454032898,0.3866666555404663,0.06730937026441097
autoUniv-au7-1100,CatBoost,990,110,5,0.7285135984420776,1.4077626466751099,0.1218654215335846,0.4272727370262146,0.02572446223348379
autoUniv-au7-1100,ExtraTrees,990,110,5,0.7469781637191772,1.4568675756454468,0.14700070023536682,0.4272727370262146,0.02610605489462614
autoUniv-au7-1100,LightGBM,990,110,5,0.7254534363746643,1.4024569988250732,0.1351333111524582,0.40909090638160706,0.02976622898131609
autoUniv-au7-1100,LinearModel,990,110,5,0.7720018029212952,1.5187482833862305,0.07486142218112946,0.3545454442501068,0.0276692695915699
autoUniv-au7-1100,NeuralNetFastAI,990,110,5,0.7371903657913208,1.4260212182998657,0.06359747052192688,0.38181817531585693,0.020123662427067757
autoUniv-au7-1100,NeuralNetTorch,990,110,5,0.7260676026344299,1.4103107452392578,0.1228969544172287,0.3909091055393219,0.02056414633989334
autoUniv-au7-1100,RandomForest,990,110,5,0.7115715742111206,1.3994401693344116,0.09003721922636032,0.4272727370262146,0.021328719332814217
autoUniv-au7-1100,XGBoost,990,110,5,0.7129727005958557,1.3772716522216797,0.11225330829620361,0.4000000059604645,0.02521389815956354
autoUniv-au7-700,CatBoost,630,70,3,0.574108362197876,0.9650060534477234,0.14893533289432526,0.4714285731315613,0.01985784526914358
autoUniv-au7-700,ExtraTrees,630,70,3,0.5649408102035522,0.9459466338157654,0.1123671755194664,0.4571428596973419,0.01989425253123045
autoUniv-au7-700,LightGBM,630,70,3,0.5386680960655212,0.9018664956092834,0.11147226393222809,0.4571428596973419,0.023262595757842064
autoUniv-au7-700,LinearModel,630,70,3,0.6740624308586121,1.1119989156723022,0.08674934506416321,0.3571428656578064,0.04804597608745098
autoUniv-au7-700,NeuralNetFastAI,630,70,3,0.6148844957351685,1.0238862037658691,0.06753392517566681,0.48571428656578064,0.019488809630274773
autoUniv-au7-700,NeuralNetTorch,630,70,3,0.6282660961151123,1.0384935140609741,0.07692815363407135,0.44285714626312256,0.014982998371124268
autoUniv-au7-700,RandomForest,630,70,3,0.5382500290870667,0.8859279751777649,0.13729120790958405,0.5285714268684387,0.01553654856979847
autoUniv-au7-700,XGBoost,630,70,3,0.5442705154418945,0.9209832549095154,0.1485642045736313,0.5142857432365417,0.022759047336876392
balance-scale,CatBoost,562,63,3,0.02492661587893963,0.05834835022687912,0.03588614612817764,0.9841269850730896,0.021121989004313946
balance-scale,ExtraTrees,562,63,3,0.12013214826583862,0.23199720680713654,0.08994980156421661,0.8888888955116272,0.03834199067205191
balance-scale,LightGBM,562,63,3,0.048239562660455704,0.0972369909286499,0.047366999089717865,0.9682539701461792,0.011606192216277122
balance-scale,LinearModel,562,63,3,0.09005273878574371,0.16550928354263306,0.06773097068071365,0.920634925365448,0.01321442797780037
balance-scale,NeuralNetFastAI,562,63,3,0.008058383129537106,0.019162315875291824,0.01588953100144863,1.0,0.017417648807168007
balance-scale,NeuralNetTorch,562,63,3,0.0005838194629177451,0.0028895721770823,0.0027295267209410667,1.0,0.036843257024884224
balance-scale,RandomForest,562,63,3,0.1210770457983017,0.24089394509792328,0.08836357295513153,0.9047619104385376,0.024268094450235367
balance-scale,XGBoost,562,63,3,0.03250666335225105,0.07077618688344955,0.051040127873420715,0.9841269850730896,0.014154205098748207
baseball,CatBoost,1206,134,3,0.07244020700454712,0.13860592246055603,0.032346438616514206,0.9552238583564758,0.014699218794703484
baseball,ExtraTrees,1206,134,3,0.07262177765369415,0.1370810717344284,0.026245370507240295,0.9626865386962891,0.014007993042469025
baseball,LightGBM,1206,134,3,0.07429271191358566,0.1389562040567398,0.03179621323943138,0.9477611780166626,0.010735003277659416
baseball,LinearModel,1206,134,3,0.06992288678884506,0.13721463084220886,0.036539942026138306,0.9477611780166626,0.010497046634554863
baseball,NeuralNetFastAI,1206,134,3,0.07356680184602737,0.13060319423675537,0.03875028342008591,0.9477611780166626,0.010997163131833076
baseball,NeuralNetTorch,1206,134,3,0.07520891726016998,0.14199063181877136,0.028747322037816048,0.9477611780166626,0.01033530943095684
baseball,RandomForest,1206,134,3,0.07466890662908554,0.14237067103385925,0.02823764644563198,0.9552238583564758,0.010982264764606953
baseball,XGBoost,1206,134,3,0.0729924812912941,0.1445017158985138,0.05106533318758011,0.9552238583564758,0.01479551661759615
car,CatBoost,1555,173,4,0.00024961328017525375,0.0016557394992560148,0.0015878374688327312,1.0,0.02687379065901041
car,ExtraTrees,1555,173,4,0.01460862997919321,0.04026405140757561,0.017905164510011673,0.9942196607589722,0.014613479375839233
car,LightGBM,1555,173,4,8.359812310933348e-26,0.0,5.960464477539063e-08,1.0,0.0219707228243351
car,LinearModel,1555,173,4,0.08172929286956787,0.1282399296760559,0.04514250159263611,0.9190751314163208,0.021304921247065067
car,NeuralNetFastAI,1555,173,4,5.366015543017966e-08,1.3193968698033132e-05,1.3232231140136719e-05,1.0,0.007783418521285057
car,NeuralNetTorch,1555,173,4,1.8782238839776255e-05,0.0003029739891644567,0.0002981424331665039,1.0,0.006413853727281094
car,RandomForest,1555,173,4,0.03092353418469429,0.05318182334303856,0.016834689304232597,0.9826589822769165,0.02444885205477476
car,XGBoost,1555,173,4,0.00016312210937030613,0.0012406476307660341,0.0011971269268542528,1.0,0.03845231328159571
cardiotocography,CatBoost,1913,213,10,3.1847243592286745e-11,2.60580009125988e-06,1.5497207641601562e-06,1.0,0.01007100660353899
cardiotocography,ExtraTrees,1913,213,10,2.9865660725741927e-13,5.143348289493588e-07,5.960464477539063e-08,1.0,0.008311389945447445
cardiotocography,LightGBM,1913,213,10,1.925603773655915e-11,3.664138148451457e-06,2.2649765014648438e-06,1.0,0.004662248305976391
cardiotocography,LinearModel,1913,213,10,3.545611720889852e-11,1.722085585242894e-06,1.1324882507324219e-06,1.0,0.007133128121495247
cardiotocography,NeuralNetFastAI,1913,213,10,0.00013339772704057395,0.0006055942503735423,0.0005684078205376863,1.0,0.0013492526486515999
cardiotocography,NeuralNetTorch,1913,213,10,1.1367329603648169e-12,1.0213937002845341e-06,5.960464477539063e-08,1.0,0.0013544624671339989
cardiotocography,RandomForest,1913,213,10,1.764658840060218e-13,3.8729024254280375e-07,5.960464477539063e-08,1.0,0.021216188557446003
cardiotocography,XGBoost,1913,213,10,3.4226895623268305e-11,2.69702513833181e-06,1.9073486328125e-06,1.0,0.011681117117404938
cmc,CatBoost,1325,148,3,0.4955231845378876,0.8370400071144104,0.10102294385433197,0.5945945978164673,0.015376385301351547
cmc,ExtraTrees,1325,148,3,0.5058901906013489,0.8563138842582703,0.08209716528654099,0.5810810923576355,0.011405877768993378
cmc,LightGBM,1325,148,3,0.5232276916503906,0.8815929293632507,0.052729614078998566,0.5608108043670654,0.014303007163107395
cmc,LinearModel,1325,148,3,0.5228767991065979,0.8713024258613586,0.10776273906230927,0.6148648858070374,0.010992349125444889
cmc,NeuralNetFastAI,1325,148,3,0.4996736943721771,0.8407152891159058,0.058581024408340454,0.587837815284729,0.012204324826598167
cmc,NeuralNetTorch,1325,148,3,0.5031312704086304,0.8490063548088074,0.10456674546003342,0.6216216087341309,0.018173236399888992
cmc,RandomForest,1325,148,3,0.50455242395401,0.8478980660438538,0.062407102435827255,0.587837815284729,0.008408711291849613
cmc,XGBoost,1325,148,3,0.5003306865692139,0.8473264575004578,0.08625660091638565,0.5743243098258972,0.014233254827558994
cnae-9,CatBoost,972,108,9,0.07263918966054916,0.1793682873249054,0.04089416563510895,0.9537037014961243,0.03694168757647276
cnae-9,ExtraTrees,972,108,9,0.06094794347882271,0.14299194514751434,0.049643922597169876,0.9537037014961243,0.1265104366466403
cnae-9,LightGBM,972,108,9,0.04404224455356598,0.11405808478593826,0.039071258157491684,0.9722222089767456,0.03230110462754965
cnae-9,LinearModel,972,108,9,0.05929875001311302,0.13775573670864105,0.03636729717254639,0.9537037014961243,0.11126679833978415
cnae-9,NeuralNetFastAI,972,108,9,0.050552383065223694,0.10381415486335754,0.030852342024445534,0.9537037014961243,0.03228100389242172
cnae-9,NeuralNetTorch,972,108,9,0.05354772135615349,0.11541984975337982,0.03269617259502411,0.9629629850387573,0.05932942498475313
cnae-9,RandomForest,972,108,9,0.060695357620716095,0.16436518728733063,0.059802714735269547,0.9629629850387573,0.12314040679484606
cnae-9,XGBoost,972,108,9,0.08266264200210571,0.1808798462152481,0.049754850566387177,0.9351851940155029,0.035959397442638874
collins,CatBoost,900,100,30,0.7995859384536743,2.0822713375091553,0.07388828694820404,0.3100000023841858,0.04575833585113287
collins,ExtraTrees,900,100,30,0.8294821977615356,2.171433448791504,0.0769071877002716,0.23999999463558197,0.07388319540768862
collins,LightGBM,900,100,30,0.8063763380050659,2.126204013824463,0.05983360484242439,0.3100000023841858,0.05701593030244112
collins,LinearModel,900,100,30,0.8095914721488953,2.1400933265686035,0.12918396294116974,0.36000001430511475,0.06321241799741983
collins,NeuralNetFastAI,900,100,30,0.7961095571517944,2.0646369457244873,0.11097269505262375,0.3700000047683716,0.04976846929639578
collins,NeuralNetTorch,900,100,30,0.7787870168685913,2.01364803314209,0.07338599115610123,0.33000001311302185,0.05810139514505863
collins,RandomForest,900,100,30,0.8249516487121582,2.1870105266571045,0.11548516154289246,0.25999999046325684,0.07938532810658216
collins,XGBoost,900,100,30,0.822949230670929,2.258777141571045,0.11890159547328949,0.28999999165534973,0.06372166238725185
connect-4,CatBoost,60801,6756,3,0.17734462022781372,0.3187253773212433,0.01282708253711462,0.8753700256347656,0.13474858924746513
connect-4,ExtraTrees,60801,6756,3,0.24985821545124054,0.4501490890979767,0.012148805893957615,0.8226761221885681,0.1517273522913456
connect-4,LightGBM,60801,6756,3,0.1775127351284027,0.3197169899940491,0.01313512958586216,0.8734458088874817,0.1307786200195551
connect-4,LinearModel,60801,6756,3,0.33452674746513367,0.5944727063179016,0.012915857136249542,0.757844865322113,0.14304348453879356
connect-4,NeuralNetFastAI,60801,6756,3,0.16660375893115997,0.29924362897872925,0.01755302958190441,0.8833629488945007,0.10862085968255997
connect-4,NeuralNetTorch,60801,6756,3,0.17500481009483337,0.3138577938079834,0.02228679321706295,0.8784784078598022,0.1779268803074956
connect-4,RandomForest,60801,6756,3,0.26074352860450745,0.4715643525123596,0.01642983965575695,0.8148312568664551,0.193356828764081
connect-4,XGBoost,60801,6756,3,0.17840924859046936,0.320637583732605,0.01560339517891407,0.8738898634910583,0.12392279226332903
dilbert,CatBoost,9000,1000,5,0.02455395832657814,0.046984098851680756,0.007516277953982353,0.984000027179718,0.053695980459451675
dilbert,ExtraTrees,9000,1000,5,0.03646830841898918,0.07151618599891663,0.011579643934965134,0.9750000238418579,0.10777363926172256
dilbert,LightGBM,9000,1000,5,0.010828321799635887,0.02619125321507454,0.006368320435285568,0.9940000176429749,0.04947271570563316
dilbert,LinearModel,9000,1000,5,0.09083422273397446,0.16561277210712433,0.02310088835656643,0.9380000233650208,0.04090754967182875
dilbert,NeuralNetFastAI,9000,1000,5,0.019302984699606895,0.03768712282180786,0.008897494524717331,0.9890000224113464,0.04352980945259333
dilbert,NeuralNetTorch,9000,1000,5,0.013180270791053772,0.028588922694325447,0.01193799078464508,0.9919999837875366,0.029108612798154354
dilbert,RandomForest,9000,1000,5,0.06506405025720596,0.12404719740152359,0.015370292589068413,0.9570000171661377,0.0927634397521615
dilbert,XGBoost,9000,1000,5,0.020302625373005867,0.04210669919848442,0.008459723554551601,0.9850000143051147,0.037339216098189354
dna,CatBoost,2867,319,3,0.06354214251041412,0.12348964065313339,0.01871074177324772,0.9592476487159729,0.015419632196426392
dna,ExtraTrees,2867,319,3,0.08253656327724457,0.16209231317043304,0.03618646785616875,0.9404388666152954,0.01703019719570875
dna,LightGBM,2867,319,3,0.06238247826695442,0.11793126165866852,0.021857639774680138,0.962382435798645,0.012326400727033615
dna,LinearModel,2867,319,3,0.12283094227313995,0.2270963191986084,0.03225332126021385,0.9278996586799622,0.01462522242218256
dna,NeuralNetFastAI,2867,319,3,0.08187911659479141,0.15823259949684143,0.029773546382784843,0.9467084407806396,0.014558129943907261
dna,NeuralNetTorch,2867,319,3,0.08087220788002014,0.15605783462524414,0.019235845655202866,0.9498432874679565,0.009557879529893398
dna,RandomForest,2867,319,3,0.09172753244638443,0.17154842615127563,0.01340854074805975,0.9404388666152954,0.015238196589052677
dna,XGBoost,2867,319,3,0.06202336773276329,0.12195751816034317,0.024513818323612213,0.9592476487159729,0.012463588267564774
eucalyptus,CatBoost,662,74,5,0.40911319851875305,0.6863207817077637,0.08411037921905518,0.6891891956329346,0.017261944711208344
eucalyptus,ExtraTrees,662,74,5,0.3744507431983948,0.6408417224884033,0.09499731659889221,0.6891891956329346,0.014420309104025364
eucalyptus,LightGBM,662,74,5,0.3623256981372833,0.6308497190475464,0.09940065443515778,0.6891891956329346,0.010000372305512428
eucalyptus,LinearModel,662,74,5,0.4416700303554535,0.7485495805740356,0.11292998492717743,0.6486486196517944,0.010493947193026543
eucalyptus,NeuralNetFastAI,662,74,5,0.39783647656440735,0.6370386481285095,0.12520653009414673,0.6756756901741028,0.012078414671123028
eucalyptus,NeuralNetTorch,662,74,5,0.42572683095932007,0.6685134172439575,0.07727004587650299,0.662162184715271,0.010904353111982346
eucalyptus,RandomForest,662,74,5,0.4032413363456726,0.6881494522094727,0.07455192506313324,0.662162184715271,0.012461616657674313
eucalyptus,XGBoost,662,74,5,0.4112427532672882,0.7171716690063477,0.11696426570415497,0.6756756901741028,0.013331737369298935
eye_movements,CatBoost,9842,1094,3,0.3526003062725067,0.596348226070404,0.03095053695142269,0.7385740280151367,0.018543031066656113
eye_movements,ExtraTrees,9842,1094,3,0.31863293051719666,0.5480921268463135,0.03566355258226395,0.7751371264457703,0.05256112199276686
eye_movements,LightGBM,9842,1094,3,0.2785545587539673,0.48651206493377686,0.033683426678180695,0.8135283589363098,0.021049080416560173
eye_movements,LinearModel,9842,1094,3,0.5634633302688599,0.917356550693512,0.029043925926089287,0.513711154460907,0.03884339053183794
eye_movements,NeuralNetFastAI,9842,1094,3,0.4335147738456726,0.7208000421524048,0.04855089634656906,0.6736745834350586,0.030877644196152687
eye_movements,NeuralNetTorch,9842,1094,3,0.41697219014167786,0.6945039629936218,0.0653056651353836,0.690127968788147,0.02153663896024227
eye_movements,RandomForest,9842,1094,3,0.38158515095710754,0.6612894535064697,0.0372043214738369,0.7202925086021423,0.036400679498910904
eye_movements,XGBoost,9842,1094,3,0.3183991611003876,0.5464927554130554,0.03956685587763786,0.7742230296134949,0.01989300176501274
fabert,CatBoost,7413,824,7,0.35447704792022705,0.7169997096061707,0.0501733273267746,0.7342233061790466,0.07352601829916239
fabert,ExtraTrees,7413,824,7,0.373102068901062,0.7414095401763916,0.03332212567329407,0.7099514603614807,0.06367924809455872
fabert,LightGBM,7413,824,7,0.35699591040611267,0.7074316143989563,0.04774967581033707,0.7184466123580933,0.06925118062645197
fabert,LinearModel,7413,824,7,0.4820517897605896,1.0009089708328247,0.07967051863670349,0.625,0.10986269265413284
fabert,NeuralNetFastAI,7413,824,7,0.38594162464141846,0.7771697044372559,0.03967229276895523,0.708737850189209,0.06700742896646261
fabert,NeuralNetTorch,7413,824,7,0.4151391386985779,0.8407610058784485,0.08514560759067535,0.7063106894493103,0.06176576856523752
fabert,RandomForest,7413,824,7,0.3844261169433594,0.7791150808334351,0.03525374457240105,0.7026699185371399,0.06638690549880266
fabert,XGBoost,7413,824,7,0.3605135977268219,0.7386849522590637,0.03471207618713379,0.7245145440101624,0.07151514384895563
first-order-theorem-proving,CatBoost,5506,612,6,0.5049277544021606,1.0343382358551025,0.06308437138795853,0.6241829991340637,0.03966710437089205
