dataset,model,cal_size,test_size,n_classes,CatBoost_brier,CatBoost_logloss,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
Traffic_violations,LinearModel,63306,7034,3,0.2768750156749118,0.41570513379556234,0.010083004832267761,0.7924367189407349,20.769777255132794
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.2757694874072482,0.4139247194301009,0.007153389044106007,0.7928632497787476,14.316900358069688
Traffic_violations,NeuralNetTorch,63306,7034,3,0.2889528103700754,0.43872984460316183,0.015343689359724522,0.7817742228507996,16.98037757212296
Traffic_violations,RandomForest,63306,7034,3,0.2735883288254714,0.4115394678113152,0.014218824915587902,0.7942848801612854,16.327530404087156
Traffic_violations,XGBoost,63306,7034,3,0.2731140329512882,0.40961855060534175,0.011086788959801197,0.7937162518501282,14.376943557988852
UMIST_Faces_Cropped,CatBoost,517,58,20,0.03458229636206946,0.10552281144046281,0.03139433637261391,0.9655172228813171,42.204338083043694
UMIST_Faces_Cropped,ExtraTrees,517,58,20,0.03643114223761092,0.08302741936107626,0.020780501887202263,0.9655172228813171,25.710465166717768
UMIST_Faces_Cropped,LightGBM,517,58,20,0.045573992744608306,0.12889418859457785,0.03215926140546799,0.9655172228813171,41.66881249984726
UMIST_Faces_Cropped,LinearModel,517,58,20,0.05141023928566366,0.13090999389630995,0.03791821375489235,0.9482758641242981,21.565268805716187
UMIST_Faces_Cropped,NeuralNetFastAI,517,58,20,0.06070629664584638,0.1625802661257625,0.03275465965270996,0.9482758641242981,10.609841484110802
UMIST_Faces_Cropped,NeuralNetTorch,517,58,20,0.12145036124783877,0.2844575955660542,0.0635959655046463,0.931034505367279,5.315759293735027
UMIST_Faces_Cropped,RandomForest,517,58,20,0.02441445311698727,0.0660979255490374,0.022403882816433907,0.982758641242981,27.17027069395408
UMIST_Faces_Cropped,XGBoost,517,58,20,0.06616147269165798,0.19689325862353277,0.04668954014778137,0.9482758641242981,28.73129868367687
analcatdata_authorship,CatBoost,756,85,4,0.0603955054131138,0.11842287540683642,0.027638744562864304,0.9647058844566345,0.944484799169004
analcatdata_authorship,ExtraTrees,756,85,4,0.036965451654388456,0.07450171850604018,0.023176690563559532,0.9764705896377563,2.375209549907595
analcatdata_authorship,LightGBM,756,85,4,0.03569109808528206,0.10341800993813202,0.022335296496748924,0.9764705896377563,4.38880734378472
analcatdata_authorship,LinearModel,756,85,4,0.025990656120373847,0.0713121933709771,0.01640380546450615,0.9882352948188782,3.1925765271298587
analcatdata_authorship,NeuralNetFastAI,756,85,4,0.08882616152286471,0.13050002137308456,0.04430713877081871,0.9176470637321472,1.971365594305098
analcatdata_authorship,NeuralNetTorch,756,85,4,0.05596727396320547,0.08523239513352732,0.05090036988258362,0.929411768913269,2.239696049131453
analcatdata_authorship,RandomForest,756,85,4,0.04307454509472015,0.08682326413146614,0.03707006573677063,0.9647058844566345,0.9077023481950164
analcatdata_authorship,XGBoost,756,85,4,0.02929748202778931,0.05215933156679603,0.025057850405573845,0.9764705896377563,1.431146748829633
analcatdata_dmft,CatBoost,717,80,6,0.8192633803181083,1.7477002405364126,0.02448936738073826,0.1875,0.5907534742727876
analcatdata_dmft,ExtraTrees,717,80,6,0.8341102129253464,1.7825493535200803,0.10791660845279694,0.26249998807907104,2.161392719950527
analcatdata_dmft,LightGBM,717,80,6,0.8200138064602346,1.7498578578747654,0.06994447857141495,0.21250000596046448,0.5319479978643358
analcatdata_dmft,LinearModel,717,80,6,0.8246649870768735,1.7643037995281081,0.034974489361047745,0.17499999701976776,0.5372841791249812
analcatdata_dmft,NeuralNetFastAI,717,80,6,0.8207765211014545,1.752432098413897,0.03721107542514801,0.25,0.6301196818239987
analcatdata_dmft,NeuralNetTorch,717,80,6,0.8174171838294214,1.7450685893846143,0.0383460633456707,0.21250000596046448,0.5100599890574813
analcatdata_dmft,RandomForest,717,80,6,0.8294318907471409,1.77173213294722,0.06278311461210251,0.23749999701976776,1.6044691507704556
analcatdata_dmft,XGBoost,717,80,6,0.8194384838184113,1.7503278481817446,0.02029551938176155,0.22499999403953552,0.6198045490309596
artificial-characters,CatBoost,9196,1022,10,0.08184806403185445,0.1808051597096551,0.038758717477321625,0.9559686779975891,32.593205771874636
