dataset,model,cal_size,test_size,CB-tiny-monotone_brier,CB-tiny-monotone_logloss,CB-tiny-monotone_kuiper,CB-tiny-monotone_ece-15,CB-tiny-monotone_accuracy,CB-tiny-monotone_time
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,RandomForest,1440,160,0.4780798529988628,0.6708447943172151,0.037112876772880554,0.054312657564878464,0.6187499761581421,0.062285032123327255
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,XGBoost,1440,160,0.44041186504989865,0.6310692850417563,0.043420493602752686,0.050556592643260956,0.6625000238418579,0.06516719982028008
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,CatBoost,1440,160,0.2925303361063386,0.4452014293542195,0.041527971625328064,0.08730587363243103,0.793749988079071,0.0656437799334526
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,ExtraTrees,1440,160,0.39107213225642357,0.5761541074566059,0.0366353765130043,0.07675933092832565,0.7124999761581421,0.06466914899647236
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,LightGBM,1440,160,0.31241719670485,0.4723784423540682,0.048522960394620895,0.11926872283220291,0.768750011920929,0.06411167979240417
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,LinearModel,1440,160,0.50337302442285,0.6967631283820958,0.24891409277915955,0.011667625978589058,0.4937500059604645,0.06158284284174442
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,NeuralNetFastAI,1440,160,0.2854530953596024,0.43651561557013974,0.07830497622489929,0.019707728177309036,0.793749988079071,0.06578643061220646
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,NeuralNetTorch,1440,160,0.2977712637349542,0.45723021542485454,0.03836097568273544,0.07429057359695435,0.793749988079071,0.06394939683377743
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,RandomForest,1440,160,0.39209633333144744,0.5789407160629166,0.032908856868743896,0.07542513310909271,0.7124999761581421,0.06326558999717236
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,XGBoost,1440,160,0.33511417952552564,0.5069149718131767,0.04271285608410835,0.08581306040287018,0.7437499761581421,0.06477301940321922
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,CatBoost,1440,160,0.39342121507172234,0.5677984511945994,0.041330426931381226,0.08342310786247253,0.643750011920929,0.06351646594703197
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,ExtraTrees,1440,160,0.48956555955049785,0.6826950342308604,0.029170572757720947,0.03843146190047264,0.5687500238418579,0.06242861784994602
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,LightGBM,1440,160,0.48594234967407707,0.6788951252165083,0.04173128679394722,0.06487752497196198,0.581250011920929,0.06272452883422375
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,LinearModel,1440,160,0.49789899213783373,0.6910524409569185,0.05233641713857651,0.01435028575360775,0.5249999761581421,0.06181561388075352
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,NeuralNetFastAI,1440,160,0.3960031765043124,0.5631349082863899,0.04867970198392868,0.10826710611581802,0.637499988079071,0.06819690950214863
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,NeuralNetTorch,1440,160,0.4279849682397538,0.6147056633348926,0.05063064768910408,0.08419410139322281,0.6499999761581421,0.06390878185629845
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,RandomForest,1440,160,0.497433223176428,0.6903471280715827,0.05574706196784973,0.08888442814350128,0.518750011920929,0.06257933937013149
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,XGBoost,1440,160,0.4948808586307355,0.6881628788390489,0.06685434281826019,0.0736713632941246,0.550000011920929,0.06673038005828857
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,CatBoost,1440,160,0.41571121385379134,0.5831270017571072,0.07142989337444305,0.10776412487030029,0.6499999761581421,0.06388523615896702
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,ExtraTrees,1440,160,0.4942782133522291,0.6935977359233428,0.06262007355690002,0.10362621396780014,0.612500011920929,0.06306199543178082
