dataset,model,cal_size,test_size,Scaling-Binning_brier,Scaling-Binning_logloss,Scaling-Binning_kuiper,Scaling-Binning_ece-15,Scaling-Binning_accuracy,Scaling-Binning_time
boston_corrected,NeuralNetTorch,455,51,0.16670011653508995,0.27247505091168056,0.08576858788728714,0.1122138500213623,0.9215686321258545,0.002323238179087639
boston_corrected,RandomForest,455,51,0.16758896727315395,0.28182024483383616,0.08333618938922882,0.10093138366937637,0.9019607901573181,0.002247319556772709
boston_corrected,XGBoost,455,51,0.22194775208357292,0.34702496770098146,0.09009872376918793,0.09303876012563705,0.8627451062202454,0.002347954548895359
churn,CatBoost,4500,500,0.09429442581760183,0.19686887432316985,0.023890160024166107,0.026167238131165504,0.949999988079071,0.007123439572751522
churn,ExtraTrees,4500,500,0.10304028250524308,0.2226387823120711,0.01933404430747032,0.01934497430920601,0.9419999718666077,0.006920228712260723
churn,LightGBM,4500,500,0.10636935139608025,0.22444437044487858,0.024213461205363274,0.03808315470814705,0.9440000057220459,0.006983116269111633
churn,LinearModel,4500,500,0.20247199302293464,0.32503095647670605,0.03185015171766281,0.06232967972755432,0.8379999995231628,0.006991202011704445
churn,NeuralNetFastAI,4500,500,0.10833194784477075,0.20804021603868394,0.030510999262332916,0.009713437408208847,0.9340000152587891,0.007257658988237381
churn,NeuralNetTorch,4500,500,0.10560581449742872,0.20813835332379432,0.031177125871181488,0.020821327343583107,0.9399999976158142,0.006880627013742924
churn,RandomForest,4500,500,0.10421987471290367,0.22332649476341584,0.018131708726286888,0.019389765337109566,0.9399999976158142,0.007074475288391113
churn,XGBoost,4500,500,0.09808542226251685,0.2053215761318985,0.025684041902422905,0.027125731110572815,0.9480000138282776,0.007131760939955711
climate-model-simulation-crashes,CatBoost,486,54,0.08478641770634632,0.17219465752578905,0.04209917411208153,0.0285961776971817,0.9444444179534912,0.0026361048221588135
climate-model-simulation-crashes,ExtraTrees,486,54,0.08812065645857593,0.31585884183850105,0.045454517006874084,0.04029020294547081,0.9444444179534912,0.0026143668219447136
climate-model-simulation-crashes,LightGBM,486,54,0.1077989644704106,0.3213703438812765,0.060700491070747375,0.05928071588277817,0.9259259104728699,0.0030772294849157333
climate-model-simulation-crashes,LinearModel,486,54,0.10733961807395628,0.33093124581586636,0.0686761662364006,0.06154286116361618,0.9259259104728699,0.0025335336104035378
climate-model-simulation-crashes,NeuralNetFastAI,486,54,0.13293967390592445,0.3443020079549973,0.07272962480783463,0.07671152800321579,0.9074074029922485,0.0025430023670196533
climate-model-simulation-crashes,NeuralNetTorch,486,54,0.10729210872210691,0.2935023259504267,0.0626729354262352,0.056047216057777405,0.9259259104728699,0.0023972420021891594
climate-model-simulation-crashes,RandomForest,486,54,0.1294796999826127,0.3415876706543027,0.06739182025194168,0.06511786580085754,0.8888888955116272,0.0029334891587495804
climate-model-simulation-crashes,XGBoost,486,54,0.11993991216315295,0.24052325508308267,0.05862615257501602,0.056376442313194275,0.9074074029922485,0.0026839273050427437
colleges_usnews,CatBoost,1171,131,0.37637294194309046,0.5488505626029881,0.05923289433121681,0.07576271146535873,0.7022900581359863,0.00308808870613575
colleges_usnews,ExtraTrees,1171,131,0.3708746720363965,0.5429298135731572,0.06433892250061035,0.10944686830043793,0.694656491279602,0.002932642586529255
colleges_usnews,LightGBM,1171,131,0.3908381299299898,0.5715560748278521,0.06809081137180328,0.12343431264162064,0.7022900581359863,0.003001552075147629
colleges_usnews,LinearModel,1171,131,0.39863270844265003,0.5761418111940555,0.06592828780412674,0.12824666500091553,0.6641221642494202,0.002938060089945793
colleges_usnews,NeuralNetFastAI,1171,131,0.4037658584744733,0.5815022290087547,0.07885029166936874,0.1227896511554718,0.6793892979621887,0.002936284989118576
colleges_usnews,NeuralNetTorch,1171,131,0.3962701288108209,0.5724109042444577,0.08471465110778809,0.14195702970027924,0.694656491279602,0.0033378079533576965
colleges_usnews,RandomForest,1171,131,0.37733350954651335,0.5733520919324752,0.05366174131631851,0.1146356388926506,0.694656491279602,0.0029827645048499107
colleges_usnews,XGBoost,1171,131,0.40205086234318627,0.5799445917670111,0.0769788846373558,0.13422724604606628,0.6793892979621887,0.003064013086259365
cpu_act,CatBoost,7372,820,0.06933255312132348,0.11929588316545035,0.014153802767395973,0.02297145314514637,0.959756076335907,0.00996128749102354
cpu_act,ExtraTrees,7372,820,0.0787080786452923,0.1333435226303883,0.014201680198311806,0.02525423653423786,0.9536585211753845,0.009725687094032764
cpu_act,LightGBM,7372,820,0.07237129987838549,0.1225250372551643,0.013118240982294083,0.02146228402853012,0.957317054271698,0.009488149546086788
cpu_act,LinearModel,7372,820,0.09290990905579087,0.15567560316946683,0.010709119960665703,0.016074862331151962,0.9426829218864441,0.009848680347204208
cpu_act,NeuralNetFastAI,7372,820,0.07665802847070544,0.13111314124844342,0.01677747629582882,0.023240244016051292,0.954878032207489,0.010050129145383835
cpu_act,NeuralNetTorch,7372,820,0.07317098391684482,0.1287040326074688,0.019516421481966972,0.03400891274213791,0.9609755873680115,0.010203137993812561
cpu_act,RandomForest,7372,820,0.07833129760452415,0.13503311088778414,0.02043989486992359,0.03161094710230827,0.9560975432395935,0.00965113751590252
cpu_act,XGBoost,7372,820,0.0715773169540897,0.12127205762539402,0.012737162411212921,0.019753776490688324,0.957317054271698,0.009703570045530796
cpu_small,CatBoost,7372,820,0.10270121468086056,0.16519612360319763,0.009390689432621002,0.00657407334074378,0.9317073225975037,0.009427323937416077
cpu_small,ExtraTrees,7372,820,0.10753341802420315,0.1745570010211332,0.01208602823317051,0.01504956092685461,0.9292683005332947,0.009527161717414856
cpu_small,LightGBM,7372,820,0.09684567847776389,0.15763231303656028,0.01937742345035076,0.013347625732421875,0.9378048777580261,0.00952922459691763
cpu_small,LinearModel,7372,820,0.13058644868604585,0.20931155610067279,0.016769148409366608,0.016433531418442726,0.9073171019554138,0.010359443724155426
cpu_small,NeuralNetFastAI,7372,820,0.11140817349480928,0.17557976877403605,0.016385376453399658,0.009888943284749985,0.9231707453727722,0.010223581455647945
cpu_small,NeuralNetTorch,7372,820,0.11116606965624383,0.1753587252751746,0.016281716525554657,0.016177214682102203,0.9207317233085632,0.009907536208629608
cpu_small,RandomForest,7372,820,0.1079625202586165,0.17479209611316535,0.012679560109972954,0.012156433425843716,0.9268292784690857,0.009709839709103107
cpu_small,XGBoost,7372,820,0.09856849460999577,0.16099183495732847,0.01600729487836361,0.013166545890271664,0.9365853667259216,0.009424470365047455
credit-g,CatBoost,900,100,0.28140012869429837,0.43370279177694043,0.044819459319114685,0.07195591181516647,0.8199999928474426,0.0027869604527950287
credit-g,ExtraTrees,900,100,0.2814617268299424,0.4363279162773745,0.051790498197078705,0.10255268961191177,0.8299999833106995,0.002719944342970848
credit-g,LightGBM,900,100,0.2900123801708477,0.44706107392996075,0.04115775227546692,0.06144949048757553,0.800000011920929,0.0028733620420098305
credit-g,LinearModel,900,100,0.3037198675213657,0.4661986774649054,0.049143336713314056,0.06756141036748886,0.7900000214576721,0.002717791125178337
credit-g,NeuralNetFastAI,900,100,0.2993448800131017,0.4547721420734504,0.04507780075073242,0.07743162661790848,0.7699999809265137,0.00273772981017828
credit-g,NeuralNetTorch,900,100,0.3038955206658212,0.4687732499952172,0.07097209990024567,0.12349625676870346,0.7599999904632568,0.0032157525420188904
credit-g,RandomForest,900,100,0.2774725223129606,0.42889736833652475,0.0640968531370163,0.08828328549861908,0.7900000214576721,0.0026279715821146965
credit-g,XGBoost,900,100,0.2944924233586751,0.44903224965701183,0.05020575225353241,0.06596549600362778,0.7699999809265137,0.0028760042041540146
