dataset,model,cal_size,test_size,Affine_brier,Affine_logloss,Affine_kuiper,Affine_ece-15,Affine_accuracy,Affine_time
diabetes,CatBoost,691,77,0.24754097112982076,0.39172993437836007,0.04338695853948593,0.0966142863035202,0.8311688303947449,0.0020050409948453307
diabetes,ExtraTrees,691,77,0.23271261096685059,0.3710507574219602,0.048039332032203674,0.10695167630910873,0.8571428656578064,0.0020108820172026753
diabetes,LightGBM,691,77,0.24298882791810203,0.3854196669037633,0.03325676918029785,0.11690614372491837,0.8311688303947449,0.0018933550454676151
diabetes,LinearModel,691,77,0.2258764292850296,0.36690301687177734,0.059209711849689484,0.11402436345815659,0.8311688303947449,0.0019177510403096676
diabetes,NeuralNetFastAI,691,77,0.24252082894406862,0.3856255910714615,0.062176551669836044,0.10642895102500916,0.8311688303947449,0.001821820973418653
diabetes,NeuralNetTorch,691,77,0.24639733402656974,0.3844844587372885,0.04536443576216698,0.15125423669815063,0.8181818127632141,0.0018011409556493163
diabetes,RandomForest,691,77,0.2408901527218457,0.3837863731159041,0.044916532933712006,0.09459512680768967,0.8311688303947449,0.0019068140536546707
diabetes,XGBoost,691,77,0.25894761617590784,0.4089044203158815,0.04154490306973457,0.15238066017627716,0.8051947951316833,0.0018035699613392353
dresses-sales,CatBoost,450,50,0.4766624548634066,0.6696944312594443,0.06980732083320618,0.101305291056633,0.5799999833106995,0.0018032729858532548
dresses-sales,ExtraTrees,450,50,0.509178130499448,0.7042183385618518,0.10655327141284943,0.14557453989982605,0.5799999833106995,0.0017688570078462362
dresses-sales,LightGBM,450,50,0.49410186924505134,0.690223363641869,0.08122897893190384,0.14214041829109192,0.5799999833106995,0.0018064449541270733
dresses-sales,LinearModel,450,50,0.48619076073405393,0.6829944554543407,0.0909024029970169,0.1333046704530716,0.6399999856948853,0.0016331359511241317
dresses-sales,NeuralNetFastAI,450,50,0.48497327543051183,0.6842282554803069,0.08702277392148972,0.20043474435806274,0.6600000262260437,0.0017124509904533625
dresses-sales,NeuralNetTorch,450,50,0.47968067203500797,0.6756070247406158,0.07850224524736404,0.0875241681933403,0.6200000047683716,0.0018076879205182195
dresses-sales,RandomForest,450,50,0.512111217803836,0.7077854358062463,0.08980779349803925,0.15397435426712036,0.5799999833106995,0.0017903440166264772
dresses-sales,XGBoost,450,50,0.4989149442587095,0.6957014965700001,0.06715326756238937,0.11653998494148254,0.6000000238418579,0.0018729530274868011
eeg-eye-state,CatBoost,13482,1498,0.06066144184838404,0.10503392044767977,0.007570744026452303,0.010435405187308788,0.9612817168235779,0.007549586007371545
eeg-eye-state,ExtraTrees,13482,1498,0.08059127886028161,0.13401749844803307,0.010094597935676575,0.012627750635147095,0.9432576894760132,0.008570836973376572
eeg-eye-state,LightGBM,13482,1498,0.06726634619975876,0.11384445638023195,0.008876838721334934,0.014849790371954441,0.9566088318824768,0.006930095027200878
eeg-eye-state,LinearModel,13482,1498,0.44817164516510444,0.6385036733697064,0.020815692842006683,0.048688292503356934,0.6301735639572144,0.005924649070948362
eeg-eye-state,NeuralNetFastAI,13482,1498,0.25269928468686736,0.39902833685069067,0.04878515377640724,0.0842079445719719,0.8197596669197083,0.006025542039424181
eeg-eye-state,NeuralNetTorch,13482,1498,0.026038372849355368,0.0475618630567386,0.0033837556838989258,0.008414071053266525,0.9826435446739197,0.006600088090635836
eeg-eye-state,RandomForest,13482,1498,0.09451963279901467,0.1590648829449526,0.009461168199777603,0.015267864800989628,0.9385848045349121,0.008507560938596725
eeg-eye-state,XGBoost,13482,1498,0.07064683105757331,0.11985267718275848,0.00824153982102871,0.012514346279203892,0.9526034593582153,0.0069421789376065135
electricity,CatBoost,40780,4532,0.08099348205612963,0.14001097912536278,0.005177605431526899,0.011890195310115814,0.9472638964653015,0.014178407029248774
electricity,ExtraTrees,40780,4532,0.13717108018008242,0.22687162325295146,0.0076093110255897045,0.011726833879947662,0.9060017466545105,0.015075086033903062
electricity,LightGBM,40780,4532,0.08165240708397455,0.14300521458718313,0.008002026937901974,0.01347795408219099,0.948808491230011,0.014191568014211953
electricity,LinearModel,40780,4532,0.3286944594433154,0.4945371554490336,0.006570480763912201,0.011905302293598652,0.7561782598495483,0.013238062034361064
electricity,NeuralNetFastAI,40780,4532,0.21977400237009803,0.3457618233930584,0.01149335689842701,0.017284221947193146,0.8435569405555725,0.011201373999938369
electricity,NeuralNetTorch,40780,4532,0.18588046443761586,0.2991691404638424,0.020484406501054764,0.030543016269803047,0.8720211982727051,0.018819220014847815
electricity,RandomForest,40780,4532,0.10629140287215029,0.19903528711424578,0.009538324549794197,0.015458455309271812,0.9300529360771179,0.0164028350263834
electricity,XGBoost,40780,4532,0.07957930849197428,0.13962654759289522,0.006168795749545097,0.010337484069168568,0.948367178440094,0.014110999065451324
fri_c0_1000_5,CatBoost,900,100,0.12183001688932013,0.1902519538980515,0.05660451948642731,0.09640288352966309,0.9100000262260437,0.002143527031876147
fri_c0_1000_5,ExtraTrees,900,100,0.1436661763599967,0.2198503454283002,0.05469118058681488,0.09382811188697815,0.8799999952316284,0.0023082540137693286
fri_c0_1000_5,LightGBM,900,100,0.11548091572636576,0.17885124296086452,0.03705011308193207,0.06904721260070801,0.8999999761581421,0.002145593985915184
fri_c0_1000_5,LinearModel,900,100,0.208219238142396,0.35582641714039914,0.06690634787082672,0.13377903401851654,0.8899999856948853,0.001722194952890277
fri_c0_1000_5,NeuralNetFastAI,900,100,0.09947068333084363,0.157311815060208,0.044579487293958664,0.08414803445339203,0.9399999976158142,0.0022379910806193948
fri_c0_1000_5,NeuralNetTorch,900,100,0.09952025112048235,0.15302705953308085,0.028529755771160126,0.0775284543633461,0.9100000262260437,0.0021202299976721406
fri_c0_1000_5,RandomForest,900,100,0.126870927092496,0.2128302852003911,0.05006881058216095,0.07120221853256226,0.9300000071525574,0.0021620369516313076
fri_c0_1000_5,XGBoost,900,100,0.13647791900402542,0.21404739095255113,0.03889421001076698,0.09558513760566711,0.8799999952316284,0.0019449710380285978
fri_c0_500_5,CatBoost,450,50,0.2030912929759816,0.30872918371819674,0.07523316890001297,0.13289105892181396,0.8399999737739563,0.0018540630117058754
fri_c0_500_5,ExtraTrees,450,50,0.25174903343441185,0.39106549253409567,0.0938691720366478,0.11369063705205917,0.800000011920929,0.0019310449715703726
fri_c0_500_5,LightGBM,450,50,0.20657424445113803,0.3150818991036111,0.08140522986650467,0.13340726494789124,0.8799999952316284,0.0018401399720460176
fri_c0_500_5,LinearModel,450,50,0.28183690178357546,0.42243413538442787,0.037236765027046204,0.1330093890428543,0.7799999713897705,0.0017230239463970065
fri_c0_500_5,NeuralNetFastAI,450,50,0.19608679705418475,0.2866264255134536,0.07425278425216675,0.11002987623214722,0.8399999737739563,0.0019997030030936003
fri_c0_500_5,NeuralNetTorch,450,50,0.20510284309253804,0.3020673327119732,0.07789276540279388,0.12444424629211426,0.8600000143051147,0.001930598053149879
fri_c0_500_5,RandomForest,450,50,0.26661155681462384,0.39337269826178867,0.08866914361715317,0.15928727388381958,0.7799999713897705,0.001965697971172631
fri_c0_500_5,XGBoost,450,50,0.22628286783484022,0.35196225409810594,0.0787707045674324,0.12868013978004456,0.800000011920929,0.0018358679953962564
fri_c1_1000_50,CatBoost,900,100,0.1193703556054107,0.20374643961973846,0.014645010232925415,0.06587614119052887,0.9300000071525574,0.0021147039951756597
fri_c1_1000_50,ExtraTrees,900,100,0.11553286437895212,0.19969929186789342,0.024547342211008072,0.07458127290010452,0.9200000166893005,0.002160751959308982
