dataset,model,cal_size,test_size,CatBoost_brier,CatBoost_logloss,CatBoost_kuiper,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
houses,LightGBM,18576,2064,0.018548986109797022,0.03275756219278686,0.005424114875495434,0.006397228688001633,0.9864341020584106,5.687285521067679
houses,LinearModel,18576,2064,0.04257821615726653,0.07196362541704154,0.005129897966980934,0.008916434831917286,0.9685077667236328,6.574795802123845
houses,NeuralNetFastAI,18576,2064,0.017915879239675133,0.03220999421818126,0.0053433701395988464,0.00821648072451353,0.9869186282157898,4.2817019345238805
houses,NeuralNetTorch,18576,2064,0.01926820994180353,0.033010429546354254,0.004682799801230431,0.008490894921123981,0.9859496355056763,4.756716867908835
houses,RandomForest,18576,2064,0.018871166508696552,0.03277299110850956,0.0038625793531537056,0.006797208916395903,0.9874030947685242,4.6363606275990605
houses,XGBoost,18576,2064,0.018507472937955367,0.032758650048874856,0.004726930987089872,0.007144407834857702,0.9888566136360168,4.582259003072977
ilpd,CatBoost,524,59,0.3617739038488883,0.528435704079815,0.045285992324352264,0.13325829803943634,0.7288135886192322,0.5029753465205431
ilpd,ExtraTrees,524,59,0.351935512998862,0.5093407923437531,0.04544781148433685,0.09679218381643295,0.7288135886192322,0.5449761832132936
ilpd,LightGBM,524,59,0.35161349706334816,0.517177512568374,0.06161797046661377,0.15162649750709534,0.7627118825912476,0.5717082191258669
ilpd,LinearModel,524,59,0.37301249126578306,0.5359728940033961,0.07624617964029312,0.14505675435066223,0.6440678238868713,0.3719083946198225
ilpd,NeuralNetFastAI,524,59,0.36482954600649964,0.5141011825375104,0.06819260865449905,0.13261668384075165,0.6440678238868713,0.4531277986243367
ilpd,NeuralNetTorch,524,59,0.37056524904222377,0.542507376238728,0.08785958588123322,0.15986168384552002,0.6610169410705566,0.3830846967175603
ilpd,RandomForest,524,59,0.3907189008093807,0.5577261158547336,0.08069968968629837,0.11629588901996613,0.6610169410705566,0.4740232629701495
ilpd,XGBoost,524,59,0.36952402686902164,0.527513403434933,0.06992040574550629,0.08291799575090408,0.694915235042572,0.42325634974986315
jasmine,CatBoost,2685,299,0.26630188866913107,0.40549937671794295,0.02980087511241436,0.060541462153196335,0.8060200810432434,0.790511105209589
jasmine,ExtraTrees,2685,299,0.274393271993477,0.4145389465551055,0.02258930914103985,0.05376849323511124,0.8193979859352112,0.7943323813378811
jasmine,LightGBM,2685,299,0.26226518089018264,0.40076368156608405,0.02363346330821514,0.04538077116012573,0.8227424621582031,0.8108526151627302
jasmine,LinearModel,2685,299,0.28815155278281246,0.43945808900238786,0.02550812065601349,0.04485016688704491,0.7993311285972595,0.6804224886000156
jasmine,NeuralNetFastAI,2685,299,0.280456871784783,0.4272387417889422,0.02763073891401291,0.06081689894199371,0.8060200810432434,0.7313779778778553
jasmine,NeuralNetTorch,2685,299,0.2817083248020674,0.42605318805836734,0.03213849663734436,0.0534035749733448,0.8060200810432434,0.7103420756757259
jasmine,RandomForest,2685,299,0.2643445796445053,0.4008716748489131,0.03756628930568695,0.088893361389637,0.8060200810432434,0.7406360981985927
jasmine,XGBoost,2685,299,0.2571423775034251,0.3951186006084821,0.023797769099473953,0.041820723563432693,0.8227424621582031,0.7764140591025352
jm1,CatBoost,9796,1089,0.26578211509774036,0.4198088827659364,0.011673612520098686,0.02217089757323265,0.8163452744483948,1.5134938722476363
jm1,ExtraTrees,9796,1089,0.26494069005728077,0.4172869283408713,0.01378709077835083,0.03116503544151783,0.8255280256271362,1.6507873991504312
jm1,LightGBM,9796,1089,0.2643739843884329,0.41837138857255246,0.011241786181926727,0.02905656397342682,0.8218548893928528,1.3802503375336528
jm1,LinearModel,9796,1089,0.28085662457185795,0.44342238889459634,0.016496889293193817,0.029621295630931854,0.8172635436058044,1.1444663824513555
jm1,NeuralNetFastAI,9796,1089,0.2713578563974249,0.4321440485795997,0.018916569650173187,0.04156786575913429,0.8227731585502625,1.5314149344339967
