dataset,model,cal_size,test_size,Base-model_brier,Base-model_logloss,Base-model_kuiper,Base-model_ece-15,Base-model_accuracy,Base-model_time
OVA_Ovary,LightGBM,1390,155,0.10918120294809341,0.17880789935588837,0.040304820984601974,0.06216128170490265,0.9225806593894958,0
OVA_Ovary,LinearModel,1390,155,0.12909723818302155,0.35710573196411133,0.03529641404747963,0.06499695777893066,0.9290322661399841,0
OVA_Ovary,NeuralNetFastAI,1390,155,0.12448322027921677,0.18878212571144104,0.04121243581175804,0.08245484530925751,0.9161290526390076,0
OVA_Ovary,NeuralNetTorch,1390,155,0.0975121557712555,0.15763957798480988,0.0243423730134964,0.08095047622919083,0.9290322661399841,0
OVA_Ovary,RandomForest,1390,155,0.12593664228916168,0.20506639778614044,0.05125420168042183,0.10579393059015274,0.8838709592819214,0
OVA_Ovary,XGBoost,1390,155,0.11093303561210632,0.20162418484687805,0.03581393510103226,0.060957953333854675,0.9290322661399841,0
OVA_Prostate,CatBoost,1390,155,0.023407816886901855,0.04452460631728172,0.006342269480228424,0.0132527407258749,0.9870967864990234,0
OVA_Prostate,ExtraTrees,1390,155,0.019874513149261475,0.04139483720064163,0.006370764225721359,0.013135398738086224,0.9870967864990234,0
OVA_Prostate,LightGBM,1390,155,0.01349481288343668,0.030935201793909073,0.006360236555337906,0.0079736253246665,0.9935483932495117,0
OVA_Prostate,LinearModel,1390,155,0.01580982841551304,0.5679610967636108,0.009110216051340103,0.00911027379333973,0.9935483932495117,0
OVA_Prostate,NeuralNetFastAI,1390,155,0.01605226844549179,0.0931289792060852,0.006451606750488281,0.011151842772960663,0.9935483932495117,0
OVA_Prostate,NeuralNetTorch,1390,155,0.012496981769800186,0.02927660197019577,0.008626189082860947,0.009984453208744526,0.9935483932495117,0
OVA_Prostate,RandomForest,1390,155,0.019941795617341995,0.03992141783237457,0.010293547995388508,0.02510325238108635,0.9870967864990234,0
OVA_Prostate,XGBoost,1390,155,0.021510479971766472,0.04294919595122337,0.006382493302226067,0.013206634670495987,0.9870967864990234,0
PhishingWebsites,CatBoost,9949,1106,0.04911196976900101,0.08706418424844742,0.010357205756008625,0.01975196599960327,0.9629294872283936,0
PhishingWebsites,ExtraTrees,9949,1106,0.06636973470449448,0.12766073644161224,0.030746500939130783,0.05300511419773102,0.9647377729415894,0
