dataset,model,cal_size,test_size,Beta_brier,Beta_logloss,Beta_kuiper,Beta_ece-15,Beta_accuracy,Beta_time
gina,RandomForest,2837,316,0.09075757896187596,0.15620113035031835,0.007653232663869858,0.03062867745757103,0.9398733973503113,0.0045479945838451385
gina,XGBoost,2837,316,0.06795270026428252,0.11737116232243575,0.009390614926815033,0.02365458384156227,0.9556962251663208,0.003905516117811203
hill-valley,CatBoost,1090,122,0.4805130687672454,0.6733293209301912,0.04932937026023865,0.06703808158636093,0.5573770403862,0.0028666555881500244
hill-valley,ExtraTrees,1090,122,0.46692426091774564,0.6594816441201715,0.043029047548770905,0.08264008164405823,0.6065573692321777,0.0030886344611644745
hill-valley,LightGBM,1090,122,0.4523846237093368,0.6437889730270303,0.053510911762714386,0.057717546820640564,0.5983606576919556,0.002971883863210678
hill-valley,LinearModel,1090,122,0.152258973608075,0.27904486405626133,0.06799757480621338,0.09643764793872833,0.9016393423080444,0.003198016434907913
hill-valley,NeuralNetFastAI,1090,122,0.2793475764494964,0.4204982468935101,0.14304552972316742,0.1855151206254959,0.8196721076965332,0.003640364855527878
hill-valley,NeuralNetTorch,1090,122,0.13140559627664689,0.22637733794279793,0.0436035692691803,0.06911397725343704,0.9098360538482666,0.006452832370996475
hill-valley,RandomForest,1090,122,0.46855993112156974,0.6611306832081075,0.05681438744068146,0.07770534604787827,0.631147563457489,0.003055516630411148
hill-valley,XGBoost,1090,122,0.4750353780987327,0.6676925265988497,0.032387249171733856,0.03108525276184082,0.5901639461517334,0.00310371071100235
hiva_agnostic,CatBoost,3806,423,0.06371648807210115,0.13602552359391146,0.012191317975521088,0.023370537906885147,0.9645389914512634,0.005314681679010391
hiva_agnostic,ExtraTrees,3806,423,0.06514730572600423,0.14134673760898492,0.015126464888453484,0.016805225983262062,0.9621749520301819,0.006660871207714081
hiva_agnostic,LightGBM,3806,423,0.06340987503531985,0.13759704658840044,0.011058581992983818,0.01739692874252796,0.9645389914512634,0.004738934338092804
hiva_agnostic,LinearModel,3806,423,0.06230375834669609,0.13783149308650866,0.014801684767007828,0.013216362334787846,0.9645389914512634,0.0061335936188697815
hiva_agnostic,NeuralNetFastAI,3806,423,0.06003837856909584,0.13439884142555217,0.01139152329415083,0.012432873249053955,0.9669030904769897,0.004691343754529953
hiva_agnostic,NeuralNetTorch,3806,423,0.06242003785634508,0.13919414177811837,0.012639697641134262,0.022587254643440247,0.9669030904769897,0.004943773150444031
hiva_agnostic,RandomForest,3806,423,0.06527289345838086,0.13854317322749563,0.013062653131783009,0.018905943259596825,0.9621749520301819,0.006690282374620438
hiva_agnostic,XGBoost,3806,423,0.06197601734538211,0.13378938511369326,0.011770224198698997,0.021000802516937256,0.9669030904769897,0.004620365798473358
houses,CatBoost,18576,2064,0.016297007972558744,0.02933863701825917,0.0034670657478272915,0.008365146815776825,0.9903100728988647,0.01339741051197052
houses,ExtraTrees,18576,2064,0.01579965114029141,0.02872017347323545,0.004165497608482838,0.006960553117096424,0.9893410801887512,0.010289013385772705
houses,LightGBM,18576,2064,0.018063485471395243,0.031890089635870984,0.004978444427251816,0.006423276849091053,0.9869186282157898,0.010835863649845123
houses,LinearModel,18576,2064,0.04674788462783239,0.08341426717877837,0.007514954544603825,0.018813729286193848,0.9685077667236328,0.011278834193944931
houses,NeuralNetFastAI,18576,2064,0.017843660917987347,0.03200541594808155,0.004638450685888529,0.008829116821289062,0.9874030947685242,0.010205168277025223
houses,NeuralNetTorch,18576,2064,0.018820690549875504,0.03374976200427654,0.004410805646330118,0.008241360075771809,0.9864341020584106,0.014841914176940918
houses,RandomForest,18576,2064,0.018897628272183265,0.03283925629006505,0.003654401982203126,0.007076868787407875,0.9883720874786377,0.014756590127944946
houses,XGBoost,18576,2064,0.017819486665841433,0.03157840020590925,0.004114381968975067,0.007451008539646864,0.9893410801887512,0.010422270745038986
ilpd,CatBoost,524,59,0.3656473896761647,0.5334542441075285,0.05381796136498451,0.081468366086483,0.694915235042572,0.0049080438911914825
ilpd,ExtraTrees,524,59,0.35073503200964606,0.5042342496737016,0.046962231397628784,0.0970870777964592,0.7288135886192322,0.004949580878019333
