dataset,model,cal_size,test_size,Hist-quantile_brier,Hist-quantile_logloss,Hist-quantile_kuiper,Hist-quantile_ece-15,Hist-quantile_accuracy,Hist-quantile_time
fri_c2_500_50,XGBoost,450,50,0.2359703703703704,0.3585489931286838,0.06399998813867569,0.11466668546199799,0.8399999737739563,0.0003723958507180214
fri_c3_1000_10,CatBoost,900,100,0.11272592592592591,0.1979232792240554,0.03755556792020798,0.05666666850447655,0.9200000166893005,0.0004033651202917099
fri_c3_1000_10,ExtraTrees,900,100,0.10541313743823402,0.1884412549855478,0.03277778998017311,0.03848527371883392,0.9399999976158142,0.0004108734428882599
fri_c3_1000_10,LightGBM,900,100,0.10820987654320988,0.1751069826606852,0.02655554562807083,0.02477782405912876,0.9200000166893005,0.00040455255657434464
fri_c3_1000_10,LinearModel,900,100,0.4023086419753086,0.5876151843722662,0.07211112231016159,0.13766667246818542,0.7200000286102295,0.0004342300817370415
fri_c3_1000_10,NeuralNetFastAI,900,100,0.09504444444444445,0.1558650212818405,0.03155556693673134,0.024777816608548164,0.9300000071525574,0.00040321145206689835
fri_c3_1000_10,NeuralNetTorch,900,100,0.09844444444444445,0.17455355224684188,0.0260000042617321,0.028888896107673645,0.9300000071525574,0.00041245296597480774
fri_c3_1000_10,RandomForest,900,100,0.12788148148148148,0.221338846078999,0.023000024259090424,0.03133333846926689,0.9200000166893005,0.0004029488191008568
fri_c3_1000_10,XGBoost,900,100,0.12737037037037038,0.20958821327150415,0.04977778345346451,0.08100003749132156,0.8999999761581421,0.00041025038808584213
fri_c3_1000_25,CatBoost,900,100,0.11355802469135803,0.1744208842758544,0.03711111098527908,0.05766669660806656,0.8999999761581421,0.00041655730456113815
fri_c3_1000_25,ExtraTrees,900,100,0.10939753086419754,0.16983854809844023,0.025999994948506355,0.031777817755937576,0.9100000262260437,0.0004185084253549576
fri_c3_1000_25,LightGBM,900,100,0.09495308641975309,0.14890584023477327,0.03288888558745384,0.025555582717061043,0.9100000262260437,0.0004406282678246498
fri_c3_1000_25,LinearModel,900,100,0.4267802469135802,0.6120180121473399,0.06555554270744324,0.06666667014360428,0.6499999761581421,0.00041192397475242615
fri_c3_1000_25,NeuralNetFastAI,900,100,0.08383456790123457,0.13904044144258493,0.031333327293395996,0.0332222543656826,0.9399999976158142,0.0004105865955352783
fri_c3_1000_25,NeuralNetTorch,900,100,0.06784938271604939,0.1390897253801943,0.03344444930553436,0.05322222039103508,0.9599999785423279,0.0004094494506716728
fri_c3_1000_25,RandomForest,900,100,0.15381680050689808,0.23583083781934355,0.042666658759117126,0.057141318917274475,0.8799999952316284,0.00041966047137975693
fri_c3_1000_25,XGBoost,900,100,0.10426172839506172,0.17122582127503613,0.02133334055542946,0.025111136958003044,0.9200000166893005,0.0004051942378282547
fri_c3_500_10,CatBoost,450,50,0.21153580246913584,1.9988932956677439,0.07599999755620956,0.10088888555765152,0.8600000143051147,0.00036268215626478195
fri_c3_500_10,ExtraTrees,450,50,0.2385777777777778,2.059745643550767,0.07644444704055786,0.09866666793823242,0.8600000143051147,0.00037795398384332657
