dataset,model,cal_size,test_size,XGBoost_brier,XGBoost_logloss,XGBoost_kuiper,XGBoost_ece-15,XGBoost_accuracy,XGBoost_time
adult,XGBoost,43957,4885,0.17056390643119812,0.27156904339790344,0.009833481162786484,0.0185528714209795,0.8759467601776123,0.16018284857273102
ailerons,CatBoost,12375,1375,0.15846389532089233,0.2628015875816345,0.010212406516075134,0.027957338839769363,0.8894545435905457,0.06339520681649446
ailerons,ExtraTrees,12375,1375,0.16812951862812042,0.2748296856880188,0.010730065405368805,0.020988786593079567,0.8807272911071777,0.06354291457682848
ailerons,LightGBM,12375,1375,0.15861834585666656,0.26245591044425964,0.01139135379344225,0.026605701074004173,0.8930909037590027,0.06359587609767914
ailerons,LinearModel,12375,1375,0.16968800127506256,0.27933621406555176,0.014423452317714691,0.028412705287337303,0.8821818232536316,0.06473757792264223
ailerons,NeuralNetFastAI,12375,1375,0.16709241271018982,0.2757694721221924,0.011238545179367065,0.02507856674492359,0.8850908875465393,0.06329981610178947
ailerons,NeuralNetTorch,12375,1375,0.16508324444293976,0.27132922410964966,0.009054277092218399,0.02439095266163349,0.8814545273780823,0.06285022757947445
ailerons,RandomForest,12375,1375,0.1641649454832077,0.2719443440437317,0.011453855782747269,0.02932015433907509,0.8821818232536316,0.06356174126267433
ailerons,XGBoost,12375,1375,0.15929730236530304,0.2627005875110626,0.00965399295091629,0.02521575428545475,0.8887272477149963,0.06389200873672962
arcene,CatBoost,90,10,0.45809826254844666,0.7103663682937622,0.16155651211738586,0.1983138918876648,0.699999988079071,0.02075926586985588
arcene,ExtraTrees,90,10,0.3597623109817505,0.5715621709823608,0.11596158146858215,0.18278244137763977,0.699999988079071,0.02095185685902834
arcene,LightGBM,90,10,0.4457186162471771,0.6946289539337158,0.15348172187805176,0.20819611847400665,0.699999988079071,0.020140884444117546
arcene,LinearModel,90,10,0.4320186674594879,0.6568164229393005,0.10409685224294662,0.20740076899528503,0.699999988079071,0.020143793895840645
arcene,NeuralNetFastAI,90,10,0.3531344532966614,0.5849751234054565,0.10908936709165573,0.18494494259357452,0.699999988079071,0.0203065425157547
arcene,NeuralNetTorch,90,10,0.37649086117744446,0.5889548659324646,0.1370449811220169,0.23504580557346344,0.699999988079071,0.020353514701128006
arcene,RandomForest,90,10,0.4659227728843689,0.6862407922744751,0.16567203402519226,0.30240002274513245,0.6000000238418579,0.020477003417909145
arcene,XGBoost,90,10,0.4011475443840027,0.6209415793418884,0.09314151108264923,0.20853322744369507,0.699999988079071,0.020220337435603142
arsenic-female-bladder,CatBoost,503,56,0.21790394186973572,0.3455032706260681,0.0286799818277359,0.060780324041843414,0.8571428656578064,0.022987608797848225
arsenic-female-bladder,ExtraTrees,503,56,0.2420709878206253,0.3877846896648407,0.04345002770423889,0.08374664932489395,0.8214285969734192,0.02247070148587227
arsenic-female-bladder,LightGBM,503,56,0.21784965693950653,0.3668810725212097,0.05397234857082367,0.07931947708129883,0.875,0.02239302732050419
arsenic-female-bladder,LinearModel,503,56,0.22566911578178406,0.3509729504585266,0.05351248383522034,0.07867101579904556,0.8571428656578064,0.022927968762815
arsenic-female-bladder,NeuralNetFastAI,503,56,0.22372376918792725,0.3393256366252899,0.06078910082578659,0.11677225679159164,0.8392857313156128,0.02348409593105316
arsenic-female-bladder,NeuralNetTorch,503,56,0.19510531425476074,0.3138137459754944,0.03893515467643738,0.043605998158454895,0.875,0.022917944937944412
arsenic-female-bladder,RandomForest,503,56,0.22278080880641937,0.36118385195732117,0.06327575445175171,0.11077626794576645,0.8571428656578064,0.024502387270331383
arsenic-female-bladder,XGBoost,503,56,0.21020253002643585,0.3361749053001404,0.03492491692304611,0.0652613565325737,0.8571428656578064,0.023779687471687794
autoUniv-au1-1000,CatBoost,900,100,0.3819695711135864,0.5715974569320679,0.07241378724575043,0.13271547853946686,0.7300000190734863,0.025127796456217766
autoUniv-au1-1000,ExtraTrees,900,100,0.3841405510902405,0.5745237469673157,0.052185818552970886,0.07056481391191483,0.7300000190734863,0.025486323051154613
autoUniv-au1-1000,LightGBM,900,100,0.3584624230861664,0.544414758682251,0.03690354526042938,0.10518807917833328,0.7599999904632568,0.025747129693627357
autoUniv-au1-1000,LinearModel,900,100,0.38399094343185425,0.5772421360015869,0.07101505994796753,0.10202547907829285,0.75,0.024162203073501587
autoUniv-au1-1000,NeuralNetFastAI,900,100,0.3519858419895172,0.5439099073410034,0.06484194099903107,0.09928150475025177,0.7699999809265137,0.023843091912567616
autoUniv-au1-1000,NeuralNetTorch,900,100,0.3527812063694,0.5330278873443604,0.03403342515230179,0.07543519139289856,0.75,0.025044412352144718
