dataset,model,cal_size,test_size,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_kuiper,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
delta_elevators,RandomForest,8565,952,0.182883817505173,0.3015034344579616,0.012638051062822342,0.026602033525705338,0.8728991746902466,0.08769413095433265
delta_elevators,XGBoost,8565,952,0.1766339313550126,0.29673769527033944,0.012214548885822296,0.024250345304608345,0.8792017102241516,0.09783082304056734
diabetes,CatBoost,691,77,0.2484082040862148,0.39436579091552654,0.05253469944000244,0.11223116517066956,0.8311688303947449,0.009651064989157021
diabetes,ExtraTrees,691,77,0.23786735089916144,0.3803590646683274,0.04670223593711853,0.07103929668664932,0.8441558480262756,0.008602731977589428
diabetes,LightGBM,691,77,0.24598910939630592,0.39005894295961174,0.03762631118297577,0.06609667837619781,0.8051947951316833,0.009170499979518354
diabetes,LinearModel,691,77,0.2287261085337991,0.3682256944282262,0.06560540199279785,0.14245688915252686,0.8311688303947449,0.007051913999021053
diabetes,NeuralNetFastAI,691,77,0.24611131795558555,0.38577991895670477,0.06536775827407837,0.12457489967346191,0.8311688303947449,0.007298012962564826
diabetes,NeuralNetTorch,691,77,0.23417022236134272,0.3699479101179028,0.04401728883385658,0.09565450251102448,0.8311688303947449,0.007421504007652402
diabetes,RandomForest,691,77,0.24650106411870934,0.3960078410687504,0.047420352697372437,0.07439883053302765,0.8311688303947449,0.007808896014466882
diabetes,XGBoost,691,77,0.2694893743135472,0.42756732572248973,0.043749429285526276,0.17698076367378235,0.8051947951316833,0.008619871106930077
dresses-sales,CatBoost,450,50,0.47524601362693547,0.6679408303386316,0.07347829639911652,0.1718827188014984,0.5799999833106995,0.0038291540695354342
dresses-sales,ExtraTrees,450,50,0.5176896215303871,0.7150014212589758,0.13148896396160126,0.16122855246067047,0.5799999833106995,0.0034270499600097537
dresses-sales,LightGBM,450,50,0.5079607986609475,0.7102889868691368,0.08151194453239441,0.12678048014640808,0.6000000238418579,0.003989489050582051
dresses-sales,LinearModel,450,50,0.4785282057899748,0.6764096158315134,0.13418114185333252,0.14183084666728973,0.6399999856948853,0.0034039439633488655
dresses-sales,NeuralNetFastAI,450,50,0.5006754310533962,0.7026145258931024,0.11332106590270996,0.18184803426265717,0.6800000071525574,0.0042977071134373546
dresses-sales,NeuralNetTorch,450,50,0.49478582777279356,0.6928093648695267,0.09200955927371979,0.13867433369159698,0.6200000047683716,0.003693756996653974
dresses-sales,RandomForest,450,50,0.516578339478219,0.7146431894352525,0.13417431712150574,0.1799508035182953,0.5799999833106995,0.003423730027861893
