dataset,model,cal_size,test_size,CDF-Spline_brier,CDF-Spline_logloss,CDF-Spline_kuiper,CDF-Spline_ece-15,CDF-Spline_accuracy,CDF-Spline_time
spambase,RandomForest,4140,461,0.08960902548442437,,0.027749547734856606,0.038174305111169815,0.9327548742294312,0.026883907616138458
spambase,XGBoost,4140,461,0.08977277451407921,0.1519251753487446,0.031552672386169434,0.04502101615071297,0.9305856823921204,0.025318431667983532
sylvine,CatBoost,4611,513,0.08810967157216508,,0.019559206441044807,0.021239351481199265,0.9376218318939209,0.027631056495010853
sylvine,ExtraTrees,4611,513,0.09104529188534112,,0.021178636699914932,0.039319418370723724,0.9376218318939209,0.027390352450311184
sylvine,LightGBM,4611,513,0.08665440932915543,,0.014967314898967743,0.022286146879196167,0.9376218318939209,0.028704551048576832
sylvine,LinearModel,4611,513,0.1548489009200335,,0.01831718720495701,0.030756939202547073,0.892787516117096,0.033121523447334766
sylvine,NeuralNetFastAI,4611,513,0.0972014119079573,,0.01896335370838642,0.026360711082816124,0.9337232112884521,0.033239626325666904
sylvine,NeuralNetTorch,4611,513,0.10048265985128361,,0.01884901523590088,0.03323649615049362,0.9317739009857178,0.028545903973281384
sylvine,RandomForest,4611,513,0.10963233904916435,,0.013622269034385681,0.03301466256380081,0.9259259104728699,0.03070696536451578
sylvine,XGBoost,4611,513,0.08852678668696647,,0.015887867659330368,0.03093784675002098,0.9356725215911865,0.032121000811457634
tokyo1,CatBoost,863,96,0.07918769317388187,,0.025128204375505447,0.0662849023938179,0.9166666865348816,0.006336325779557228
tokyo1,ExtraTrees,863,96,0.07833327208250603,,0.02068387158215046,0.07512165606021881,0.9375,0.007046988233923912
tokyo1,LightGBM,863,96,0.10042750558862458,,0.028466597199440002,0.07765787839889526,0.90625,0.006439058110117912
tokyo1,LinearModel,863,96,0.12914848225656422,,0.03708823770284653,0.10108409821987152,0.90625,0.006056144833564758
tokyo1,NeuralNetFastAI,863,96,0.08774835453159509,,0.016535352915525436,0.05827455222606659,0.9270833134651184,0.00708872452378273
tokyo1,NeuralNetTorch,863,96,0.07061659628748829,,0.021277878433465958,0.04740609973669052,0.9583333134651184,0.006343626417219639
tokyo1,RandomForest,863,96,0.08050978644492768,,0.026966961100697517,0.07306323945522308,0.9270833134651184,0.006898769177496433
tokyo1,XGBoost,863,96,0.0973533699648637,,0.02870788797736168,0.07984775304794312,0.9166666865348816,0.005932924337685108
twonorm,CatBoost,6660,740,0.03222163471146666,,0.0060897269286215305,0.015144750475883484,0.9770269989967346,0.04377809725701809
twonorm,ExtraTrees,6660,740,0.05006214902927787,,0.03244064748287201,0.05522008612751961,0.9783783555030823,0.04038223624229431
twonorm,LightGBM,6660,740,0.033545271868553016,,0.007468430791050196,0.014474792405962944,0.9797297120094299,0.03913524001836777
twonorm,LinearModel,6660,740,0.029274857206507136,,0.008654190227389336,0.014044755138456821,0.9810810685157776,0.03985247574746609
twonorm,NeuralNetFastAI,6660,740,0.030614741702896506,,0.009463589638471603,0.011705148033797741,0.9783783555030823,0.03948332089930773
twonorm,NeuralNetTorch,6660,740,0.03169314632767557,,0.01350259780883789,0.024168483912944794,0.9810810685157776,0.038877056911587715
twonorm,RandomForest,6660,740,0.05070148285695407,,0.030011828988790512,0.056396808475255966,0.9783783555030823,0.0390238044783473
twonorm,XGBoost,6660,740,0.03520542373146076,,0.00729768630117178,0.011903672479093075,0.9770269989967346,0.0390194421634078
visualizing_soil,CatBoost,7776,865,2.9838981419150076e-06,,0.00016204410349018872,0.00016454975411761552,1.0,0.04554682970046997
visualizing_soil,ExtraTrees,7776,865,0.0009273102463958849,,0.0018626491073518991,0.0034654822666198015,1.0,0.04472958017140627
visualizing_soil,LightGBM,7776,865,4.490195218313701e-06,,0.0014023780822753906,0.0005756980972364545,1.0,0.04517802502959967
visualizing_soil,LinearModel,7776,865,0.0006550313755923758,,0.0006211259169504046,0.0012125244829803705,1.0,0.0446793083101511
visualizing_soil,NeuralNetFastAI,7776,865,0.005333304951400414,,0.005812393501400948,0.010886142030358315,1.0,0.04465568717569113
visualizing_soil,NeuralNetTorch,7776,865,0.0013031807624017961,,0.0029253950342535973,0.004838614724576473,1.0,0.0447529936209321
visualizing_soil,RandomForest,7776,865,0.00043653991755202427,,0.0012729896698147058,0.002350921742618084,1.0,0.04378275666385889
visualizing_soil,XGBoost,7776,865,9.508229462986116e-06,,0.0001754991099005565,0.00034027305082418025,1.0,0.044946624897420406
wilt,CatBoost,4355,484,0.031319142484972355,,0.007166460156440735,0.011647148057818413,0.9814049601554871,0.025146469473838806
wilt,ExtraTrees,4355,484,0.03262056166429836,,0.008650995790958405,0.013796146959066391,0.9772727489471436,0.025985137559473515
wilt,LightGBM,4355,484,0.03044945336188132,,0.004189246334135532,0.015020360238850117,0.9772727489471436,0.025965663604438305
wilt,LinearModel,4355,484,0.034063673476314976,,0.013758320361375809,0.020349152386188507,0.9731404781341553,0.02526494488120079
wilt,NeuralNetFastAI,4355,484,0.02209148973151475,,0.00778878852725029,0.014204784296452999,0.9834710955619812,0.025962420739233494
wilt,NeuralNetTorch,4355,484,0.02465468896520719,,0.005595100577920675,0.011291430331766605,0.9814049601554871,0.025302992202341557
