dataset,model,cal_size,test_size,Spline_brier,Spline_logloss,Spline_kuiper,Spline_ece-15,Spline_accuracy,Spline_time
delta_ailerons,NeuralNetFastAI,6416,713,0.10117001775223879,0.19807439155295617,0.009533202275633812,0.02693229541182518,0.9424964785575867,0.9026935994625092
delta_ailerons,NeuralNetTorch,6416,713,0.1002168580140533,0.19566963103629562,0.009791204705834389,0.020550865679979324,0.9453015327453613,1.1175038693472743
delta_ailerons,RandomForest,6416,713,0.09186051955736184,0.17834097203663568,0.008894926868379116,0.020118102431297302,0.9438990354537964,1.1349989296868443
delta_ailerons,XGBoost,6416,713,0.09131008139501903,0.18636203396486478,0.01033480279147625,0.03032880276441574,0.946704089641571,0.97448689956218
delta_elevators,CatBoost,8565,952,0.17648196118988502,0.2961719555032526,0.010862285271286964,0.016229193657636642,0.8855041861534119,1.0194975947961211
delta_elevators,ExtraTrees,8565,952,0.1798260746797295,0.2993653829601717,0.012998946011066437,0.030074933543801308,0.8802521228790283,0.8631457388401031
delta_elevators,LightGBM,8565,952,0.17476058414200005,0.29314570568704584,0.0127647016197443,0.03243107348680496,0.8897058963775635,1.034823746420443
delta_elevators,LinearModel,8565,952,0.17901263874956944,0.30606963293985545,0.013433943502604961,0.023708593100309372,0.8823529481887817,1.6153043424710631
delta_elevators,NeuralNetFastAI,8565,952,0.17739678585096744,0.2983943616537966,0.007790125906467438,0.017882920801639557,0.8802521228790283,1.4993886463344097
delta_elevators,NeuralNetTorch,8565,952,0.1762170539310321,0.29557048544377124,0.010520309209823608,0.023716699331998825,0.8823529481887817,1.1513975327834487
delta_elevators,RandomForest,8565,952,0.18333214198259126,0.3034838393684812,0.01530933566391468,0.03779278323054314,0.8718487620353699,1.2124046422541142
delta_elevators,XGBoost,8565,952,0.17642518131972879,0.2951532689870027,0.0089774951338768,0.022687358781695366,0.8834033608436584,1.0336772333830595
diabetes,CatBoost,691,77,0.2510881635344351,0.403082825986579,0.05508801341056824,0.12165424227714539,0.8311688303947449,0.23726690746843815
diabetes,ExtraTrees,691,77,0.23485906681800475,0.3724910397390244,0.03977274149656296,0.1055849939584732,0.8571428656578064,0.23920406959950924
diabetes,LightGBM,691,77,0.24465116691441377,0.39027752081235584,0.04013059288263321,0.09252750128507614,0.8311688303947449,0.21401455625891685
diabetes,LinearModel,691,77,0.22425121824531122,0.35834747611660034,0.05672328174114227,0.10985509306192398,0.8311688303947449,0.23155217617750168
diabetes,NeuralNetFastAI,691,77,0.24078083556556573,0.38779410224696836,0.0629405751824379,0.11519631743431091,0.8441558480262756,0.3858682429417968
diabetes,NeuralNetTorch,691,77,0.23730924327241787,0.3674883312917897,0.03505001217126846,0.12501263618469238,0.8311688303947449,0.29486168269068
diabetes,RandomForest,691,77,0.23702748464312193,0.3778832242636971,0.04164999723434448,0.07450312376022339,0.8181818127632141,0.3515935018658638
diabetes,XGBoost,691,77,0.26467022338507895,0.43609595933985396,0.040296223014593124,0.15470510721206665,0.8051947951316833,0.17943009920418262
dresses-sales,CatBoost,450,50,0.47387952939536376,0.6663446777813499,0.06797687709331512,0.11354930698871613,0.5799999833106995,0.11621922999620438
dresses-sales,ExtraTrees,450,50,0.4993395621192518,0.6934596732393433,0.0997094064950943,0.11907104402780533,0.5799999833106995,0.08935806155204773
dresses-sales,LightGBM,450,50,0.49005407685236974,0.6855004024164092,0.07473599165678024,0.10860922187566757,0.6000000238418579,0.10041392594575882
dresses-sales,LinearModel,450,50,0.47941258458726166,0.6758523983245819,0.08330275863409042,0.1563785970211029,0.6600000262260437,0.17131401598453522
dresses-sales,NeuralNetFastAI,450,50,0.4801818418242634,0.6763826484655614,0.09235575050115585,0.21096210181713104,0.6200000047683716,0.1091290581971407
