dataset,model,cal_size,test_size,Kernel_brier,Kernel_logloss,Kernel_kuiper,Kernel_ece-15,Kernel_accuracy,Kernel_time
philippine,LightGBM,5248,584,0.30157142877578735,0.45649227499961853,0.01802879199385643,0.03875771164894104,0.7773972749710083,0.1373636480420828
philippine,LinearModel,5248,584,0.3727412521839142,0.5556807518005371,0.01979561522603035,0.05946327745914459,0.7226027250289917,0.12320798262953758
philippine,NeuralNetFastAI,5248,584,0.3712858557701111,0.5474544763565063,0.03355695307254791,0.06822922825813293,0.7431507110595703,0.12485774513334036
philippine,NeuralNetTorch,5248,584,0.36510419845581055,0.5457150340080261,0.03120049647986889,0.05787859857082367,0.732876718044281,0.12049764767289162
philippine,RandomForest,5248,584,0.3213602304458618,0.48577880859375,0.01645180955529213,0.040134496986866,0.7619863152503967,0.1096497094258666
philippine,XGBoost,5248,584,0.2998814284801483,0.45649024844169617,0.02110949344933033,0.0525842159986496,0.7773972749710083,0.13564156461507082
phoneme,CatBoost,4863,541,0.13475114107131958,0.2202104777097702,0.01589195616543293,0.039505504071712494,0.9001848697662354,0.1608535721898079
phoneme,ExtraTrees,4863,541,0.12290063500404358,0.20002977550029755,0.011292461305856705,0.03244870528578758,0.9094269871711731,0.13176405429840088
phoneme,LightGBM,4863,541,0.13292914628982544,0.22098594903945923,0.011176753789186478,0.030611131340265274,0.9094269871711731,0.1607100972905755
phoneme,LinearModel,4863,541,0.32216620445251465,0.48310983180999756,0.02712765708565712,0.04157370701432228,0.7634010910987854,0.09364012349396944
phoneme,NeuralNetFastAI,4863,541,0.15671619772911072,0.2551896274089813,0.014670846052467823,0.03506244719028473,0.8853974342346191,0.15401881374418736
phoneme,NeuralNetTorch,4863,541,0.13934917747974396,0.2367364466190338,0.016268640756607056,0.047120433300733566,0.9112753868103027,0.1603838922455907
phoneme,RandomForest,4863,541,0.13178715109825134,0.21790802478790283,0.013494089245796204,0.03666112944483757,0.905730128288269,0.1444206004962325
phoneme,XGBoost,4863,541,0.13098914921283722,0.21818362176418304,0.013499466702342033,0.0498630627989769,0.9094269871711731,0.15143890213221312
pm10,CatBoost,450,50,0.4611102342605591,0.6540493965148926,0.11344769597053528,0.12938275933265686,0.7400000095367432,0.0016771331429481506
pm10,ExtraTrees,450,50,0.468923419713974,0.6618491411209106,0.09523403644561768,0.12151660770177841,0.699999988079071,0.0015445854514837265
pm10,LightGBM,450,50,0.45961254835128784,0.6525982022285461,0.09890662133693695,0.19261132180690765,0.699999988079071,0.0015065670013427734
pm10,LinearModel,450,50,0.49921467900276184,0.6923617720603943,0.07815208286046982,0.011537671089172363,0.5199999809265137,0.001418953761458397
pm10,NeuralNetFastAI,450,50,0.4957123100757599,0.6886962652206421,0.04781407117843628,0.04804183170199394,0.5199999809265137,0.0014989562332630157
pm10,NeuralNetTorch,450,50,0.4903889000415802,0.6829636096954346,0.07463997602462769,0.09756654500961304,0.47999998927116394,0.0015553012490272522
pm10,RandomForest,450,50,0.45108169317245483,0.6444926261901855,0.10166119039058685,0.1893368661403656,0.7200000286102295,0.0013168761506676674
pm10,XGBoost,450,50,0.46817219257354736,0.6611639261245728,0.10174933820962906,0.07384105026721954,0.699999988079071,0.001325272023677826
pollen,CatBoost,3463,385,0.4999554455280304,0.6931026577949524,0.03510440140962601,0.001280754804611206,0.5090909004211426,0.04729332681745291
pollen,ExtraTrees,3463,385,0.5004006624221802,0.6935530304908752,0.03654197230935097,0.0018592745764181018,0.4935064911842346,0.045602383092045784
pollen,LightGBM,3463,385,0.500060498714447,0.6932076811790466,0.036361321806907654,0.0036136209964752197,0.5064935088157654,0.04699717368930578
pollen,LinearModel,3463,385,0.49999144673347473,0.6931385397911072,0.028503023087978363,0.0017727315425872803,0.4987013041973114,0.047326771542429924
pollen,NeuralNetFastAI,3463,385,0.49987560510635376,0.6930227875709534,0.037445053458213806,0.0020706355571746826,0.5376623272895813,0.04578310810029507
pollen,NeuralNetTorch,3463,385,0.4999314248561859,0.6930786967277527,0.01912548765540123,0.0015703141689300537,0.5090909004211426,0.047276269644498825
pollen,RandomForest,3463,385,0.5000247359275818,0.6931719183921814,0.026570625603199005,0.004113107919692993,0.5038961172103882,0.047273822128772736
pollen,XGBoost,3463,385,0.5000261068344116,0.693173348903656,0.028709348291158676,0.001102834939956665,0.4571428596973419,0.047328569926321507
puma32H,CatBoost,7372,820,0.13068942725658417,0.20696406066417694,0.012394869700074196,0.02221888303756714,0.9085366129875183,0.4283503917977214
puma32H,ExtraTrees,7372,820,0.14247383177280426,0.2198505699634552,0.011296698823571205,0.0243107657879591,0.8951219320297241,0.38135348353534937
puma32H,LightGBM,7372,820,0.1424982100725174,0.222404345870018,0.007579147815704346,0.017770614475011826,0.8890243768692017,0.41369230952113867
puma32H,LinearModel,7372,820,0.4639967083930969,0.6566924452781677,0.02428935468196869,0.042755186557769775,0.6390243768692017,0.23897839151322842
puma32H,NeuralNetFastAI,7372,820,0.10482609272003174,0.17277947068214417,0.010403964668512344,0.02334700897336006,0.9280487895011902,0.42197463661432266
puma32H,NeuralNetTorch,7372,820,0.10897979885339737,0.18162958323955536,0.014049584977328777,0.02676786482334137,0.9219512343406677,0.41096816305071115
puma32H,RandomForest,7372,820,0.1509634256362915,0.23730702698230743,0.01415309589356184,0.04075951874256134,0.8865853548049927,0.398176402784884
puma32H,XGBoost,7372,820,0.14154762029647827,0.22546055912971497,0.010691625997424126,0.01881176419556141,0.8975609540939331,0.40471356455236673
puma8NH,CatBoost,7372,820,0.22950325906276703,0.362734317779541,0.017750917002558708,0.03303463011980057,0.8402438759803772,0.3047767039388418
puma8NH,ExtraTrees,7372,820,0.22586756944656372,0.3570438027381897,0.0157700777053833,0.038018688559532166,0.8426828980445862,0.302850560285151
puma8NH,LightGBM,7372,820,0.23074139654636383,0.3664326071739197,0.01535224262624979,0.036698393523693085,0.8414633870124817,0.30507816560566425
puma8NH,LinearModel,7372,820,0.24734441936016083,0.3908573389053345,0.018720164895057678,0.04157312214374542,0.8256097435951233,0.24084561225026846
puma8NH,NeuralNetFastAI,7372,820,0.22634871304035187,0.35752928256988525,0.017507728189229965,0.05757276341319084,0.8439024686813354,0.31849955953657627
puma8NH,NeuralNetTorch,7372,820,0.22459538280963898,0.35293349623680115,0.016383633017539978,0.049450427293777466,0.8414633870124817,0.30723157711327076
puma8NH,RandomForest,7372,820,0.22589074075222015,0.35826796293258667,0.016954485327005386,0.02657846175134182,0.8426828980445862,0.3133005788549781
puma8NH,XGBoost,7372,820,0.22888362407684326,0.36479446291923523,0.02244272083044052,0.035412661731243134,0.8439024686813354,0.28566086385399103
qsar-biodeg,CatBoost,949,106,0.17731164395809174,0.29255568981170654,0.02837902307510376,0.06626755744218826,0.8962264060974121,0.0049230121076107025
qsar-biodeg,ExtraTrees,949,106,0.18041636049747467,0.2927773594856262,0.031634602695703506,0.08497839421033859,0.8773584961891174,0.00471212062984705
qsar-biodeg,LightGBM,949,106,0.16749323904514313,0.2793808579444885,0.022122099995613098,0.08390752226114273,0.8962264060974121,0.004564655013382435
qsar-biodeg,LinearModel,949,106,0.18370074033737183,0.29675108194351196,0.037371791899204254,0.10038961470127106,0.8679245114326477,0.005045260302722454
qsar-biodeg,NeuralNetFastAI,949,106,0.1704167276620865,0.27059775590896606,0.03269604220986366,0.09834186732769012,0.8773584961891174,0.004710053093731403
qsar-biodeg,NeuralNetTorch,949,106,0.17993423342704773,0.2945673167705536,0.031163712963461876,0.0530928410589695,0.8773584961891174,0.004388733766973019
qsar-biodeg,RandomForest,949,106,0.16757947206497192,0.27631866931915283,0.02625167742371559,0.06393340229988098,0.8773584961891174,0.0043648285791277885
