dataset,model,cal_size,test_size,CB-monotone_brier,CB-monotone_logloss,CB-monotone_kuiper,CB-monotone_ece-15,CB-monotone_accuracy,CB-monotone_time
OVA_Colon,LinearModel,1390,155,0.06826229984295464,0.15931236140777913,0.014671128243207932,0.03060554899275303,0.9677419066429138,0.18367604166269302
OVA_Colon,NeuralNetFastAI,1390,155,0.08350074401030858,0.18306331874974907,0.02482290379703045,0.04200363904237747,0.9612902998924255,0.19077486172318459
OVA_Colon,NeuralNetTorch,1390,155,0.08267325430465815,0.1783290458015932,0.02578953467309475,0.048542268574237823,0.9548386931419373,0.18947474658489227
OVA_Colon,RandomForest,1390,155,0.0850358063990664,0.1684749621778948,0.016840487718582153,0.03642970323562622,0.948387086391449,0.18799792788922787
OVA_Colon,XGBoost,1390,155,0.07011842706119151,0.16192337337885435,0.015415412373840809,0.028230618685483932,0.9612902998924255,0.1870532389730215
OVA_Endometrium,CatBoost,1390,155,0.05435127968901152,0.10144765506728017,0.01954284869134426,0.021432975307106972,0.9741935729980469,0.18608128279447556
OVA_Endometrium,ExtraTrees,1390,155,0.05820382839210971,0.10758468999642479,0.021880436688661575,0.03469972684979439,0.9612902998924255,0.1841113679111004
OVA_Endometrium,LightGBM,1390,155,0.04574166201930992,0.08826079872574577,0.017530344426631927,0.03044874221086502,0.9612902998924255,0.18580555357038975
OVA_Endometrium,LinearModel,1390,155,0.03883605984977083,0.07084115784462618,0.013804168440401554,0.024904491379857063,0.9741935729980469,0.18822561390697956
OVA_Endometrium,NeuralNetFastAI,1390,155,0.04654839511708517,0.08842131858954866,0.0158064067363739,0.024971364066004753,0.9677419066429138,0.18805160373449326
OVA_Endometrium,NeuralNetTorch,1390,155,0.04394863545984681,0.086547828943113,0.016872135922312737,0.025609059259295464,0.9741935729980469,0.18761887028813362
OVA_Endometrium,RandomForest,1390,155,0.054457412679142767,0.1106462246311267,0.022493258118629456,0.031478527933359146,0.9677419066429138,0.18639792874455452
OVA_Endometrium,XGBoost,1390,155,0.04967413718035741,0.09499455102290418,0.02075459063053131,0.03400101885199547,0.9677419066429138,0.18873680755496025
OVA_Kidney,CatBoost,1390,155,0.01461482234514622,0.04865938047837235,0.01880829595029354,0.018015731126070023,0.9935483932495117,0.187267130240798
OVA_Kidney,ExtraTrees,1390,155,0.015515659365935653,0.050029120426790884,0.01921485923230648,0.02155226282775402,0.9935483932495117,0.18902338854968548
OVA_Kidney,LightGBM,1390,155,0.01480428848925559,0.04884012023450413,0.01913212426006794,0.020524166524410248,0.9935483932495117,0.19082904607057571
OVA_Kidney,LinearModel,1390,155,0.014692654477918178,0.03810683464730428,0.010768401436507702,0.012084141373634338,0.9935483932495117,0.18945784866809845
OVA_Kidney,NeuralNetFastAI,1390,155,0.0201551615278284,0.055462038165914954,0.024521734565496445,0.0379716120660305,0.9935483932495117,0.18578487262129784
OVA_Kidney,NeuralNetTorch,1390,155,0.016741728067785976,0.055443553000212836,0.02515559457242489,0.02707866206765175,0.9935483932495117,0.18839805386960506
OVA_Kidney,RandomForest,1390,155,0.015290105643008903,0.050142280312950496,0.020763278007507324,0.020221248269081116,0.9935483932495117,0.18853283114731312
OVA_Kidney,XGBoost,1390,155,0.016441093627035063,0.05492713823429801,0.021715421229600906,0.024885687977075577,0.9935483932495117,0.19188034534454346
OVA_Lung,CatBoost,1390,155,0.015555834065963158,0.05471479959205897,0.01819264516234398,0.015263346955180168,0.9935483932495117,0.1868649758398533
OVA_Lung,ExtraTrees,1390,155,0.025354787318283563,0.06770103741096896,0.016315102577209473,0.020266298204660416,0.9806451797485352,0.18864606693387032
OVA_Lung,LightGBM,1390,155,0.019017250365436025,0.06063128017717904,0.021659547463059425,0.01900915615260601,0.9935483932495117,0.1865177769213915
OVA_Lung,LinearModel,1390,155,0.032717433802847994,0.07336161126942795,0.018645117059350014,0.016893353313207626,0.9806451797485352,0.19034004397690296
OVA_Lung,NeuralNetFastAI,1390,155,0.03477761164288853,0.07611832542720985,0.019489236176013947,0.025503553450107574,0.9806451797485352,0.18894493207335472
OVA_Lung,NeuralNetTorch,1390,155,0.026797566599016144,0.07188514790491995,0.02748384326696396,0.025732891634106636,0.9870967864990234,0.1888560950756073
OVA_Lung,RandomForest,1390,155,0.036967332437504344,0.09144550106644773,0.019951695576310158,0.017955517396330833,0.9806451797485352,0.19048413075506687
OVA_Lung,XGBoost,1390,155,0.01556723871186077,0.053308960888830303,0.018241049721837044,0.017155887559056282,0.9935483932495117,0.18717899173498154
OVA_Ovary,CatBoost,1390,155,0.10677537043290114,0.1800223148366213,0.024358132854104042,0.055731549859046936,0.9290322661399841,0.18980019725859165
OVA_Ovary,ExtraTrees,1390,155,0.11885982018120256,0.19009155828051644,0.03287321701645851,0.06905888766050339,0.9161290526390076,0.18361718021333218
OVA_Ovary,LightGBM,1390,155,0.09676771994033917,0.16130538587662138,0.021343637257814407,0.06077476218342781,0.9354838728904724,0.18230297416448593
OVA_Ovary,LinearModel,1390,155,0.1085938707083216,0.17848471649630576,0.02083621919155121,0.060163628309965134,0.9290322661399841,0.18628882430493832
OVA_Ovary,NeuralNetFastAI,1390,155,0.10645603961588636,0.1700936321872575,0.02724049985408783,0.06958286464214325,0.9225806593894958,0.18102852627635002
OVA_Ovary,NeuralNetTorch,1390,155,0.09560060419553686,0.15429952114067697,0.02746753953397274,0.0590147003531456,0.9354838728904724,0.18066925182938576
OVA_Ovary,RandomForest,1390,155,0.11904019818409857,0.18396356136861158,0.03541039675474167,0.08109723031520844,0.9225806593894958,0.17305963113904
OVA_Ovary,XGBoost,1390,155,0.09818875748937429,0.17397864439960578,0.02468932792544365,0.054301150143146515,0.9419354796409607,0.1867834199219942
OVA_Prostate,CatBoost,1390,155,0.013431327348128,0.04238806500388546,0.020698636770248413,0.022369859740138054,0.9935483932495117,0.18704695254564285
OVA_Prostate,ExtraTrees,1390,155,0.013506127834175742,0.042075032008807814,0.015326358377933502,0.017460055649280548,0.9935483932495117,0.18384528532624245
OVA_Prostate,LightGBM,1390,155,0.013282468528648481,0.0427632633599399,0.019656315445899963,0.0217856764793396,0.9935483932495117,0.19098417460918427
OVA_Prostate,LinearModel,1390,155,0.024744478823215767,0.06392039296166366,0.025205953046679497,0.02505507506430149,0.9870967864990234,0.18968914449214935
