dataset,model,cal_size,test_size,Hist-uniform_brier,Hist-uniform_logloss,Hist-uniform_kuiper,Hist-uniform_ece-15,Hist-uniform_accuracy,Hist-uniform_time
houses,LinearModel,18576,2064,0.047209244233871135,0.09445218535394194,0.010492708534002304,0.009227943606674671,0.9685077667236328,0.0009362474083900452
houses,NeuralNetFastAI,18576,2064,0.01897524465187783,0.0337608904656102,0.005144646856933832,0.007156974636018276,0.9864341020584106,0.0009368248283863068
houses,NeuralNetTorch,18576,2064,0.018954872095559756,0.03390607916490495,0.004700854420661926,0.0053122867830097675,0.9864341020584106,0.000983644276857376
houses,RandomForest,18576,2064,0.019439910660890455,0.035277867334983455,0.004069328308105469,0.0041055828332901,0.9883720874786377,0.0009430069476366043
houses,XGBoost,18576,2064,0.018702562669222097,0.035404128610699886,0.0045838854275643826,0.006665883120149374,0.9864341020584106,0.0009365454316139221
ilpd,CatBoost,524,59,0.3660087934809136,0.5325566339002948,0.06158772110939026,0.0336926206946373,0.7118644118309021,0.00025611743330955505
ilpd,ExtraTrees,524,59,0.35644736922130554,0.512237094489972,0.10068531334400177,0.0713859274983406,0.7627118825912476,0.00024407170712947845
ilpd,LightGBM,524,59,0.3718193064572956,0.535680283231809,0.06734027713537216,0.12456215918064117,0.7288135886192322,0.00024492479860782623
ilpd,LinearModel,524,59,0.3736153996186821,0.5277151139816056,0.09831176698207855,0.14775221049785614,0.6779661178588867,0.00024026446044445038
ilpd,NeuralNetFastAI,524,59,0.3543475523014621,0.49906416672370857,0.07472838461399078,0.1238405779004097,0.694915235042572,0.00024339184165000916
ilpd,NeuralNetTorch,524,59,0.37821286623642414,0.5535632747114194,0.09795697033405304,0.16870920360088348,0.6101694703102112,0.00025739148259162903
ilpd,RandomForest,524,59,0.3787895625428109,0.5450881605538367,0.06754054129123688,0.1060563400387764,0.694915235042572,0.00022599101066589355
ilpd,XGBoost,524,59,0.35855552031357896,0.5099265187249494,0.06626307219266891,0.049576032906770706,0.6779661178588867,0.00023326463997364044
jasmine,CatBoost,2685,299,0.26831551045569474,0.4193917674644164,0.02880960702896118,0.06963510811328888,0.8060200810432434,0.00036949291825294495
jasmine,ExtraTrees,2685,299,0.2728926312886743,0.41603457671135724,0.03554908186197281,0.03199700638651848,0.8160535097122192,0.00033101998269557953
jasmine,LightGBM,2685,299,0.2668589175152616,0.417353084134316,0.039643432945013046,0.05357189476490021,0.8127090334892273,0.00033278949558734894
jasmine,LinearModel,2685,299,0.2890573210403013,0.4465773065156499,0.027887849137187004,0.030675223097205162,0.7993311285972595,0.0003599580377340317
jasmine,NeuralNetFastAI,2685,299,0.2832014287744548,0.43125838313404363,0.03159486502408981,0.038604386150836945,0.8026756048202515,0.0003628656268119812
