dataset,model,cal_size,test_size,ETS_brier,ETS_logloss,ETS_kuiper,ETS_ece-15,ETS_accuracy,ETS_time
Internet-Advertisements,LightGBM,2951,328,0.04797012119938679,0.09890078058695952,0.021455764770507812,0.020958619192242622,0.9695122241973877,0.02096966200042516
Internet-Advertisements,LinearModel,2951,328,0.062374243534740414,0.12826946288348948,0.01268890593200922,0.030257077887654305,0.9603658318519592,0.01734187302645296
Internet-Advertisements,NeuralNetFastAI,2951,328,0.05298197987145092,0.10701481424096636,0.01259555108845234,0.02618570253252983,0.9603658318519592,0.012281290022656322
Internet-Advertisements,NeuralNetTorch,2951,328,0.05283366179764568,0.11348225355531165,0.011379733681678772,0.028830328956246376,0.9664633870124817,0.009114822023548186
Internet-Advertisements,RandomForest,2951,328,0.03867532014582066,0.08259782458217765,0.017142534255981445,0.01894734986126423,0.9725610017776489,0.01769468397833407
Internet-Advertisements,XGBoost,2951,328,0.05066703834973059,0.10367677335072886,0.014791499823331833,0.018187908455729485,0.9695122241973877,0.009673758060671389
OVA_Colon,CatBoost,1390,155,0.07515343124340683,0.17216503252866758,0.02361372858285904,0.03430568426847458,0.9612902998924255,0.0062921009957790375
OVA_Colon,ExtraTrees,1390,155,0.07020041712312701,0.15486304817215385,0.024851161986589432,0.03530516102910042,0.9612902998924255,0.009387228055857122
OVA_Colon,LightGBM,1390,155,0.06646416450382962,0.15116434276158341,0.023130159825086594,0.028290387243032455,0.9677419066429138,0.006069150986149907
OVA_Colon,LinearModel,1390,155,0.06622965957812878,0.16552986650795853,0.012407392263412476,0.026477035135030746,0.9677419066429138,0.017405812977813184
OVA_Colon,NeuralNetFastAI,1390,155,0.07439712776766644,0.18755719616151673,0.015997037291526794,0.03526206314563751,0.9612902998924255,0.00674913905095309
OVA_Colon,NeuralNetTorch,1390,155,0.07118760912768748,0.16150718856016036,0.021968312561511993,0.03734782338142395,0.9677419066429138,0.006956930039450526
OVA_Colon,RandomForest,1390,155,0.08096768826186229,0.18087461414941952,0.021364867687225342,0.03858150914311409,0.948387086391449,0.01207377400714904
OVA_Colon,XGBoost,1390,155,0.07282837742672323,0.1675949485697586,0.020836686715483665,0.03550205007195473,0.9612902998924255,0.006302402005530894
OVA_Endometrium,CatBoost,1390,155,0.05995545096789789,0.11825404542341532,0.02585691213607788,0.0307962317019701,0.9612902998924255,0.008550510043278337
OVA_Endometrium,ExtraTrees,1390,155,0.05958012134224739,0.11190030154352562,0.024670880287885666,0.03569170460104942,0.9612902998924255,0.005431814002804458
OVA_Endometrium,LightGBM,1390,155,0.054964037171258084,0.1099457156125367,0.025992102921009064,0.04461953043937683,0.9612902998924255,0.006949092028662562
OVA_Endometrium,LinearModel,1390,155,0.040663960790939195,0.0746855492286878,0.015466290526092052,0.02268141321837902,0.9677419066429138,0.007049719104543328
OVA_Endometrium,NeuralNetFastAI,1390,155,0.04411034542219497,0.0819794893993329,0.010780547745525837,0.02203192375600338,0.9677419066429138,0.006780344061553478
OVA_Endometrium,NeuralNetTorch,1390,155,0.04512508674798288,0.08850022936797189,0.015506153926253319,0.026228372007608414,0.9677419066429138,0.006423839018680155
OVA_Endometrium,RandomForest,1390,155,0.060911669450207866,0.11720914731530811,0.02320500835776329,0.0469709075987339,0.9612902998924255,0.004822278977371752
OVA_Endometrium,XGBoost,1390,155,0.05509561227965063,0.11071529808426737,0.023791145533323288,0.0367325022816658,0.9612902998924255,0.006513627013191581
OVA_Kidney,CatBoost,1390,155,0.01378138106060955,0.04228722648376146,0.007894158363342285,0.012944321148097515,0.9935483932495117,0.007977236993610859
OVA_Kidney,ExtraTrees,1390,155,0.01644938058185202,0.05619157298508283,0.00813535787165165,0.01648302935063839,0.9935483932495117,0.012704688007943332
