dataset,model,cal_size,test_size,Isotonic_brier,Isotonic_logloss,Isotonic_kuiper,Isotonic_ece-15,Isotonic_accuracy,Isotonic_time
Titanic,NeuralNetFastAI,1980,221,0.25104401363115353,0.40511164064943433,0.06309901922941208,0.043875712901353836,0.8325791954994202,0.006894636899232864
Titanic,NeuralNetTorch,1980,221,0.2523073558378009,0.4056835442228369,0.06564806401729584,0.0524693988263607,0.8325791954994202,0.006974022835493088
Titanic,RandomForest,1980,221,0.25470792007019216,0.410517994178626,0.0709344670176506,0.051737233996391296,0.8280543088912964,0.006913729012012482
Titanic,XGBoost,1980,221,0.2521921498025627,0.4047641712609048,0.06490109115839005,0.04461042955517769,0.8325791954994202,0.006886027753353119
ada,CatBoost,3732,415,0.16925861108477827,0.26569208156899915,0.012214182876050472,0.02176784537732601,0.8819277286529541,0.008568786084651947
ada,ExtraTrees,3732,415,0.1961261414761066,0.3082740469975583,0.017241381108760834,0.028708845376968384,0.8602409362792969,0.008420512080192566
ada,LightGBM,3732,415,0.1716490604919564,0.2715993337829612,0.016469569876790047,0.03320416808128357,0.87469881772995,0.008335500955581665
ada,LinearModel,3732,415,0.19963996914090107,0.3145882343787921,0.014885231852531433,0.025680584833025932,0.8650602698326111,0.00840160995721817
ada,NeuralNetFastAI,3732,415,0.1860415099585376,0.2983656191993074,0.013820033520460129,0.039834000170230865,0.8722891807556152,0.008097227662801743
ada,NeuralNetTorch,3732,415,0.18349541004574837,0.2872030226017333,0.01435108669102192,0.025551021099090576,0.87469881772995,0.008479807525873184
ada,RandomForest,3732,415,0.17938674701699786,0.2843828144209451,0.012587979435920715,0.027601027861237526,0.87469881772995,0.008257921785116196
ada,XGBoost,3732,415,0.1724399083646618,0.27308782400298626,0.013018816709518433,0.026013819500803947,0.87469881772995,0.0082554891705513
adult,CatBoost,43957,4885,0.17156850791392794,0.2872161780153633,0.00838545337319374,0.012498389929533005,0.8777891397476196,0.04093098267912865
adult,ExtraTrees,43957,4885,0.1903113596821516,0.30012277748600563,0.006843601819127798,0.016666008159518242,0.8593654036521912,0.03983038291335106
adult,LightGBM,43957,4885,0.17134686162095905,0.28553448535232223,0.007680885493755341,0.010333072394132614,0.8769702911376953,0.040090467780828476
adult,LinearModel,43957,4885,0.20296831158370035,0.3332538062484293,0.007965609431266785,0.011507963761687279,0.8526100516319275,0.03960303217172623
adult,NeuralNetFastAI,43957,4885,0.18996269619725747,0.331674042704285,0.007719431072473526,0.008252957835793495,0.8640736937522888,0.04038858041167259
adult,NeuralNetTorch,43957,4885,0.19163170203099977,0.3167680105909446,0.00857530813664198,0.00869667436927557,0.8626407384872437,0.03997461497783661
adult,RandomForest,43957,4885,0.18719384624325627,0.2943457700976195,0.007640494033694267,0.011998862028121948,0.8630501627922058,0.03996961936354637
adult,XGBoost,43957,4885,0.1701972312639135,0.2838490533396323,0.007046092301607132,0.013042665086686611,0.8773797154426575,0.0398290678858757
ailerons,CatBoost,12375,1375,0.1585540661126321,0.2605762403546515,0.009269360452890396,0.02547374553978443,0.8916363716125488,0.014451388269662857
ailerons,ExtraTrees,12375,1375,0.1677418963609963,0.4501650060980904,0.009194158017635345,0.018518926575779915,0.8807272911071777,0.014133244752883911
ailerons,LightGBM,12375,1375,0.15860380266092663,0.2619001181219024,0.009980589151382446,0.021702343598008156,0.8923636078834534,0.014038272202014923
ailerons,LinearModel,12375,1375,0.16951960987219492,0.2786775212071975,0.01039334200322628,0.024456340819597244,0.8821818232536316,0.014213655143976212
