dataset,model,cal_size,test_size,LightGBM_brier,LightGBM_logloss,LightGBM_kuiper,LightGBM_ece-15,LightGBM_accuracy,LightGBM_time
Click_prediction_small,XGBoost,35953,3995,0.2576511905761469,0.4170123088573972,0.00738728791475296,0.012679312378168106,0.8362953662872314,0.6570392306894064
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,CatBoost,1440,160,0.42611294921528187,0.6180940909253239,0.1009698212146759,0.1409536600112915,0.731249988079071,0.05388573184609413
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,ExtraTrees,1440,160,0.4993891413159382,0.6925433087171315,0.06708137691020966,0.025806356221437454,0.518750011920929,0.0373504813760519
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LightGBM,1440,160,0.5143213325826462,0.707500998325479,0.09586212038993835,0.05690070241689682,0.36250001192092896,0.04005978815257549
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LinearModel,1440,160,0.5035440188618177,0.6966915847751163,0.07141777873039246,0.0046196081675589085,0.4375,0.043123011477291584
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetFastAI,1440,160,0.49992360834436333,0.6930622322507538,0.06645403802394867,0.03304275497794151,0.4749999940395355,0.04497568402439356
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetTorch,1440,160,0.5015650191382115,0.694711357749263,0.053531333804130554,0.006632569711655378,0.48124998807907104,0.03856831602752209
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,RandomForest,1440,160,0.5020098527742934,0.6951589669612733,0.10132171213626862,0.010558608919382095,0.45625001192092896,0.03446361422538757
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,XGBoost,1440,160,0.4990975703325976,0.6922417412677042,0.03238210082054138,0.003296764101833105,0.53125,0.03745325468480587
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,CatBoost,1440,160,0.414393924785021,0.6041431369939997,0.04665672779083252,0.06021862104535103,0.699999988079071,0.050945088267326355
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,ExtraTrees,1440,160,0.46670394794381853,0.6594428402923567,0.06516453623771667,0.10794766992330551,0.6312500238418579,0.0428650202229619
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LightGBM,1440,160,0.44826833627918206,0.6397388670633382,0.05314724147319794,0.09401366114616394,0.6625000238418579,0.05184370093047619
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LinearModel,1440,160,0.4975319453690027,0.6906710324773848,0.0389607809484005,0.011977174319326878,0.53125,0.04661486763507128
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetFastAI,1440,160,0.4150085868187051,0.6046406159415522,0.047183096408843994,0.07556791603565216,0.699999988079071,0.049887245520949364
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetTorch,1440,160,0.4114869822770828,0.6017821948799967,0.07198354601860046,0.07713628560304642,0.731249988079071,0.04775191564112902
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,RandomForest,1440,160,0.4845054428633473,0.6774561991324429,0.04079052805900574,0.03045753948390484,0.5874999761581421,0.0431317500770092
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,XGBoost,1440,160,0.4441402698314258,0.6351234044456527,0.052457042038440704,0.08238862454891205,0.643750011920929,0.05143945664167404
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,CatBoost,1440,160,0.294725655315742,0.4519777737105639,0.03724602609872818,0.08619698137044907,0.793749988079071,0.06033746711909771
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,ExtraTrees,1440,160,0.3922891410375053,0.5757333615828538,0.03845211863517761,0.04662724584341049,0.699999988079071,0.05219180416315794
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,LightGBM,1440,160,0.3081815107255669,0.4644539392583608,0.020968731492757797,0.06322377175092697,0.768750011920929,0.060211025178432465
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,LinearModel,1440,160,0.5052090656996079,0.6983934348947873,0.04189779609441757,0.04954510182142258,0.5,0.04225786682218313
