dataset,model,cal_size,test_size,TS_brier,TS_logloss,TS_kuiper,TS_ece-15,TS_accuracy,TS_time
dresses-sales,XGBoost,450,50,0.49928203225135803,0.6960746645927429,0.06850691884756088,0.10528077185153961,0.6000000238418579,0.00368666707072407
eeg-eye-state,CatBoost,13482,1498,0.061647769063711166,0.10654783248901367,0.012374203652143478,0.014731642790138721,0.9586114883422852,0.03947997104842216
eeg-eye-state,ExtraTrees,13482,1498,0.08481798321008682,0.1408642679452896,0.025371601805090904,0.02761043608188629,0.9419225454330444,0.037890346022322774
eeg-eye-state,LightGBM,13482,1498,0.068538598716259,0.11646044254302979,0.015977418050169945,0.016919970512390137,0.9552736878395081,0.03926750388927758
eeg-eye-state,LinearModel,13482,1498,0.44817405939102173,0.6385047435760498,0.020731881260871887,0.048115141689777374,0.6321762204170227,0.0380465550115332
eeg-eye-state,NeuralNetFastAI,13482,1498,0.2527870833873749,0.39912399649620056,0.04926179721951485,0.08407986164093018,0.8204272389411926,0.03818654897622764
eeg-eye-state,NeuralNetTorch,13482,1498,0.02601749263703823,0.04737529903650284,0.0030839804094284773,0.011314252391457558,0.9813084006309509,0.03890345094259828
eeg-eye-state,RandomForest,13482,1498,0.09711089730262756,0.16427884995937347,0.024124065414071083,0.023760195821523666,0.9345794320106506,0.038169726030901074
eeg-eye-state,XGBoost,13482,1498,0.0717623308300972,0.12180531769990921,0.014522606506943703,0.014585603959858418,0.9539386034011841,0.039050490013323724
electricity,CatBoost,40780,4532,0.08100812137126923,0.1399758905172348,0.004246475175023079,0.011544748209416866,0.9477052092552185,0.11045097804162651
electricity,ExtraTrees,40780,4532,0.13706174492835999,0.2267669439315796,0.0055561065673828125,0.013554409146308899,0.908428966999054,0.11230723396874964
electricity,LightGBM,40780,4532,0.08157975226640701,0.1429407000541687,0.006598643958568573,0.01368800550699234,0.9485878348350525,0.11032717500347644
electricity,LinearModel,40780,4532,0.32869434356689453,0.4945369362831116,0.006622813642024994,0.011666852980852127,0.7561782598495483,0.11175187292974442
electricity,NeuralNetFastAI,40780,4532,0.22019577026367188,0.34614670276641846,0.016100941225886345,0.02216559275984764,0.843777596950531,0.1101723329629749
electricity,NeuralNetTorch,40780,4532,0.18585844337940216,0.29915285110473633,0.019959671422839165,0.030834365636110306,0.8718005418777466,0.11129138700198382
electricity,RandomForest,40780,4532,0.10626737773418427,0.19894976913928986,0.008506657555699348,0.014471013098955154,0.9298322796821594,0.11334807402454317
electricity,XGBoost,40780,4532,0.07954868674278259,0.13958461582660675,0.005517102312296629,0.010803300887346268,0.948808491230011,0.10958863201085478
fri_c0_1000_5,CatBoost,900,100,0.12099143862724304,0.18941499292850494,0.0553051121532917,0.0957951545715332,0.9100000262260437,0.0052572430577129126
fri_c0_1000_5,ExtraTrees,900,100,0.14023566246032715,0.21608856320381165,0.04957596957683563,0.09666851162910461,0.8899999856948853,0.005366071010939777
fri_c0_1000_5,LightGBM,900,100,0.114947110414505,0.17817726731300354,0.035387542098760605,0.07370065152645111,0.9100000262260437,0.005155247985385358
fri_c0_1000_5,LinearModel,900,100,0.2083289474248886,0.3559873104095459,0.06707428395748138,0.1339370310306549,0.8899999856948853,0.004918042104691267
fri_c0_1000_5,NeuralNetFastAI,900,100,0.09841640293598175,0.15594634413719177,0.04228378087282181,0.0680607259273529,0.9399999976158142,0.005039626965299249
fri_c0_1000_5,NeuralNetTorch,900,100,0.09910310059785843,0.15210337936878204,0.028033394366502762,0.06922955065965652,0.9100000262260437,0.0049498549196869135
fri_c0_1000_5,RandomForest,900,100,0.12451109290122986,0.20996534824371338,0.044435933232307434,0.08048141747713089,0.9300000071525574,0.004890960990451276
fri_c0_1000_5,XGBoost,900,100,0.136137917637825,0.21359330415725708,0.03751619905233383,0.10375010967254639,0.8799999952316284,0.004953199997544289
fri_c0_500_5,CatBoost,450,50,0.20617710053920746,0.31280431151390076,0.08005283027887344,0.14372406899929047,0.8399999737739563,0.00401277793571353
fri_c0_500_5,ExtraTrees,450,50,0.25049418210983276,0.3889520764350891,0.09257431328296661,0.1283104121685028,0.800000011920929,0.004047621972858906
fri_c0_500_5,LightGBM,450,50,0.20273500680923462,0.3092062771320343,0.07586587965488434,0.1300809234380722,0.8600000143051147,0.003736087935976684
fri_c0_500_5,LinearModel,450,50,0.28182557225227356,0.4224015772342682,0.037201687693595886,0.13298453390598297,0.7799999713897705,0.004008461954072118
fri_c0_500_5,NeuralNetFastAI,450,50,0.20293869078159332,0.29537543654441833,0.08044373989105225,0.10564173012971878,0.8399999737739563,0.004013609024696052
fri_c0_500_5,NeuralNetTorch,450,50,0.2052968591451645,0.30233895778656006,0.07812757045030594,0.12452271580696106,0.8600000143051147,0.0038064339896664023
fri_c0_500_5,RandomForest,450,50,0.2664465308189392,0.39309683442115784,0.08837929368019104,0.15917378664016724,0.7799999713897705,0.004047496011480689
fri_c0_500_5,XGBoost,450,50,0.22544284164905548,0.3505854308605194,0.07755215466022491,0.11972817778587341,0.800000011920929,0.003726494964212179
fri_c1_1000_50,CatBoost,900,100,0.11942902207374573,0.20494751632213593,0.01568523421883583,0.07237546145915985,0.8999999761581421,0.004872018005698919
fri_c1_1000_50,ExtraTrees,900,100,0.11516854166984558,0.20337560772895813,0.022442374378442764,0.06506964564323425,0.9300000071525574,0.004877516068518162
fri_c1_1000_50,LightGBM,900,100,0.13824516534805298,0.21601718664169312,0.02926795557141304,0.08494710177183151,0.8700000047683716,0.005049505969509482
fri_c1_1000_50,LinearModel,900,100,0.4102245569229126,0.5966354608535767,0.04701044037938118,0.08437241613864899,0.6700000166893005,0.005287945969030261
fri_c1_1000_50,NeuralNetFastAI,900,100,0.14911223948001862,0.25982409715652466,0.05424441769719124,0.10168448835611343,0.8999999761581421,0.005295496084727347
fri_c1_1000_50,NeuralNetTorch,900,100,0.2298264056444168,0.3619087338447571,0.04906243830919266,0.10397042334079742,0.8399999737739563,0.005144124967046082
fri_c1_1000_50,RandomForest,900,100,0.1547105461359024,0.2665174603462219,0.029927346855401993,0.08455587923526764,0.9100000262260437,0.00517552497331053
fri_c1_1000_50,XGBoost,900,100,0.12303861975669861,0.20335710048675537,0.0293937586247921,0.07919257879257202,0.8999999761581421,0.004998089978471398
fri_c2_1000_25,CatBoost,900,100,0.12389251589775085,0.21254180371761322,0.02987745590507984,0.07988367229700089,0.9200000166893005,0.004948273999616504
fri_c2_1000_25,ExtraTrees,900,100,0.14660018682479858,0.2595517933368683,0.02611881121993065,0.07180000096559525,0.8799999952316284,0.004887563991360366
fri_c2_1000_25,LightGBM,900,100,0.14294975996017456,0.24688774347305298,0.028236862272024155,0.07294139266014099,0.8899999856948853,0.004860840039327741
