dataset,model,cal_size,test_size,CB-tiny_brier,CB-tiny_logloss,CB-tiny_kuiper,CB-tiny_ece-15,CB-tiny_accuracy,CB-tiny_time
autoUniv-au1-1000,XGBoost,900,100,0.3733416674051634,0.5573590333995349,0.06857436150312424,0.09496647119522095,0.7200000286102295,0.027195068076252937
bank-marketing,CatBoost,40689,4522,0.11760184894389956,0.18746126829534995,0.005398500710725784,0.008366073481738567,0.9157452583312988,0.28301643021404743
bank-marketing,ExtraTrees,40689,4522,0.12556981600887784,0.2003727810732915,0.0056468043476343155,0.010186291299760342,0.9082264304161072,0.27992185996845365
bank-marketing,LightGBM,40689,4522,0.11958453746718058,0.1901016534612373,0.005886114202439785,0.01012528408318758,0.9128704071044922,0.2796011748723686
bank-marketing,LinearModel,40689,4522,0.14190564434122166,0.22855703842634942,0.005619782954454422,0.009275051765143871,0.8998230695724487,0.2829409069381654
bank-marketing,NeuralNetFastAI,40689,4522,0.12091829345384056,0.19203191126094285,0.006247613579034805,0.009819804690778255,0.9113224148750305,0.2818642519414425
bank-marketing,NeuralNetTorch,40689,4522,0.12033455024162565,0.19111693707370112,0.007763676345348358,0.010364911518990993,0.9086687564849854,0.2797332708723843
bank-marketing,RandomForest,40689,4522,0.12561924741027478,0.1995361325799212,0.005184491164982319,0.010516686365008354,0.908889889717102,0.2789166960865259
bank-marketing,XGBoost,40689,4522,0.11932687722817037,0.19050506346065155,0.004969185218214989,0.005920270923525095,0.9104378819465637,0.27808696310967207
bank32nh,CatBoost,7372,820,0.26927939710357973,0.4150852397506578,0.02103947475552559,0.042073171585798264,0.7939024567604065,0.08736028708517551
bank32nh,ExtraTrees,7372,820,0.2717759796751858,0.4175553994567781,0.020590893924236298,0.03641960024833679,0.79756098985672,0.08912585210055113
bank32nh,LightGBM,7372,820,0.2712050416550641,0.42088985688581054,0.021303992718458176,0.03511062636971474,0.7963414788246155,0.08820960111916065
bank32nh,LinearModel,7372,820,0.2672112266314335,0.40780507521726056,0.022624019533395767,0.04151288419961929,0.8012195229530334,0.08795509999617934
bank32nh,NeuralNetFastAI,7372,820,0.2587284471850489,0.40125959612795176,0.019456245005130768,0.0350884348154068,0.8060975670814514,0.09080956503748894
bank32nh,NeuralNetTorch,7372,820,0.26392777660629124,0.4083127130697349,0.021687041968107224,0.03682341426610947,0.7963414788246155,0.08846315275877714
bank32nh,RandomForest,7372,820,0.28504754511437297,0.43825052807313947,0.023840541020035744,0.03650908172130585,0.7914634346961975,0.08503200113773346
bank32nh,XGBoost,7372,820,0.27318255929806756,0.4218320582301698,0.019828258082270622,0.03902723640203476,0.8012195229530334,0.0870201070792973
bank8FM,CatBoost,7372,820,0.07402448621518877,0.11844019023547891,0.007855798117816448,0.013502545654773712,0.9451219439506531,0.09346225671470165
bank8FM,ExtraTrees,7372,820,0.07881674157539131,0.12506867195969593,0.011119739152491093,0.017706386744976044,0.9487804770469666,0.08789599500596523
bank8FM,LightGBM,7372,820,0.07524399631041472,0.11829516395079806,0.009745743125677109,0.020325172692537308,0.9487804770469666,0.08759722113609314
bank8FM,LinearModel,7372,820,0.08211138354760039,0.13509143357834433,0.00822264514863491,0.01600826531648636,0.9439024329185486,0.09054807899519801
bank8FM,NeuralNetFastAI,7372,820,0.07758307629092528,0.11735682312934949,0.009466767311096191,0.024981653317809105,0.9487804770469666,0.08928278926759958
bank8FM,NeuralNetTorch,7372,820,0.08090238148761228,0.12382916216412188,0.011450368911027908,0.023120352998375893,0.9439024329185486,0.08723973715677857
bank8FM,RandomForest,7372,820,0.08053819267164876,0.13496461276132887,0.007985750213265419,0.01779336854815483,0.9390243887901306,0.08794287033379078
bank8FM,XGBoost,7372,820,0.07651065177763652,0.12791957756573966,0.010435787960886955,0.02203080616891384,0.9451219439506531,0.0897149438969791
blood-transfusion-service-center,CatBoost,673,75,0.3305735713987834,0.5049232405131093,0.05483682453632355,0.08383328467607498,0.7599999904632568,0.02693991595879197
blood-transfusion-service-center,ExtraTrees,673,75,0.33877788506707995,0.511848714986464,0.07592552900314331,0.08482725918292999,0.7599999904632568,0.0252096657641232
blood-transfusion-service-center,LightGBM,673,75,0.3302881995036619,0.49643925168263014,0.070798859000206,0.11816258728504181,0.7599999904632568,0.026797219179570675
blood-transfusion-service-center,LinearModel,673,75,0.3248036484515148,0.4827781743581042,0.07757623493671417,0.11686353385448456,0.746666669845581,0.02550836093723774
blood-transfusion-service-center,NeuralNetFastAI,673,75,0.3348949220211635,0.4996336097784595,0.07144495099782944,0.12113247811794281,0.746666669845581,0.027484057936817408
blood-transfusion-service-center,NeuralNetTorch,673,75,0.3118534849715185,0.46542514373941374,0.06295989453792572,0.09448736906051636,0.7599999904632568,0.026669081766158342
blood-transfusion-service-center,RandomForest,673,75,0.3337774486392622,0.5085068693873083,0.075662761926651,0.12651805579662323,0.7733333110809326,0.02609018189832568
blood-transfusion-service-center,XGBoost,673,75,0.3412235353911509,0.5174931061828709,0.05030507594347,0.07423069328069687,0.746666669845581,0.026429105084389448
boston_corrected,CatBoost,455,51,0.16426630718290827,0.2694790022922642,0.08134004473686218,0.08988185226917267,0.9019607901573181,0.02564196288585663
boston_corrected,ExtraTrees,455,51,0.15595462568225568,0.2564068562202192,0.08968360722064972,0.13197407126426697,0.8823529481887817,0.02422856679186225
boston_corrected,LightGBM,455,51,0.15781959941337437,0.26383662570506106,0.09021147340536118,0.12094507366418839,0.9215686321258545,0.02330772392451763
boston_corrected,LinearModel,455,51,0.19033654421333743,0.29685023664174665,0.09330371022224426,0.13743075728416443,0.8627451062202454,0.025057658087462187
boston_corrected,NeuralNetFastAI,455,51,0.1493720890912693,0.2486218592356611,0.12320585548877716,0.14503049850463867,0.8627451062202454,0.024809836875647306
boston_corrected,NeuralNetTorch,455,51,0.20995517308542833,0.3142335975363323,0.10608391463756561,0.1650841236114502,0.8039215803146362,0.024374958127737045
boston_corrected,RandomForest,455,51,0.18300460081279055,0.29365019379052226,0.09599733352661133,0.13670265674591064,0.8627451062202454,0.023619086015969515
boston_corrected,XGBoost,455,51,0.19713005215629897,0.30790346780054095,0.08363577723503113,0.12716880440711975,0.8627451062202454,0.02587446477264166
churn,CatBoost,4500,500,0.08611181076662021,0.18007575443621157,0.013401128351688385,0.020880285650491714,0.949999988079071,0.06292615970596671
churn,ExtraTrees,4500,500,0.0830705641829298,0.17191054481186038,0.013027045875787735,0.023263586685061455,0.949999988079071,0.06373581709340215
churn,LightGBM,4500,500,0.08862286526162279,0.18264800917804064,0.01457187719643116,0.026603983715176582,0.9480000138282776,0.06303979782387614
churn,LinearModel,4500,500,0.18565206420297245,0.30384003500598844,0.023212410509586334,0.03821558877825737,0.8619999885559082,0.063731640111655
churn,NeuralNetFastAI,4500,500,0.07652246499264237,0.16047915007610442,0.009851707145571709,0.018894659355282784,0.9559999704360962,0.0627845418639481
churn,NeuralNetTorch,4500,500,0.08401366261712695,0.17468657255853415,0.016258273273706436,0.029578454792499542,0.9520000219345093,0.06413571489974856
churn,RandomForest,4500,500,0.09976181096440619,0.19328374627384948,0.015021058730781078,0.023359078913927078,0.9380000233650208,0.062294329050928354
churn,XGBoost,4500,500,0.08892085121619742,0.17944581192134257,0.01180606335401535,0.02870948053896427,0.9399999976158142,0.059938544407486916
climate-model-simulation-crashes,CatBoost,486,54,0.09231084886268866,0.1806397502587245,0.04960760474205017,0.05613686144351959,0.9444444179534912,0.02488573407754302
climate-model-simulation-crashes,ExtraTrees,486,54,0.09036060994846967,0.18354228252938626,0.04635310918092728,0.04791378602385521,0.9444444179534912,0.023878206964582205
climate-model-simulation-crashes,LightGBM,486,54,0.08211747020619763,0.16592451234161118,0.04699062183499336,0.04933665692806244,0.9444444179534912,0.024363419972360134
climate-model-simulation-crashes,LinearModel,486,54,0.09920044436938479,0.20761186338479026,0.058906439691782,0.06114722415804863,0.9444444179534912,0.023868035059422255
climate-model-simulation-crashes,NeuralNetFastAI,486,54,0.08543904318187538,0.18810620802379294,0.048444949090480804,0.048602379858493805,0.9629629850387573,0.02557041496038437
climate-model-simulation-crashes,NeuralNetTorch,486,54,0.10285648995324677,0.1972515700701315,0.04198237508535385,0.06708095222711563,0.9074074029922485,0.025377633050084114
climate-model-simulation-crashes,RandomForest,486,54,0.09632666749323343,0.19840625250897975,0.07346586138010025,0.06802859902381897,0.9259259104728699,0.030341289937496185
climate-model-simulation-crashes,XGBoost,486,54,0.08873208604768347,0.1860462123257271,0.062026042491197586,0.07506615668535233,0.9444444179534912,0.024808534886687994
