dataset,model,cal_size,test_size,Scaling-Binning_brier,Scaling-Binning_logloss,Scaling-Binning_kuiper,Scaling-Binning_ece-15,Scaling-Binning_accuracy,Scaling-Binning_time
customer_satisfaction_in_airline,ModernNCA_GPU,86586,43294,0.0632963147263789,0.10001735569474629,0.024974843487143517,0.002909970935434103,0.9493463039398193,0.10968932416290045
diabetes,ModernNCA_GPU,512,256,0.3211446243215694,0.4817905312943302,0.035517510026693344,0.04423734173178673,0.75,0.002764078788459301
hazelnut-spread-contaminant-detection,ModernNCA_GPU,1600,800,0.09541302906552813,0.17315081358603546,0.0190337672829628,0.02721063606441021,0.9474999904632568,0.003895864821970463
heloc,ModernNCA_GPU,6972,3487,0.36430290276335203,0.5445972057307626,0.02265949547290802,0.016866113990545273,0.7315744161605835,0.009438462555408478
in_vehicle_coupon_recommendation,ModernNCA_GPU,8456,4228,0.3197825449351611,0.48900024873364933,0.05342276394367218,0.05980546399950981,0.7783822417259216,0.01490891445428133
jm1,ModernNCA_GPU,7256,3629,0.26482697719779524,0.4204889849924483,0.023267634212970734,0.01395013090223074,0.8164783716201782,0.011154895648360252
kddcup09_appetency,ModernNCA_GPU,33333,16667,0.03396754113962784,0.07835114803519731,0.00606455048546195,0.000457044574432075,0.9821803569793701,0.048506139777600765
online_shoppers_intention,ModernNCA_GPU,8220,4110,0.14585635850179435,0.2351845084149551,0.029352279379963875,0.007230930961668491,0.8973236083984375,0.011687230318784714
polish_companies_bankruptcy,ModernNCA_GPU,3940,1970,0.07154374398690536,0.11855330714577957,0.024095728993415833,0.011950895190238953,0.9401015043258667,0.007056250236928463
qsar-biodeg,ModernNCA_GPU,702,352,0.1956984049268895,0.32685898280586834,0.03189510852098465,0.04982650652527809,0.8806818127632141,0.0028348108753561974
seismic-bumps,ModernNCA_GPU,1722,862,0.11142082251916434,0.20607300833858547,0.015007250010967255,0.003821410471573472,0.9338747262954712,0.004131044261157513
taiwanese_bankruptcy_prediction,ModernNCA_GPU,4546,2273,0.0525277142754434,0.09346695938985522,0.017999116331338882,0.0053605432622134686,0.967883825302124,0.00761856883764267
Bank_Customer_Churn,Mitra_GPU,6666,3334,0.20101381836317286,0.32889627278843403,0.026342114433646202,0.01064812857657671,0.863227367401123,0.009351584129035473
E-CommereShippingData,Mitra_GPU,7332,3667,0.35796261768501936,0.5046209546467825,0.04070635139942169,0.02162056602537632,0.673302412033081,0.010843104682862759
Fitness_Club,Mitra_GPU,1000,500,0.31588123390488293,0.48220881411370353,0.02046978659927845,0.04277823120355606,0.777999997138977,0.003185965120792389
Is-this-a-good-customer,Mitra_GPU,1148,575,0.18898472219106366,0.32282072527703376,0.02601570636034012,0.019627738744020462,0.8852173686027527,0.003554842434823513
Marketing_Campaign,Mitra_GPU,1493,747,0.1434240424850475,0.22869272981768193,0.02590610831975937,0.023721138015389442,0.8955823183059692,0.0038766274228692055
NATICUSdroid,Mitra_GPU,4994,2497,0.09188766141992279,0.15188301450469047,0.026454593986272812,0.011465229094028473,0.933920681476593,0.00863678939640522
blood-transfusion-service-center,Mitra_GPU,498,250,0.3086596465817785,0.4886681754095786,0.03925826773047447,0.0658712163567543,0.7960000038146973,0.0025422684848308563
churn,Mitra_GPU,3333,1667,0.07490977910564933,0.1410792979162433,0.022015847265720367,0.01584327593445778,0.9520096182823181,0.00586363859474659
coil2000_insurance_policies,Mitra_GPU,6548,3274,0.10642434494598027,0.20265816070301776,0.010569524019956589,0.003988825716078281,0.9404398202896118,0.010527333244681358
credit-g,Mitra_GPU,666,334,0.33506598308412866,0.5107861694695472,0.03945838287472725,0.051638342440128326,0.757485032081604,0.002635115757584572
diabetes,Mitra_GPU,512,256,0.3121338041931455,0.46745209823415046,0.03125879913568497,0.02690456248819828,0.76171875,0.0023774635046720505
