dataset,model,cal_size,test_size,Hist-uniform_brier,Hist-uniform_logloss,Hist-uniform_kuiper,Hist-uniform_ece-15,Hist-uniform_accuracy,Hist-uniform_time
Amazon_employee_access,RealMLP_GPU,21846,10923,0.08053495124188666,0.15614666118335888,0.017040103673934937,0.005487971007823944,0.9502883553504944,0.0012801960110664368
Bank_Customer_Churn,RealMLP_GPU,6666,3334,0.20110062705148585,0.33041949697243117,0.031719669699668884,0.0144294872879982,0.8653269410133362,0.000563647598028183
Bioresponse,RealMLP_GPU,2500,1251,0.28271123542636006,0.4444624895118016,0.023895174264907837,0.032402608543634415,0.7961630821228027,0.00035671889781951904
Diabetes130US,RealMLP_GPU,47678,23840,0.15470140238659688,0.28405197191220677,0.042522601783275604,0.005136989057064056,0.9119966626167297,0.001921970397233963
E-CommereShippingData,RealMLP_GPU,7332,3667,0.35647029610501835,0.5007022146065102,0.1067412942647934,0.018836714327335358,0.6872102618217468,0.0005678609013557434
Fitness_Club,RealMLP_GPU,1000,500,0.3214490626033379,0.49177889959092547,0.045800674706697464,0.04225653409957886,0.7739999890327454,0.0002705976366996765
GiveMeSomeCredit,RealMLP_GPU,100000,50000,0.09858115274387172,0.18495199591351477,0.019335094839334488,0.002291198819875717,0.9382200241088867,0.004116632044315338
HR_Analytics_Job_Change_of_Data_Scientists,RealMLP_GPU,12772,6386,0.2717393687577636,0.4270405979676915,0.016105778515338898,0.016823265701532364,0.7989351749420166,0.0009575057774782181
Is-this-a-good-customer,RealMLP_GPU,1148,575,0.1903890249989334,0.32642329836822803,0.034442413598299026,0.020739739760756493,0.8852173686027527,0.0002911128103733063
Marketing_Campaign,RealMLP_GPU,1493,747,0.14963681856722177,0.2501909688612487,0.010536005720496178,0.013467026874423027,0.898259699344635,0.0002874564379453659
NATICUSdroid,RealMLP_GPU,4994,2497,0.0854161800349108,0.15353837625781358,0.009831791743636131,0.01076322328299284,0.9415298104286194,0.0004603881388902664
bank-marketing,RealMLP_GPU,30140,15071,0.1729645807503473,0.3035928803836504,0.041170716285705566,0.005117073189467192,0.8930395841598511,0.0015300028026103973
blood-transfusion-service-center,RealMLP_GPU,498,250,0.3130078536245206,0.5093456529384385,0.060752637684345245,0.06734300404787064,0.7919999957084656,0.00023956038057804108
churn,RealMLP_GPU,3333,1667,0.06387539678269888,0.13156933715218871,0.016085615381598473,0.010562811978161335,0.9604079127311707,0.0003776084631681442
coil2000_insurance_policies,RealMLP_GPU,6548,3274,0.10711025072176644,0.20915663298654563,0.02930852398276329,0.0027440062258392572,0.9404398202896118,0.0004902966320514679
