dataset,model,cal_size,test_size,Base-model_brier,Base-model_logloss,Base-model_kuiper,Base-model_ece-15,Base-model_accuracy,Base-model_time
Marketing_Campaign,TabDPT_GPU,1493,747,0.14956575632095337,0.2555669844150543,0.04767841100692749,0.06463833898305893,0.9036144614219666,0
NATICUSdroid,TabDPT_GPU,4994,2497,0.08805151283740997,0.21151608228683472,0.02301650121808052,0.03780472278594971,0.9471365809440613,0
bank-marketing,TabDPT_GPU,30140,15071,0.17246684432029724,0.3020113408565521,0.01652580499649048,0.01874997466802597,0.8937695026397705,0
blood-transfusion-service-center,TabDPT_GPU,498,250,0.30945470929145813,0.4868527352809906,0.068013034760952,0.09620396047830582,0.7960000038146973,0
churn,TabDPT_GPU,3333,1667,0.07701145857572556,0.16915550827980042,0.055122341960668564,0.06295409798622131,0.9604079127311707,0
coil2000_insurance_policies,TabDPT_GPU,6548,3274,0.11065161228179932,0.23860497772693634,0.038392987102270126,0.03854009136557579,0.9407452940940857,0
credit-g,TabDPT_GPU,666,334,0.35131749510765076,0.5278511047363281,0.06957801431417465,0.09014277160167694,0.727544903755188,0
credit_card_clients_default,TabDPT_GPU,20000,10000,0.280985027551651,0.45079419016838074,0.08018375188112259,0.08918814361095428,0.8206999897956848,0
customer_satisfaction_in_airline,TabDPT_GPU,86586,43294,0.05458873510360718,0.0906878337264061,0.0029799379408359528,0.006200175266712904,0.9612648487091064,0
diabetes,TabDPT_GPU,512,256,0.3079119324684143,0.4659479856491089,0.022093411535024643,0.08294223248958588,0.75390625,0
hazelnut-spread-contaminant-detection,TabDPT_GPU,1600,800,0.06709743291139603,0.12646913528442383,0.014510070905089378,0.02937116101384163,0.9574999809265137,0
heloc,TabDPT_GPU,6972,3487,0.4033089280128479,0.6807898283004761,0.07403478771448135,0.1302364617586136,0.7312876582145691,0
in_vehicle_coupon_recommendation,TabDPT_GPU,8456,4228,0.33784374594688416,0.5110077857971191,0.03704747185111046,0.04696178063750267,0.7528381943702698,0
jm1,TabDPT_GPU,7256,3629,0.2755109965801239,0.48438799381256104,0.08820783346891403,0.09147666394710541,0.8236428499221802,0
kddcup09_appetency,TabDPT_GPU,33333,16667,0.0356365330517292,0.19346663355827332,0.01780712977051735,0.017806580290198326,0.9821803569793701,0
online_shoppers_intention,TabDPT_GPU,8220,4110,0.14249716699123383,0.2326154112815857,0.009831060655415058,0.01782621257007122,0.899756669998169,0
polish_companies_bankruptcy,TabDPT_GPU,3940,1970,0.031274519860744476,0.0637449398636818,0.008720876649022102,0.00875174906104803,0.9796954393386841,0
qsar-biodeg,TabDPT_GPU,702,352,0.2003517597913742,0.550433874130249,0.06506558507680893,0.09607318043708801,0.8835227489471436,0
seismic-bumps,TabDPT_GPU,1722,862,0.11346045881509781,0.2258138805627823,0.039066001772880554,0.03899579867720604,0.9338747262954712,0
taiwanese_bankruptcy_prediction,TabDPT_GPU,4546,2273,0.04504093527793884,0.08609909564256668,0.013798472471535206,0.01602252759039402,0.9722833037376404,0
