dataset,model,cal_size,test_size,Beta_brier,Beta_logloss,Beta_kuiper,Beta_ece-15,Beta_accuracy,Beta_time
HR_Analytics_Job_Change_of_Data_Scientists,TabDPT_GPU,12772,6386,0.2699218425168324,0.42503923497099805,0.011489205062389374,0.018043771386146545,0.8026933670043945,0.007822725921869278
Is-this-a-good-customer,TabDPT_GPU,1148,575,0.18938653612387904,0.3210649064639114,0.01267925277352333,0.018452929332852364,0.8852173686027527,0.00676431879401207
Marketing_Campaign,TabDPT_GPU,1493,747,0.14338517867074302,0.22892362909543754,0.012119829654693604,0.03661158308386803,0.8969210386276245,0.004209764301776886
NATICUSdroid,TabDPT_GPU,4994,2497,0.0790021933934607,0.1361503903679729,0.005411495454609394,0.012517011724412441,0.9463356137275696,0.0064665041863918304
bank-marketing,TabDPT_GPU,30140,15071,0.17192405630914734,0.30010624995832036,0.004540879279375076,0.007416929583996534,0.8934377431869507,0.022285599261522293
blood-transfusion-service-center,TabDPT_GPU,498,250,0.3072729760961601,0.49042294815681026,0.046618279069662094,0.07205444574356079,0.7919999957084656,0.0036048442125320435
churn,TabDPT_GPU,3333,1667,0.06876211628003481,0.1402284695549562,0.010958116501569748,0.017812717705965042,0.9592081308364868,0.00474538654088974
coil2000_insurance_policies,TabDPT_GPU,6548,3274,0.10735109485046639,0.20745439604444194,0.006770435720682144,0.006942466367036104,0.9404398202896118,0.015454404056072235
credit-g,TabDPT_GPU,666,334,0.344687314523057,0.5160176487054735,0.039638519287109375,0.05932128429412842,0.71856290102005,0.0036120712757110596
credit_card_clients_default,TabDPT_GPU,20000,10000,0.2645039888576129,0.4219665706038944,0.005735530983656645,0.009129932150244713,0.8203999996185303,0.011789645999670029
customer_satisfaction_in_airline,TabDPT_GPU,86586,43294,0.05476655331853814,0.08984669525220483,0.0030129682272672653,0.004630807787179947,0.961472749710083,0.04042258858680725
diabetes,TabDPT_GPU,512,256,0.30937554893433594,0.4693253436121041,0.024773314595222473,0.06649712473154068,0.76171875,0.0033297650516033173
hazelnut-spread-contaminant-detection,TabDPT_GPU,1600,800,0.06508844960080584,0.11802279960793166,0.00804954580962658,0.016706589609384537,0.956250011920929,0.0037255026400089264
heloc,TabDPT_GPU,6972,3487,0.365471726217114,0.5461320799479173,0.011781115084886551,0.02120065502822399,0.7335819005966187,0.006771299988031387
in_vehicle_coupon_recommendation,TabDPT_GPU,8456,4228,0.3328507533298739,0.5025345485152156,0.008997935801744461,0.024413788691163063,0.7523651719093323,0.007426701486110687
jm1,TabDPT_GPU,7256,3629,0.25376137114281194,0.4038472354301696,0.0063407886773347855,0.020969146862626076,0.8261228799819946,0.008140280842781067
kddcup09_appetency,TabDPT_GPU,33333,16667,0.03427306027080173,0.08066399480108452,0.002918928861618042,0.002117747673764825,0.9821203351020813,0.04310021921992302
online_shoppers_intention,TabDPT_GPU,8220,4110,0.14285933319590222,0.23240897850024964,0.009905717335641384,0.013785031624138355,0.9002432823181152,0.007620479911565781
polish_companies_bankruptcy,TabDPT_GPU,3940,1970,0.029655891526795264,0.06154484806443756,0.0035503548569977283,0.006768846418708563,0.9802030324935913,0.005244363099336624
qsar-biodeg,TabDPT_GPU,702,352,0.17715770860903526,0.30080087515109194,0.028824029490351677,0.06624636799097061,0.8835227489471436,0.0035156533122062683
seismic-bumps,TabDPT_GPU,1722,862,0.10833720492679405,0.20160560921091125,0.009983192197978497,0.008539730682969093,0.9338747262954712,0.008375931531190872
taiwanese_bankruptcy_prediction,TabDPT_GPU,4546,2273,0.043380616148155166,0.07923670837583988,0.0034094599541276693,0.008366385474801064,0.9727232456207275,0.010157857090234756
