dataset,model,cal_size,test_size,CB_brier,CB_logloss,CB_kuiper,CB_ece-15,CB_accuracy,CB_time
taiwanese_bankruptcy_prediction,RealTabPFN-v2.5,4546,2273,0.045338514255151445,0.08098039161410306,0.003867488354444504,0.005811035633087158,0.9709634780883789,0.08982663415372372
APSFailure,TabICL_GPU,50666,25334,0.008894680176359257,0.01646588292484098,0.000998644158244133,0.0011198521824553609,0.9943948984146118,0.42743969010189176
Amazon_employee_access,TabICL_GPU,21846,10923,0.08127445329113492,0.15759619725879748,0.0029867105185985565,0.004829104989767075,0.9477249979972839,0.2477005897089839
Bank_Customer_Churn,TabICL_GPU,6666,3334,0.2015567470382975,0.3297178201613952,0.009627002291381359,0.02536139264702797,0.8596280813217163,0.10995688196271658
Diabetes130US,TabICL_GPU,47678,23840,0.15639838010063123,0.28669424203281685,0.003377128392457962,0.002868199022486806,0.9119966626167297,0.42793946899473667
E-CommereShippingData,TabICL_GPU,7332,3667,0.36221153509832177,0.5041922645724983,0.022977709770202637,0.03617012873291969,0.6735751032829285,0.13005532417446375
Fitness_Club,TabICL_GPU,1000,500,0.31269202412190256,0.47763129178795183,0.020829401910305023,0.03727564960718155,0.7820000052452087,0.05495820986106992
GiveMeSomeCredit,TabICL_GPU,100000,50000,0.09805482498653499,0.17658598352130742,0.0016893362626433372,0.002722751582041383,0.9376000165939331,0.7987450147047639
HR_Analytics_Job_Change_of_Data_Scientists,TabICL_GPU,12772,6386,0.2700983291975857,0.42578707902264107,0.009671904146671295,0.015573673881590366,0.8020670413970947,0.17354561714455485
Is-this-a-good-customer,TabICL_GPU,1148,575,0.19239991894272415,0.32704462615861785,0.014583731070160866,0.026974625885486603,0.8852173686027527,0.05929478909820318
Marketing_Campaign,TabICL_GPU,1493,747,0.14564485498853244,0.23150260661872368,0.014074314385652542,0.032423119992017746,0.891566276550293,0.06344805611297488
NATICUSdroid,TabICL_GPU,4994,2497,0.08022661913479415,0.1406931746934099,0.005769094452261925,0.012947713024914265,0.9471365809440613,0.09807732002809644
bank-marketing,TabICL_GPU,30140,15071,0.17235101492923083,0.3011737801959465,0.004433006048202515,0.005838080309331417,0.8942339420318604,0.30519019486382604
blood-transfusion-service-center,TabICL_GPU,498,250,0.32016057896856714,0.507464704203088,0.040637727826833725,0.08228269219398499,0.800000011920929,0.051772477105259895
churn,TabICL_GPU,3333,1667,0.06837600922762019,0.13851130567273115,0.006632870528846979,0.012354954145848751,0.9574085474014282,0.07875789096578956
coil2000_insurance_policies,TabICL_GPU,6548,3274,0.10698587571152728,0.20743444599805938,0.007112588733434677,0.00614938186481595,0.9404398202896118,0.12417908618226647
credit-g,TabICL_GPU,666,334,0.34096449008028745,0.5128714880823682,0.04663681983947754,0.08882034569978714,0.7634730339050293,0.053199110087007284
credit_card_clients_default,TabICL_GPU,20000,10000,0.2647872975118044,0.4240281670714382,0.006088425870984793,0.014200778678059578,0.8219000101089478,0.2262773960828781
customer_satisfaction_in_airline,TabICL_GPU,86586,43294,0.05709068983913958,0.0913964709657977,0.0011139139533042908,0.001590071595273912,0.9596942067146301,0.6951014949008822
diabetes,TabICL_GPU,512,256,0.32267753483432715,0.48622435973903533,0.02822244167327881,0.05514630302786827,0.7578125,0.05065763695165515
hazelnut-spread-contaminant-detection,TabICL_GPU,1600,800,0.06630774377547836,0.1221012500343196,0.009774282574653625,0.01717609539628029,0.9587500095367432,0.06203137617558241
heloc,TabICL_GPU,6972,3487,0.36601317456706284,0.5471194427783248,0.010420627892017365,0.0186272244900465,0.7307140827178955,0.1300627263262868
in_vehicle_coupon_recommendation,TabICL_GPU,8456,4228,0.3103551479462609,0.47716525219328526,0.01005726307630539,0.020144810900092125,0.772942304611206,0.1432086587883532
jm1,TabICL_GPU,7256,3629,0.25766296420512125,0.4104732074453454,0.006366502493619919,0.014368719421327114,0.8208872675895691,0.1259423065930605
