dataset,model,cal_size,test_size,CIR_brier,CIR_logloss,CIR_kuiper,CIR_ece-15,CIR_accuracy,CIR_time
heloc,ModernNCA_GPU,6972,3487,0.36303085783272254,0.5426976090794887,0.011978276073932648,0.017896628007292747,0.7304273247718811,0.003671926911920309
in_vehicle_coupon_recommendation,ModernNCA_GPU,8456,4228,0.3150061624995234,0.48337004181927434,0.025590859353542328,0.045648518949747086,0.7755439877510071,0.004015705082565546
jm1,ModernNCA_GPU,7256,3629,0.26377528680523105,0.4189912982355058,0.008762829005718231,0.013613715767860413,0.8137227892875671,0.0036607569782063365
kddcup09_appetency,ModernNCA_GPU,33333,16667,0.03374862098215024,0.0778640417904028,0.0012617330066859722,0.000846960349008441,0.9821803569793701,0.008969107992015779
online_shoppers_intention,ModernNCA_GPU,8220,4110,0.14042552401250985,0.24656091304117217,0.006546009331941605,0.011056479066610336,0.9014598727226257,0.003827572916634381
polish_companies_bankruptcy,ModernNCA_GPU,3940,1970,0.03985259884953722,0.07810945720090895,0.010025473311543465,0.015148806385695934,0.9751269221305847,0.002434113062918186
qsar-biodeg,ModernNCA_GPU,702,352,0.19085660071329144,0.32086936045350695,0.028163865208625793,0.05946379154920578,0.8778409361839294,0.0018376810476183891
seismic-bumps,ModernNCA_GPU,1722,862,0.11119979860336525,0.20692700572947018,0.012395797297358513,0.01539704017341137,0.9338747262954712,0.0019058359321206808
taiwanese_bankruptcy_prediction,ModernNCA_GPU,4546,2273,0.043712788693006294,0.08104676673365596,0.006583262700587511,0.007292014546692371,0.9722833037376404,0.0025905088987201452
Bank_Customer_Churn,Mitra_GPU,6666,3334,0.1967780699694571,0.34638499362545405,0.008790490217506886,0.02072819694876671,0.8689262270927429,0.0033564679324626923
E-CommereShippingData,Mitra_GPU,7332,3667,0.35509709327314204,0.5184213370899888,0.014972090721130371,0.019933441653847694,0.6861194372177124,0.002887735958211124
Fitness_Club,Mitra_GPU,1000,500,0.3101843156384724,0.6404201120077514,0.02024194784462452,0.04810382053256035,0.7799999713897705,0.0018087549833580852
Is-this-a-good-customer,Mitra_GPU,1148,575,0.19258390210080575,0.47573707461925807,0.013279758393764496,0.030060557648539543,0.8765217661857605,0.001836878014728427
Marketing_Campaign,Mitra_GPU,1493,747,0.13760143266224936,0.22031369825944241,0.01699012890458107,0.027837228029966354,0.8929049372673035,0.001984618022106588
NATICUSdroid,Mitra_GPU,4994,2497,0.0854631535840651,0.24152822653216516,0.006811764091253281,0.012354908511042595,0.9395274519920349,0.002979394979774952
blood-transfusion-service-center,Mitra_GPU,498,250,0.30599488697506483,0.4946335339573858,0.05194554477930069,0.09653116017580032,0.8080000281333923,0.0016442720079794526
churn,Mitra_GPU,3333,1667,0.04145078042674736,0.09544988887372069,0.0113215371966362,0.013036349788308144,0.976604700088501,0.002169728046283126
coil2000_insurance_policies,Mitra_GPU,6548,3274,0.10605544274186438,0.20218548817734197,0.004950123839080334,0.005884715821594,0.9404398202896118,0.0029968719463795424
credit-g,Mitra_GPU,666,334,0.3320159881676558,0.5173009441935242,0.04536943882703781,0.06054619699716568,0.7485029697418213,0.0017544389702379704
diabetes,Mitra_GPU,512,256,0.31974365037764146,0.4864313035020199,0.025742558762431145,0.07147925347089767,0.75,0.0016824259655550122
hazelnut-spread-contaminant-detection,Mitra_GPU,1600,800,0.08459409048283216,0.24326123283328235,0.014455843716859818,0.02560160681605339,0.9424999952316284,0.001922106952406466
heloc,Mitra_GPU,6972,3487,0.36383938330402893,0.5693832234374971,0.01822897419333458,0.019451182335615158,0.7358760833740234,0.0033857349772006273
in_vehicle_coupon_recommendation,Mitra_GPU,8456,4228,0.32142366655075366,0.512081887337618,0.017752714455127716,0.03536122664809227,0.7682119011878967,0.0037199159851297736
jm1,Mitra_GPU,7256,3629,0.2668427165143715,0.5148242256217805,0.008219409734010696,0.015251443721354008,0.8170294761657715,0.003315350040793419
online_shoppers_intention,Mitra_GPU,8220,4110,0.14072177268977193,0.2249555512628309,0.006341790314763784,0.013070349581539631,0.8987834453582764,0.003582897945307195
polish_companies_bankruptcy,Mitra_GPU,3940,1970,0.04132170034347541,0.07776416436140145,0.010273945517838001,0.0186168160289526,0.9746192693710327,0.0024228449910879135
