dataset,model,cal_size,test_size,Spline_brier,Spline_logloss,Spline_kuiper,Spline_ece-15,Spline_accuracy,Spline_time
churn,TabICL_GPU,3333,1667,0.06669747466970566,0.13581505764859314,0.007672028616070747,0.015038464218378067,0.9604079127311707,0.44353457912802696
coil2000_insurance_policies,TabICL_GPU,6548,3274,0.10570627579231709,0.2028497729535712,0.006329463794827461,0.004120884463191032,0.9404398202896118,0.5127950385212898
credit-g,TabICL_GPU,666,334,0.3517403975461028,0.5220701946829713,0.048137322068214417,0.0871175080537796,0.71856290102005,0.11016954109072685
credit_card_clients_default,TabICL_GPU,20000,10000,0.2634958609560408,0.421161686935324,0.007611595094203949,0.013773072510957718,0.8216000199317932,0.86399220302701
customer_satisfaction_in_airline,TabICL_GPU,86586,43294,0.05707829433310964,0.09105059395163874,0.0013932986184954643,0.0025576099287718534,0.9597634673118591,13.678283140063286
diabetes,TabICL_GPU,512,256,0.31267876441120124,0.4710685807200377,0.02350335195660591,0.06123688444495201,0.7734375,0.20768510550260544
hazelnut-spread-contaminant-detection,TabICL_GPU,1600,800,0.06636966347410268,0.11912376665625618,0.009108141995966434,0.022135218605399132,0.9587500095367432,0.3784739337861538
heloc,TabICL_GPU,6972,3487,0.3648429564152286,0.5449910652284634,0.008924506604671478,0.016923729330301285,0.7301405072212219,0.6536698751151562
in_vehicle_coupon_recommendation,TabICL_GPU,8456,4228,0.3073988655106778,0.4723230762336356,0.010272487998008728,0.024308018386363983,0.7783822417259216,0.7333463467657566
jm1,TabICL_GPU,7256,3629,0.2557923272472008,0.40761697365175226,0.006809685379266739,0.009699621237814426,0.8225406408309937,0.49221594631671906
kddcup09_appetency,TabICL_GPU,33333,16667,0.03366891587495242,0.07718571063006482,0.001911270897835493,0.0010263938456773758,0.9821803569793701,1.3606619499623775
online_shoppers_intention,TabICL_GPU,8220,4110,0.14096908428952035,0.22535292658641465,0.00666075199842453,0.0072275735437870026,0.8992700576782227,0.9435120820999146
polish_companies_bankruptcy,TabICL_GPU,3940,1970,0.04247781698139586,0.08991236808702803,0.005703405477106571,0.007805151399224997,0.9751269221305847,0.45299671217799187
qsar-biodeg,TabICL_GPU,702,352,0.17850326161355523,0.3057009739820899,0.039272554218769073,0.051840342581272125,0.8693181872367859,0.22146696224808693
seismic-bumps,TabICL_GPU,1722,862,0.11158271945907249,0.20583605396676263,0.011246126145124435,0.013326022773981094,0.9338747262954712,0.18631313741207123
taiwanese_bankruptcy_prediction,TabICL_GPU,4546,2273,0.04398986031509351,0.0805044478031659,0.004314963705837727,0.008866089396178722,0.9718433618545532,0.4890737235546112
Amazon_employee_access,LimiX_GPU,21846,10923,0.08272704939559156,0.15961918621389723,0.0028901398181915283,0.0032234489917755127,0.9482742547988892,1.6110492385923862
Bank_Customer_Churn,LimiX_GPU,6666,3334,0.19678362667801497,0.3241759704178815,0.011612076312303543,0.01928679086267948,0.8686262965202332,0.5380803123116493
Bioresponse,LimiX_GPU,2500,1251,0.2748922323965888,0.42642184294044977,0.026132136583328247,0.04577832296490669,0.8001598715782166,0.49253593757748604
E-CommereShippingData,LimiX_GPU,7332,3667,0.35408648122698577,0.4952304483286755,0.008118867874145508,0.004122796002775431,0.6893918514251709,0.3811182826757431
Fitness_Club,LimiX_GPU,1000,500,0.31411740005950334,0.4783912650662787,0.015189871191978455,0.03236585855484009,0.7799999713897705,0.16585665941238403
HR_Analytics_Job_Change_of_Data_Scientists,LimiX_GPU,12772,6386,0.26809084272628564,0.4227428551125109,0.00842612236738205,0.012653865851461887,0.8072345852851868,0.6835974417626858
Is-this-a-good-customer,LimiX_GPU,1148,575,0.18788905579673748,0.32201799927603875,0.0110821183770895,0.029023604467511177,0.886956512928009,0.13817359134554863
Marketing_Campaign,LimiX_GPU,1493,747,0.1331237690669153,0.2144459451947471,0.01601411961019039,0.02785005420446396,0.9022757411003113,0.31263699382543564
NATICUSdroid,LimiX_GPU,4994,2497,0.08406682773423882,0.1474652991641903,0.007253766059875488,0.015069816261529922,0.9439327120780945,0.7754107750952244
bank-marketing,LimiX_GPU,30140,15071,0.1716921480385741,0.29928795939801084,0.00608316995203495,0.011441635899245739,0.8939021825790405,1.6040529608726501
blood-transfusion-service-center,LimiX_GPU,498,250,0.29996145543042746,0.48118015277350584,0.04641496390104294,0.07955161482095718,0.8119999766349792,0.23571136593818665
churn,LimiX_GPU,3333,1667,0.06608060396364596,0.13590102549543218,0.011962302960455418,0.016117481514811516,0.9604079127311707,0.39700041338801384
coil2000_insurance_policies,LimiX_GPU,6548,3274,0.1049019428228842,0.19849616666560585,0.0053196437656879425,0.005682055372744799,0.9404398202896118,0.5437078885734081
credit-g,LimiX_GPU,666,334,0.3197610524877338,0.49178686025913093,0.04831761121749878,0.07504598796367645,0.7994012236595154,0.09918701276183128
credit_card_clients_default,LimiX_GPU,20000,10000,0.26386775122272094,0.42143682203088983,0.004787061363458633,0.014038913883268833,0.8220000267028809,1.2475965283811092
diabetes,LimiX_GPU,512,256,0.31286136465109227,0.47199694904074996,0.026063255965709686,0.06246953085064888,0.75390625,0.1882486827671528
hazelnut-spread-contaminant-detection,LimiX_GPU,1600,800,0.07238416672580397,0.12412255653215222,0.01033627800643444,0.01948457956314087,0.9524999856948853,0.4307248517870903
heloc,LimiX_GPU,6972,3487,0.3624219745287395,0.5423149306628752,0.01627447083592415,0.01942986063659191,0.7358760833740234,0.69622702896595
in_vehicle_coupon_recommendation,LimiX_GPU,8456,4228,0.35157401913719966,0.5293545150578615,0.011727705597877502,0.026277096942067146,0.7443235516548157,0.5007504485547543
jm1,LimiX_GPU,7256,3629,0.26605835771497516,0.4212998494815218,0.006590844597667456,0.012263928540050983,0.8156517148017883,0.513718269765377
online_shoppers_intention,LimiX_GPU,8220,4110,0.14230113094100108,0.22738009339087353,0.006773481145501137,0.012623454444110394,0.8995133638381958,0.842010822147131
polish_companies_bankruptcy,LimiX_GPU,3940,1970,0.05250098497749949,0.09336768533449082,0.004322812892496586,0.012277333997189999,0.9634518027305603,0.6004406474530697
qsar-biodeg,LimiX_GPU,702,352,0.17499947296294582,0.30172632292601104,0.03352823480963707,0.043836560100317,0.8835227489471436,0.28452663868665695
seismic-bumps,LimiX_GPU,1722,862,0.10961177995355216,0.20474036110165783,0.011320145800709724,0.012808726169168949,0.9338747262954712,0.2611336447298527
taiwanese_bankruptcy_prediction,LimiX_GPU,4546,2273,0.04367949909554623,0.079496437476956,0.004768969025462866,0.008212222717702389,0.9718433618545532,0.5696805007755756
APSFailure,TabM_GPU,50666,25334,0.008974127652694824,0.016764920127147347,0.0010805868078023195,0.0016492935828864574,0.9940001368522644,3.6466713920235634
Amazon_employee_access,TabM_GPU,21846,10923,0.08906190630545294,0.16707735638672347,0.0049226246774196625,0.004864775110036135,0.9440630078315735,1.4207767881453037
Bank_Customer_Churn,TabM_GPU,6666,3334,0.19653892330091327,0.32440659197916105,0.01579570397734642,0.025987260043621063,0.8668266534805298,0.4958078861236572
Bioresponse,TabM_GPU,2500,1251,0.28393182772965364,0.4430702149894854,0.02189745008945465,0.038447849452495575,0.7929656505584717,0.6327521279454231
Diabetes130US,TabM_GPU,47678,23840,0.15464295344741746,0.2818568970200891,0.00356319360435009,0.005321300122886896,0.9119966626167297,2.317487869411707
E-CommereShippingData,TabM_GPU,7332,3667,0.35608717729748013,0.4976895945964938,0.01971089094877243,0.02057715505361557,0.6839378476142883,0.30625119805336
Fitness_Club,TabM_GPU,1000,500,0.3160641275798228,0.48241464230058684,0.020343128591775894,0.0491468720138073,0.7699999809265137,0.12611167505383492
GiveMeSomeCredit,TabM_GPU,100000,50000,0.0968708703821462,0.1751292123534448,0.0012897566193714738,0.0030170921236276627,0.9387000203132629,7.764822784811258
HR_Analytics_Job_Change_of_Data_Scientists,TabM_GPU,12772,6386,0.2703782102058627,0.42562908752659306,0.010948225855827332,0.017641732469201088,0.8026933670043945,1.06272779032588
Is-this-a-good-customer,TabM_GPU,1148,575,0.19336844267739567,0.3325465774224646,0.021565277129411697,0.03747366741299629,0.8852173686027527,0.28888238593935966
Marketing_Campaign,TabM_GPU,1493,747,0.14331885430428007,0.22894066892183512,0.016361454501748085,0.030186831951141357,0.898259699344635,0.3128288686275482
NATICUSdroid,TabM_GPU,4994,2497,0.0848587340895035,0.14505435799837602,0.008493078872561455,0.013211877085268497,0.9403284192085266,0.9214328825473785
bank-marketing,TabM_GPU,30140,15071,0.17195332448090417,0.29959297375533506,0.003534178249537945,0.008604155853390694,0.8940349221229553,1.3494296669960022
blood-transfusion-service-center,TabM_GPU,498,250,0.3106831449555831,0.49147058116962083,0.059254106134176254,0.10767167806625366,0.7879999876022339,0.2174530364573002
churn,TabM_GPU,3333,1667,0.06483594983112578,0.13685625465954435,0.014261413365602493,0.017125112935900688,0.9616076946258545,0.5783792771399021
coil2000_insurance_policies,TabM_GPU,6548,3274,0.10586184711378425,0.2026740828998395,0.00462849996984005,0.0073383878916502,0.9404398202896118,0.9367971494793892
credit-g,TabM_GPU,666,334,0.3326900556527414,0.5070208118577848,0.042445093393325806,0.06510002166032791,0.7604790329933167,0.1910540610551834
credit_card_clients_default,TabM_GPU,20000,10000,0.2634506798413233,0.4206815731951848,0.004503299947828054,0.00833913590759039,0.8234999775886536,1.5885065831243992
customer_satisfaction_in_airline,TabM_GPU,86586,43294,0.05245281375631886,0.08298496719480594,0.0009123431518673897,0.0023707731161266565,0.9625583291053772,13.86292327567935
diabetes,TabM_GPU,512,256,0.33522198418508853,0.5077056589737302,0.04913386330008507,0.09056421369314194,0.765625,0.19143949821591377
hazelnut-spread-contaminant-detection,TabM_GPU,1600,800,0.10702530682586742,0.1769454482314356,0.013754812069237232,0.027987288311123848,0.9200000166893005,0.5092468336224556
