dataset,model,cal_size,test_size,CB-tiny-monotone_brier,CB-tiny-monotone_logloss,CB-tiny-monotone_kuiper,CB-tiny-monotone_ece-15,CB-tiny-monotone_accuracy,CB-tiny-monotone_time
bank-marketing,LimiX_GPU,30140,15071,0.1718440138088224,0.2997322613255869,0.005837108939886093,0.008845677599310875,0.8943666815757751,0.34071947261691093
blood-transfusion-service-center,LimiX_GPU,498,250,0.30594693182146704,0.48733878585912443,0.0444193035364151,0.08225502818822861,0.8040000200271606,0.051465027034282684
churn,LimiX_GPU,3333,1667,0.06626489864674702,0.13782416770506364,0.007899655029177666,0.015402617864310741,0.9598080515861511,0.08266625925898552
coil2000_insurance_policies,LimiX_GPU,6548,3274,0.10562713388209947,0.19873033728740988,0.005500659346580505,0.005127983633428812,0.9404398202896118,0.1253209188580513
credit-g,LimiX_GPU,666,334,0.3123292146029363,0.4825977210944032,0.044161491096019745,0.08018582314252853,0.796407163143158,0.05329470708966255
credit_card_clients_default,LimiX_GPU,20000,10000,0.2635691836711747,0.42101237630175475,0.0061598531901836395,0.0087992949411273,0.8219000101089478,0.2371603064239025
diabetes,LimiX_GPU,512,256,0.3112835041045011,0.47163514024270914,0.026875004172325134,0.0518195778131485,0.77734375,0.04914677143096924
hazelnut-spread-contaminant-detection,LimiX_GPU,1600,800,0.07382503231215377,0.12860786740816707,0.010050244629383087,0.018209068104624748,0.9487500190734863,0.06841828674077988
heloc,LimiX_GPU,6972,3487,0.3636889790897021,0.5436236859796707,0.021004632115364075,0.026909878477454185,0.7375968098640442,0.1335897296667099
in_vehicle_coupon_recommendation,LimiX_GPU,8456,4228,0.35213094340763723,0.5302834235827721,0.013360857963562012,0.023393619805574417,0.7445600628852844,0.15077679604291916
jm1,LimiX_GPU,7256,3629,0.26670866229235934,0.4226983011750904,0.010102423839271069,0.011915162205696106,0.8134472370147705,0.12854262068867683
online_shoppers_intention,LimiX_GPU,8220,4110,0.14317908145101044,0.22922727193598744,0.006655077449977398,0.013986047357320786,0.8990267515182495,0.1439577266573906
polish_companies_bankruptcy,LimiX_GPU,3940,1970,0.05228968646439069,0.09391869680512897,0.004390711896121502,0.010021391324698925,0.9639593958854675,0.09078589081764221
qsar-biodeg,LimiX_GPU,702,352,0.17481371664415762,0.29691175210686693,0.03418656438589096,0.04960242286324501,0.8778409361839294,0.054278746247291565
seismic-bumps,LimiX_GPU,1722,862,0.10976096612321312,0.20561203057207228,0.011846204288303852,0.01154071930795908,0.9338747262954712,0.06390021368861198
taiwanese_bankruptcy_prediction,LimiX_GPU,4546,2273,0.04442360400587289,0.08050009439181789,0.005278728902339935,0.00883450172841549,0.9714034199714661,0.09263542294502258
APSFailure,TabM_GPU,50666,25334,0.008887094122116822,0.016625610759868265,0.0008644664194434881,0.0013695721281692386,0.9940791130065918,0.46342285722494125
Amazon_employee_access,TabM_GPU,21846,10923,0.08920216937084391,0.16732241002435522,0.004668430425226688,0.005537562072277069,0.9427812695503235,0.25765858218073845
Bank_Customer_Churn,TabM_GPU,6666,3334,0.19677343019849575,0.32192945647226684,0.006376256234943867,0.018990373238921165,0.8662267327308655,0.12028559669852257
Bioresponse,TabM_GPU,2500,1251,0.28535028362009207,0.4442199231903556,0.018016666173934937,0.038122255355119705,0.7905675172805786,0.07478780671954155
Diabetes130US,TabM_GPU,47678,23840,0.15458311507311284,0.28179707005376153,0.005442630499601364,0.004942128900438547,0.9119966626167297,0.45509782433509827
E-CommereShippingData,TabM_GPU,7332,3667,0.3576299025673547,0.49938745586836064,0.029606888070702553,0.032281748950481415,0.6907553672790527,0.13234859332442284
Fitness_Club,TabM_GPU,1000,500,0.3163329448634562,0.4831287037054887,0.02307792566716671,0.03659405559301376,0.7720000147819519,0.05749516934156418
GiveMeSomeCredit,TabM_GPU,100000,50000,0.09701950688760375,0.1753729412909398,0.002308165654540062,0.0035796300508081913,0.9377999901771545,0.8974820859730244
HR_Analytics_Job_Change_of_Data_Scientists,TabM_GPU,12772,6386,0.2702459689009579,0.4254200410071372,0.013019196689128876,0.019849618896842003,0.8023802042007446,0.18030941113829613
Is-this-a-good-customer,TabM_GPU,1148,575,0.1934425745005285,0.3324909057417302,0.020660940557718277,0.04623764753341675,0.886956512928009,0.05849941819906235
Marketing_Campaign,TabM_GPU,1493,747,0.14368776187602966,0.22729017180703198,0.01709730364382267,0.03080229088664055,0.898259699344635,0.05913039296865463
NATICUSdroid,TabM_GPU,4994,2497,0.08374769372683806,0.14314409414889231,0.007216215133666992,0.013560178689658642,0.9411293268203735,0.1014951653778553
bank-marketing,TabM_GPU,30140,15071,0.1720850356568712,0.3000003554066205,0.005310629960149527,0.007951263338327408,0.8929732441902161,0.3300483115017414
blood-transfusion-service-center,TabM_GPU,498,250,0.3048961209925682,0.48499808090421037,0.048949822783470154,0.09527145326137543,0.800000011920929,0.05183078721165657
churn,TabM_GPU,3333,1667,0.06543573669388844,0.13742978141155968,0.014945179224014282,0.018017197027802467,0.962207555770874,0.0807366706430912
coil2000_insurance_policies,TabM_GPU,6548,3274,0.10619173539888742,0.2033786838737523,0.008057748898863792,0.007819771766662598,0.9404398202896118,0.12021401897072792
