dataset,model,cal_size,test_size,TS_brier,TS_logloss,TS_kuiper,TS_ece-15,TS_accuracy,TS_time
Marketing_Campaign,BetaTabPFN_GPU,1493,747,0.13785000145435333,0.22293409705162048,0.023873522877693176,0.03062528371810913,0.9009370803833008,0.006061136722564697
NATICUSdroid,BetaTabPFN_GPU,4994,2497,0.08520496636629105,0.1454036384820938,0.004315986298024654,0.009150533936917782,0.9423307776451111,0.014793254435062408
bank-marketing,BetaTabPFN_GPU,30140,15071,0.1724134385585785,0.3003442883491516,0.0040581319481134415,0.00821918249130249,0.8932386636734009,0.07614456117153168
blood-transfusion-service-center,BetaTabPFN_GPU,498,250,0.3123894929885864,0.5017274618148804,0.05303468555212021,0.11695946007966995,0.7879999876022339,0.003628913313150406
churn,BetaTabPFN_GPU,3333,1667,0.0595095157623291,0.12831413745880127,0.013812439516186714,0.019625794142484665,0.9628074169158936,0.010686840862035751
coil2000_insurance_policies,BetaTabPFN_GPU,6548,3274,0.10549253970384598,0.2013702094554901,0.004588937386870384,0.005725465714931488,0.9404398202896118,0.01819801703095436
credit-g,BetaTabPFN_GPU,666,334,0.34111288189888,0.5157500505447388,0.04233129322528839,0.08496961742639542,0.7514970302581787,0.0039617158472537994
credit_card_clients_default,BetaTabPFN_GPU,20000,10000,0.2640947699546814,0.4215589761734009,0.007283903658390045,0.011624740436673164,0.8223000168800354,0.05183381959795952
customer_satisfaction_in_airline,BetaTabPFN_GPU,86586,43294,0.0708220899105072,0.11631172895431519,0.003395841922610998,0.00493044825270772,0.9498544931411743,0.21241962909698486
diabetes,BetaTabPFN_GPU,512,256,0.31393468379974365,0.47319334745407104,0.03774021193385124,0.06099840998649597,0.76171875,0.003659535199403763
hazelnut-spread-contaminant-detection,BetaTabPFN_GPU,1600,800,0.12414234131574631,0.21265676617622375,0.009091600775718689,0.025463316589593887,0.9175000190734863,0.006366807967424393
heloc,BetaTabPFN_GPU,6972,3487,0.36360710859298706,0.5430822968482971,0.008959367871284485,0.022762976586818695,0.728419840335846,0.019699398428201675
in_vehicle_coupon_recommendation,BetaTabPFN_GPU,8456,4228,0.31998300552368164,0.48824793100357056,0.016422975808382034,0.021761570125818253,0.7675023674964905,0.023108255118131638
jm1,BetaTabPFN_GPU,7256,3629,0.268605500459671,0.4255823791027069,0.00862724706530571,0.01796652004122734,0.8142738938331604,0.02006940171122551
kddcup09_appetency,BetaTabPFN_GPU,33333,16667,0.03402243182063103,0.07953716814517975,0.004336086101830006,0.0014738735044375062,0.9821803569793701,0.08450695872306824
online_shoppers_intention,BetaTabPFN_GPU,8220,4110,0.14170046150684357,0.22839652001857758,0.006188804749399424,0.007471104152500629,0.9007299542427063,0.022103779017925262
polish_companies_bankruptcy,BetaTabPFN_GPU,3940,1970,0.04543479159474373,0.08644551783800125,0.006901495158672333,0.013163498602807522,0.9751269221305847,0.012220583856105804
qsar-biodeg,BetaTabPFN_GPU,702,352,0.19952327013015747,0.33293429017066956,0.04336812347173691,0.05764196813106537,0.8693181872367859,0.004061710089445114
seismic-bumps,BetaTabPFN_GPU,1722,862,0.1099616289138794,0.20359690487384796,0.009986286982893944,0.012518197298049927,0.9338747262954712,0.006709657609462738
taiwanese_bankruptcy_prediction,BetaTabPFN_GPU,4546,2273,0.04364519566297531,0.0794331431388855,0.003538291435688734,0.009824281558394432,0.9727232456207275,0.013592861592769623
APSFailure,ModernNCA_GPU,50666,25334,0.00930775422602892,0.017822351306676865,0.0018439777195453644,0.003711118595674634,0.9940791130065918,0.12522803246974945
Amazon_employee_access,ModernNCA_GPU,21846,10923,0.09116790443658829,0.1757688671350479,0.048522353172302246,0.047329556196928024,0.9494644403457642,0.05623245984315872
Bank_Customer_Churn,ModernNCA_GPU,6666,3334,0.19880658388137817,0.32531818747520447,0.012553209438920021,0.023365618661046028,0.8680263757705688,0.018777452409267426
Bioresponse,ModernNCA_GPU,2500,1251,0.2962701916694641,0.46285954117774963,0.03492920845746994,0.06737110018730164,0.7977617979049683,0.008379247039556503
