dataset,model,cal_size,test_size,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_kuiper,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
E-CommereShippingData,Mitra_GPU,7332,3667,0.3550632524655009,0.49636125189904867,0.032715827226638794,0.019119752570986748,0.6896646022796631,0.0135886799544096
Fitness_Club,Mitra_GPU,1000,500,0.30936969693774824,0.4728180004409854,0.015514329075813293,0.036898206919431686,0.7799999713897705,0.0034162625670433044
Is-this-a-good-customer,Mitra_GPU,1148,575,0.19380100989596086,0.3298117113061151,0.031200755387544632,0.03181188926100731,0.8782608509063721,0.00414101779460907
Marketing_Campaign,Mitra_GPU,1493,747,0.1416543144749923,0.23067649968455994,0.016087055206298828,0.03499586507678032,0.8929049372673035,0.011550221592187881
NATICUSdroid,Mitra_GPU,4994,2497,0.0859457322164723,0.145816512041404,0.008920423686504364,0.012358354404568672,0.9399279356002808,0.026545586064457893
blood-transfusion-service-center,Mitra_GPU,498,250,0.3036484566307567,0.4872635254809105,0.05391675606369972,0.11384502053260803,0.8119999766349792,0.002148836851119995
churn,Mitra_GPU,3333,1667,0.04270961708105626,0.10000655551378768,0.012783573940396309,0.016722477972507477,0.9760047793388367,0.009547848254442215
coil2000_insurance_policies,Mitra_GPU,6548,3274,0.10660948813819131,0.2031972220146546,0.008827307261526585,0.004890962969511747,0.9404398202896118,0.006007207557559013
credit-g,Mitra_GPU,666,334,0.3363911366503852,0.5166158016773424,0.04610038548707962,0.07066647708415985,0.757485032081604,0.002734838053584099
diabetes,Mitra_GPU,512,256,0.3228758797187465,0.48407530880866434,0.03743481636047363,0.04308309406042099,0.76171875,0.004132036119699478
hazelnut-spread-contaminant-detection,Mitra_GPU,1600,800,0.08690080414260307,0.1517527811248207,0.019033674150705338,0.03177618980407715,0.9412500262260437,0.025030536577105522
heloc,Mitra_GPU,6972,3487,0.3643286937308234,0.5446006562261028,0.013247504830360413,0.02066287212073803,0.735589325428009,0.005139404907822609
in_vehicle_coupon_recommendation,Mitra_GPU,8456,4228,0.3224138113851375,0.49355777969369086,0.03575959801673889,0.035318002104759216,0.767029345035553,0.007884373888373375
jm1,Mitra_GPU,7256,3629,0.2665240479560561,0.42370393775223775,0.014337208122015,0.018565068021416664,0.8170294761657715,0.00488319993019104
online_shoppers_intention,Mitra_GPU,8220,4110,0.140409845639339,0.22546387951182228,0.005204390734434128,0.01738324947655201,0.8990267515182495,0.024895278736948967
polish_companies_bankruptcy,Mitra_GPU,3940,1970,0.04249496768831436,0.0815049301782883,0.01180742122232914,0.02291570045053959,0.9746192693710327,0.029942236840724945
qsar-biodeg,Mitra_GPU,702,352,0.18828387720160897,0.31808278368335857,0.034233395010232925,0.045810285955667496,0.8806818127632141,0.006113007664680481
seismic-bumps,Mitra_GPU,1722,862,0.10976285324300182,0.20460214989026454,0.016107361763715744,0.014671025797724724,0.9338747262954712,0.003663875162601471
taiwanese_bankruptcy_prediction,Mitra_GPU,4546,2273,0.0438184155692323,0.08087980531684802,0.006578006315976381,0.008249413222074509,0.9718433618545532,0.021793007850646973
APSFailure,TabDPT_GPU,50666,25334,0.011267844450364023,0.020273572145714236,0.0008526166202500463,0.0015645273961126804,0.9919081330299377,0.5209436807781458
Amazon_employee_access,TabDPT_GPU,21846,10923,0.08093303945124826,0.15610832241264888,0.004642575979232788,0.00474210549145937,0.9482742547988892,0.05268586426973343
Bank_Customer_Churn,TabDPT_GPU,6666,3334,0.19921706858813049,0.3265839037031413,0.006781281903386116,0.011774485930800438,0.8638272285461426,0.030080502852797508
Bioresponse,TabDPT_GPU,2500,1251,0.28101315665289317,0.4398352325863483,0.0260744821280241,0.04427644982933998,0.8049560189247131,0.015485689043998718
Diabetes130US,TabDPT_GPU,47678,23840,0.15548928257301126,0.2844832771741351,0.008101304993033409,0.0037641662638634443,0.9121224880218506,0.04942718334496021
E-CommereShippingData,TabDPT_GPU,7332,3667,0.35621083126023845,0.49950035446842317,0.03557772934436798,0.012363309040665627,0.6891191601753235,0.047554969787597656
Fitness_Club,TabDPT_GPU,1000,500,0.3158204374160839,0.4804918484082037,0.022325318306684494,0.057946935296058655,0.7639999985694885,0.00811847299337387
