dataset,model,cal_size,test_size,Quadratic_brier,Quadratic_logloss,Quadratic_kuiper,Quadratic_ece-15,Quadratic_accuracy,Quadratic_time
polish_companies_bankruptcy,TabPFN-v2.6,3940,1970,0.024828897497936105,0.052264659761686726,0.004404112230986357,0.006431296933442354,0.9857867956161499,0.008418275974690914
qsar-biodeg,TabPFN-v2.6,702,352,0.1866437987697638,0.3167402841878525,0.03485379368066788,0.037189632654190063,0.8778409361839294,0.0036773672327399254
seismic-bumps,TabPFN-v2.6,1722,862,0.11059799798577871,0.20413846388497467,0.010251346975564957,0.013880187645554543,0.9338747262954712,0.004884733818471432
taiwanese_bankruptcy_prediction,TabPFN-v2.6,4546,2273,0.04311097008645453,0.07767180105404084,0.004101164638996124,0.007302046753466129,0.9727232456207275,0.008197133429348469
APSFailure,TabICLv2,50666,25334,0.00791074702885571,0.014412421990605159,0.0006039629806764424,0.0010165408020839095,0.9949474930763245,0.06748345773667097
Amazon_employee_access,TabICLv2,21846,10923,0.08108803686579605,0.1557202122687762,0.0028296182863414288,0.003814947558566928,0.9489151239395142,0.026126393117010593
Bank_Customer_Churn,TabICLv2,6666,3334,0.19657084693507723,0.3216770772395066,0.010777359828352928,0.02708778902888298,0.8680263757705688,0.010235496796667576
Bioresponse,TabICLv2,2500,1251,0.2908049790297364,0.44989947291960986,0.03088451363146305,0.049813080579042435,0.7977617979049683,0.004061823710799217
Diabetes130US,TabICLv2,47678,23840,0.1540048263216241,0.2809296368489231,0.002646487206220627,0.004810556303709745,0.9119547009468079,0.042310310527682304
E-CommereShippingData,TabICLv2,7332,3667,0.3539187708507061,0.4946740253281605,0.00882256031036377,0.005179909057915211,0.6888464689254761,0.009669503197073936
Fitness_Club,TabICLv2,1000,500,0.3131579114113473,0.475478082309519,0.021585501730442047,0.05446268990635872,0.7760000228881836,0.002957640215754509
GiveMeSomeCredit,TabICLv2,100000,50000,0.09738698165194948,0.17552907562669545,0.0009748339653015137,0.0022716287057846785,0.9376199841499329,0.09018433559685946
HR_Analytics_Job_Change_of_Data_Scientists,TabICLv2,12772,6386,0.26768247945667223,0.4222254984853443,0.008820988237857819,0.015172886662185192,0.8050422668457031,0.01873607002198696
Is-this-a-good-customer,TabICLv2,1148,575,0.1875578947021155,0.318901263108153,0.016274575144052505,0.03458142280578613,0.8852173686027527,0.004672005772590637
Marketing_Campaign,TabICLv2,1493,747,0.13447713161649644,0.2136549636592234,0.013862637802958488,0.026445137336850166,0.8955823183059692,0.004149540327489376
NATICUSdroid,TabICLv2,4994,2497,0.07998183647232676,0.13567967567422828,0.004035424441099167,0.00998476892709732,0.9447336792945862,0.009771076962351799
bank-marketing,TabICLv2,30140,15071,0.17123983010743143,0.29863614428550317,0.006212109699845314,0.012063587084412575,0.8943003416061401,0.027803528122603893
blood-transfusion-service-center,TabICLv2,498,250,0.2986234965480828,0.4747638373848027,0.04019743204116821,0.07745438814163208,0.7919999957084656,0.003352721221745014
churn,TabICLv2,3333,1667,0.05016844993954679,0.11250027885253278,0.011527040973305702,0.012816222384572029,0.9712057709693909,0.006719747558236122
coil2000_insurance_policies,TabICLv2,6548,3274,0.10524935538328167,0.19936104511991737,0.004572585225105286,0.0033501714933663607,0.9404398202896118,0.008976029232144356
credit-g,TabICLv2,666,334,0.32899382091053453,0.49959206229305053,0.0403849333524704,0.06401531398296356,0.7514970302581787,0.002501238137483597
credit_card_clients_default,TabICLv2,20000,10000,0.2617318045611337,0.4183278039450943,0.005066870711743832,0.011342723853886127,0.8226000070571899,0.01976789627224207
customer_satisfaction_in_airline,TabICLv2,86586,43294,0.05297966457767574,0.08425028439656922,0.0011978964321315289,0.003700337838381529,0.9621425867080688,0.09678804874420166
diabetes,TabICLv2,512,256,0.3044365553604825,0.46472983796123246,0.023855790495872498,0.08745324611663818,0.765625,0.003082037903368473
hazelnut-spread-contaminant-detection,TabICLv2,1600,800,0.050491824139695794,0.09040174962347479,0.0063667334616184235,0.01977100968360901,0.9637500047683716,0.0050766728818416595
heloc,TabICLv2,6972,3487,0.3626450300669127,0.5420718515519928,0.010793324559926987,0.015930376946926117,0.7307140827178955,0.004874496720731258
in_vehicle_coupon_recommendation,TabICLv2,8456,4228,0.3115560970679188,0.47819019974842253,0.00995934009552002,0.026077190414071083,0.7790917754173279,0.008621620945632458
jm1,TabICLv2,7256,3629,0.2607131905368971,0.41317090440773874,0.016906794160604477,0.016698915511369705,0.8208872675895691,0.008181569166481495
kddcup09_appetency,TabICLv2,33333,16667,0.03352906671337128,0.07645456139436499,0.0016869124956429005,0.0015120251337066293,0.9821803569793701,0.034590558148920536
online_shoppers_intention,TabICLv2,8220,4110,0.14040058717147302,0.2245359838837771,0.005821671336889267,0.010914583690464497,0.9002432823181152,0.012216536328196526
polish_companies_bankruptcy,TabICLv2,3940,1970,0.030472374534104122,0.06183415982586671,0.007893778383731842,0.011307387612760067,0.9832487106323242,0.008017580024898052
qsar-biodeg,TabICLv2,702,352,0.1734494626207956,0.3007204953590427,0.03286375105381012,0.05911090224981308,0.8920454382896423,0.003638249821960926
seismic-bumps,TabICLv2,1722,862,0.10963028193258713,0.20304840849873523,0.01235012337565422,0.01642722263932228,0.9338747262954712,0.005402435548603535
taiwanese_bankruptcy_prediction,TabICLv2,4546,2273,0.04244557977885771,0.07877355915465314,0.005766028072685003,0.007706123404204845,0.9705235362052917,0.008419059216976166
APSFailure,RealTabPFN-v2.5,50666,25334,0.008646706367842417,0.016269506184773026,0.0003594044246710837,0.001176389865577221,0.9945132732391357,0.05067872442305088
Amazon_employee_access,RealTabPFN-v2.5,21846,10923,0.08285863059562157,0.15899615611786538,0.002911509945988655,0.0060881394892930984,0.9471756815910339,0.03604327607899904
Bank_Customer_Churn,RealTabPFN-v2.5,6666,3334,0.19431170500588923,0.31823241806222646,0.008559361100196838,0.02001204714179039,0.8689262270927429,0.009071117267012596
Bioresponse,RealTabPFN-v2.5,2500,1251,0.2710838172066421,0.4209880423583962,0.022595690563321114,0.03739890083670616,0.81135094165802,0.0040738461539149284
Diabetes130US,RealTabPFN-v2.5,47678,23840,0.15400525747644103,0.2814733818401886,0.004335159435868263,0.004700740799307823,0.911828875541687,0.05020423512905836
E-CommereShippingData,RealTabPFN-v2.5,7332,3667,0.35454667463294726,0.49534898656509446,0.011673316359519958,0.005651318933814764,0.6893918514251709,0.008607758209109306
Fitness_Club,RealTabPFN-v2.5,1000,500,0.3133073373697675,0.4755868669573385,0.02010505273938179,0.05438951775431633,0.7760000228881836,0.003715408965945244
GiveMeSomeCredit,RealTabPFN-v2.5,100000,50000,0.09702653511506892,0.17541798964793873,0.002544153481721878,0.004343637265264988,0.9383400082588196,0.06534282490611076
HR_Analytics_Job_Change_of_Data_Scientists,RealTabPFN-v2.5,12772,6386,0.26834230026552053,0.42351953789677166,0.009624287486076355,0.012417349964380264,0.8056686520576477,0.017187295481562614
Is-this-a-good-customer,RealTabPFN-v2.5,1148,575,0.19663963508909674,0.3354878613883089,0.02017756551504135,0.02883591316640377,0.8695651888847351,0.004491366446018219
Marketing_Campaign,RealTabPFN-v2.5,1493,747,0.13175954377219742,0.21121419606194897,0.013549016788601875,0.02527407370507717,0.9036144614219666,0.005172026343643665
NATICUSdroid,RealTabPFN-v2.5,4994,2497,0.08402255408363013,0.14424081396216892,0.0053768036887049675,0.009954405017197132,0.9431317448616028,0.008377449586987495
bank-marketing,RealTabPFN-v2.5,30140,15071,0.17117507627189357,0.2985078519905827,0.002878013998270035,0.005391622893512249,0.8941012620925903,0.021773467771708965
blood-transfusion-service-center,RealTabPFN-v2.5,498,250,0.30872941496657064,0.4954573162686036,0.05785384029150009,0.1122485101222992,0.7879999876022339,0.0033520134165883064
churn,RealTabPFN-v2.5,3333,1667,0.04939712013950497,0.10629979760423106,0.008526726625859737,0.014339622110128403,0.9676064848899841,0.0069636814296245575
coil2000_insurance_policies,RealTabPFN-v2.5,6548,3274,0.10619294494587601,0.2019349339783082,0.008055079728364944,0.009406018070876598,0.9401344060897827,0.020769545808434486
