dataset,model,cal_size,test_size,Isotonic_brier,Isotonic_logloss,Isotonic_kuiper,Isotonic_ece-15,Isotonic_accuracy,Isotonic_time
E-CommereShippingData,RealTabPFN-v2.5,7332,3667,0.35553564316373054,0.5191351658415738,0.06452322006225586,0.022016899660229683,0.685846745967865,0.012567471014335752
Fitness_Club,RealTabPFN-v2.5,1000,500,0.3142467579896138,0.6454610396978397,0.028819570317864418,0.05610119551420212,0.7620000243186951,0.0072426850674673915
GiveMeSomeCredit,RealTabPFN-v2.5,100000,50000,0.09706632539427151,0.1755172788655086,0.0027664010412991047,0.0033594996202737093,0.938539981842041,0.10491820995230228
HR_Analytics_Job_Change_of_Data_Scientists,RealTabPFN-v2.5,12772,6386,0.26759512156444026,0.4228000527019075,0.007170923054218292,0.010564726777374744,0.8083307147026062,0.018682476016692817
Is-this-a-good-customer,RealTabPFN-v2.5,1148,575,0.2065250295057397,0.7928248485199746,0.03296975791454315,0.036127280443906784,0.8695651888847351,0.007598069962114096
Marketing_Campaign,RealTabPFN-v2.5,1493,747,0.13347687225466393,0.21149262259172905,0.016940485686063766,0.024459145963191986,0.8995984196662903,0.0074181120144203305
NATICUSdroid,RealTabPFN-v2.5,4994,2497,0.08570780416908806,0.3088111308557904,0.009176339022815228,0.009765665978193283,0.9399279356002808,0.010558868991211057
bank-marketing,RealTabPFN-v2.5,30140,15071,0.1713920158616328,0.29888243809862813,0.00727466493844986,0.005551724694669247,0.8940349221229553,0.03480778599623591
blood-transfusion-service-center,RealTabPFN-v2.5,498,250,0.300446546687186,0.48584685714801046,0.045081932097673416,0.09725858271121979,0.8119999766349792,0.006676345015875995
churn,RealTabPFN-v2.5,3333,1667,0.050686173513152105,0.10754137397786087,0.015260124579071999,0.015528926625847816,0.9682063460350037,0.009102674084715545
coil2000_insurance_policies,RealTabPFN-v2.5,6548,3274,0.10561117281845829,0.20111948671930474,0.010792730376124382,0.0063192169182002544,0.9404398202896118,0.011849856935441494
credit-g,RealTabPFN-v2.5,666,334,0.3326629986187232,0.5037659335410078,0.047082290053367615,0.06367705017328262,0.7544910311698914,0.006855265004560351
credit_card_clients_default,RealTabPFN-v2.5,20000,10000,0.26241941636211097,0.41957642403783557,0.014103204011917114,0.010444522835314274,0.822700023651123,0.02524185401853174
customer_satisfaction_in_airline,RealTabPFN-v2.5,86586,43294,0.053995996098955876,0.08720833116873272,0.002695180010050535,0.003232823219150305,0.9625121355056763,0.08251174294855446
diabetes,RealTabPFN-v2.5,512,256,0.31120480468682216,0.4705046809539439,0.03505606949329376,0.06066364422440529,0.7734375,0.006943452055566013
hazelnut-spread-contaminant-detection,RealTabPFN-v2.5,1600,800,0.06547122058527151,0.2169095360117376,0.007917523384094238,0.00904979556798935,0.9587500095367432,0.007886263076215982
heloc,RealTabPFN-v2.5,6972,3487,0.3659433614839712,0.6184568647423835,0.015019342303276062,0.02390291914343834,0.7312876582145691,0.012750871013849974
in_vehicle_coupon_recommendation,RealTabPFN-v2.5,8456,4228,0.3072025688920119,0.4914332157675992,0.012118224054574966,0.026528123766183853,0.7816934585571289,0.01357192499563098
jm1,RealTabPFN-v2.5,7256,3629,0.26097274569950574,0.5044423866501991,0.01564762368798256,0.01466458011418581,0.8184072971343994,0.013593459036201239
kddcup09_appetency,RealTabPFN-v2.5,33333,16667,0.033342439412134335,0.07533713710793882,0.002752959728240967,0.0005744457594119012,0.9821803569793701,0.037589110899716616
online_shoppers_intention,RealTabPFN-v2.5,8220,4110,0.13924199774981108,0.24354070586557597,0.0065338462591171265,0.00834841001778841,0.9021897912025452,0.013988821068778634
polish_companies_bankruptcy,RealTabPFN-v2.5,3940,1970,0.022133239843537086,0.1708389693978859,0.00509857339784503,0.008562733419239521,0.9873096346855164,0.009893027949146926
qsar-biodeg,RealTabPFN-v2.5,702,352,0.18405656362460887,0.5437027520134619,0.033613599836826324,0.04992363974452019,0.8778409361839294,0.006699700024910271
seismic-bumps,RealTabPFN-v2.5,1722,862,0.10980446538810754,0.2014113494033085,0.019853336736559868,0.008152022026479244,0.9338747262954712,0.007749969023279846
taiwanese_bankruptcy_prediction,RealTabPFN-v2.5,4546,2273,0.043094290700248825,0.07857519988169626,0.006327390670776367,0.006544705014675856,0.9714034199714661,0.010243008029647171
APSFailure,TabICL_GPU,50666,25334,0.00879782623961556,0.022812412088955448,0.0007461653440259397,0.0013116449117660522,0.9943948984146118,0.05367986299097538
