dataset,model,cal_size,test_size,CDF-Spline_brier,CDF-Spline_logloss,CDF-Spline_kuiper,CDF-Spline_ece-15,CDF-Spline_accuracy,CDF-Spline_time
Bank_Customer_Churn,TabICLv2,6666,3334,0.19654540135829932,0.3220749909700654,0.010436860844492912,0.024759169667959213,0.8680263757705688,0.03980796504765749
Bioresponse,TabICLv2,2500,1251,0.28992377407149666,0.44855712190593017,0.0276933703571558,0.045308906584978104,0.8001598715782166,0.01463809423148632
Diabetes130US,TabICLv2,47678,23840,0.1541470506353745,0.2813037063767846,0.004002898931503296,0.006510276813060045,0.9119966626167297,0.2785816742107272
E-CommereShippingData,TabICLv2,7332,3667,0.3540898088656578,,0.012024514377117157,0.0037841268349438906,0.6880283355712891,0.043655797839164734
Fitness_Club,TabICLv2,1000,500,0.31391886073840636,0.4760591241777993,0.02107309177517891,0.04713353142142296,0.777999997138977,0.006699584890156984
GiveMeSomeCredit,TabICLv2,100000,50000,0.0973709044627567,0.17553914091438852,0.0010483339428901672,0.002094539115205407,0.9376400113105774,0.5848260400816798
HR_Analytics_Job_Change_of_Data_Scientists,TabICLv2,12772,6386,0.2673596578198951,0.4219405272593512,0.007387347519397736,0.01310587115585804,0.8075477480888367,0.07567513082176447
Is-this-a-good-customer,TabICLv2,1148,575,0.18854172257521526,0.32264436734184093,0.013787560164928436,0.02603224664926529,0.8799999952316284,0.007349508814513683
Marketing_Campaign,TabICLv2,1493,747,0.1347921887018793,,0.014542413875460625,0.030463602393865585,0.8955823183059692,0.009651952888816595
NATICUSdroid,TabICLv2,4994,2497,0.08018122864296985,,0.004653576761484146,0.010369943454861641,0.9459351301193237,0.029504242818802595
bank-marketing,TabICLv2,30140,15071,0.17130056753829215,0.29885425718738756,0.0066244937479496,0.012947981245815754,0.8938358426094055,0.17727176193147898
blood-transfusion-service-center,TabICLv2,498,250,0.3027453685192412,,0.04524680972099304,0.09048251807689667,0.8040000200271606,0.00374349532648921
churn,TabICLv2,3333,1667,0.050082755913608674,,0.011392144486308098,0.01413547433912754,0.9712057709693909,0.020111197140067816
