dataset,model,cal_size,test_size,CB-monotone_brier,CB-monotone_logloss,CB-monotone_kuiper,CB-monotone_ece-15,CB-monotone_accuracy,CB-monotone_time
churn,RealTabPFN-v2.5,3333,1667,0.05039614629064491,0.10813911494509003,0.010057156905531883,0.013059187680482864,0.9682063460350037,0.2063998021185398
coil2000_insurance_policies,RealTabPFN-v2.5,6548,3274,0.10559792381438646,0.20066148130189396,0.006374003365635872,0.006644324865192175,0.9404398202896118,0.2600257620215416
credit-g,RealTabPFN-v2.5,666,334,0.33240578907735135,0.5022319534268941,0.03868573158979416,0.060156870633363724,0.7604790329933167,0.17417434975504875
credit_card_clients_default,RealTabPFN-v2.5,20000,10000,0.26270024163171,0.4199282479513783,0.005834485869854689,0.01015649177134037,0.8228999972343445,0.4056086204946041
customer_satisfaction_in_airline,RealTabPFN-v2.5,86586,43294,0.05396305876876695,0.08717625249154244,0.0016508297994732857,0.003134510712698102,0.9626275897026062,1.109800934791565
diabetes,RealTabPFN-v2.5,512,256,0.30589372645559654,0.4635719389748176,0.02071969397366047,0.06724881380796432,0.7734375,0.16582066193223
hazelnut-spread-contaminant-detection,RealTabPFN-v2.5,1600,800,0.06476897036847495,0.11570408439053366,0.00795544683933258,0.010100028477609158,0.9587500095367432,0.18899230286478996
heloc,RealTabPFN-v2.5,6972,3487,0.36416935341057444,0.5440866167547087,0.013940397650003433,0.019719887524843216,0.7304273247718811,0.2637566849589348
in_vehicle_coupon_recommendation,RealTabPFN-v2.5,8456,4228,0.3072766481333762,0.47199328809821123,0.012393634766340256,0.026522746309638023,0.7814569473266602,0.2858084999024868
jm1,RealTabPFN-v2.5,7256,3629,0.2608383624934039,0.4145563257497452,0.006872836500406265,0.016979126259684563,0.8173050284385681,0.26808376237750053
kddcup09_appetency,RealTabPFN-v2.5,33333,16667,0.03338343449285771,0.07536964569090306,0.0022136797197163105,0.001066859345883131,0.9821803569793701,0.5389802120625973
online_shoppers_intention,RealTabPFN-v2.5,8220,4110,0.13937072802030664,0.22376719257407737,0.00420401431620121,0.009335603564977646,0.901946485042572,0.28269775211811066
polish_companies_bankruptcy,RealTabPFN-v2.5,3940,1970,0.022448337173528364,0.048067283900325365,0.005338694434612989,0.007770163007080555,0.9873096346855164,0.21266008913516998
qsar-biodeg,RealTabPFN-v2.5,702,352,0.18424931309019305,0.3084020568878883,0.03046724572777748,0.045792847871780396,0.8778409361839294,0.17553478851914406
seismic-bumps,RealTabPFN-v2.5,1722,862,0.10948677251261854,0.20211273698214227,0.011856752447783947,0.00981833040714264,0.9338747262954712,0.18478082120418549
taiwanese_bankruptcy_prediction,RealTabPFN-v2.5,4546,2273,0.043639067811609825,0.0785505649204193,0.004871139768511057,0.008426688611507416,0.9705235362052917,0.22348105534911156
APSFailure,TabICL_GPU,50666,25334,0.008877861858485929,0.01637471121804991,0.0008789002895355225,0.001233419170603156,0.9943948984146118,0.660934142768383
Amazon_employee_access,TabICL_GPU,21846,10923,0.08064232463529987,0.15514993422100792,0.0020659291185438633,0.003512301482260227,0.9485489130020142,0.4222575016319752
Bank_Customer_Churn,TabICL_GPU,6666,3334,0.19973117784666314,0.3270921543850662,0.008009887300431728,0.012916918843984604,0.8659268021583557,0.2474794127047062
Diabetes130US,TabICL_GPU,47678,23840,0.15600063872738032,0.2854319037121677,0.004819322377443314,0.0022945008240640163,0.9119966626167297,0.6845404617488384
E-CommereShippingData,TabICL_GPU,7332,3667,0.3564053817173643,0.4976239118198442,0.0230372566729784,0.017657209187746048,0.6863921284675598,0.2647099830210209
Fitness_Club,TabICL_GPU,1000,500,0.3133033307782706,0.47801826823582655,0.022842127829790115,0.046215370297431946,0.7820000052452087,0.17726917192339897
GiveMeSomeCredit,TabICL_GPU,100000,50000,0.0979445168611498,0.17641585711423532,0.002829223871231079,0.0022913168650120497,0.9373400211334229,1.2346152812242508
HR_Analytics_Job_Change_of_Data_Scientists,TabICL_GPU,12772,6386,0.26842286418921757,0.42320040734328845,0.007824797183275223,0.012427572160959244,0.8066082000732422,0.324565626680851
Is-this-a-good-customer,TabICL_GPU,1148,575,0.18831568336102458,0.321230130972189,0.01754935458302498,0.017557784914970398,0.8852173686027527,0.1768171526491642
Marketing_Campaign,TabICL_GPU,1493,747,0.1438446193620163,0.22975165203990436,0.013348747044801712,0.03809292986989021,0.8955823183059692,0.18426022678613663
NATICUSdroid,TabICL_GPU,4994,2497,0.07895679099576895,0.13802019019435893,0.003944938071072102,0.010218468494713306,0.9471365809440613,0.22897977754473686
bank-marketing,TabICL_GPU,30140,15071,0.17200495320470255,0.2999057946584963,0.004734955728054047,0.00871275458484888,0.8942339420318604,0.5126472972333431
blood-transfusion-service-center,TabICL_GPU,498,250,0.31727113085309916,0.5016637696154904,0.05801263451576233,0.09901759028434753,0.8119999766349792,0.16768479719758034
churn,TabICL_GPU,3333,1667,0.06710549399984571,0.13675857178000544,0.008160712197422981,0.014851963147521019,0.9574085474014282,0.19752918183803558
coil2000_insurance_policies,TabICL_GPU,6548,3274,0.10578128880960176,0.2035330792853446,0.008600527420639992,0.006190356332808733,0.9404398202896118,0.25697723031044006
credit-g,TabICL_GPU,666,334,0.33826547856107636,0.5097468094628197,0.05327658727765083,0.08062108606100082,0.7544910311698914,0.1712748445570469
credit_card_clients_default,TabICL_GPU,20000,10000,0.2633624058830235,0.4210079931984299,0.009887699037790298,0.012065336108207703,0.8216000199317932,0.4090389125049114
customer_satisfaction_in_airline,TabICL_GPU,86586,43294,0.05711164522914707,0.0912220316086924,0.001978302374482155,0.0018873265944421291,0.9596942067146301,1.1085087917745113
diabetes,TabICL_GPU,512,256,0.3146813289997857,0.4745887482764517,0.025964129716157913,0.0630050003528595,0.76171875,0.1716298945248127
hazelnut-spread-contaminant-detection,TabICL_GPU,1600,800,0.06599530643507148,0.12032821242573644,0.01048455573618412,0.018829582259058952,0.9587500095367432,0.18393578752875328
heloc,TabICL_GPU,6972,3487,0.3653953764602168,0.5459895019389365,0.012681595981121063,0.023709407076239586,0.7310008406639099,0.26759861037135124
in_vehicle_coupon_recommendation,TabICL_GPU,8456,4228,0.30780826813468365,0.4733600186481708,0.010365776717662811,0.023445500060915947,0.7774361371994019,0.28550364822149277
jm1,TabICL_GPU,7256,3629,0.2561213025043893,0.4088714290553821,0.007410548627376556,0.009821753948926926,0.8225406408309937,0.26654211804270744
kddcup09_appetency,TabICL_GPU,33333,16667,0.0336930733375803,0.07720486376753999,0.0016627805307507515,0.00047032313887029886,0.9821803569793701,0.5494270697236061
online_shoppers_intention,TabICL_GPU,8220,4110,0.14105872393731417,0.22568213413671534,0.007033557631075382,0.012716169469058514,0.899756669998169,0.2818935699760914
polish_companies_bankruptcy,TabICL_GPU,3940,1970,0.042430710074178694,0.08065142868244564,0.005983822047710419,0.011508138850331306,0.9751269221305847,0.21982355415821075
qsar-biodeg,TabICL_GPU,702,352,0.17641935476467546,0.29582429437250096,0.03618265688419342,0.04766608402132988,0.8806818127632141,0.1769275665283203
seismic-bumps,TabICL_GPU,1722,862,0.11060942079116355,0.20463720526774543,0.012914127670228481,0.017277361825108528,0.9338747262954712,0.18306220322847366
taiwanese_bankruptcy_prediction,TabICL_GPU,4546,2273,0.04423081794095169,0.08118213043693506,0.005161141976714134,0.006400170270353556,0.9727232456207275,0.22458548471331596
Amazon_employee_access,LimiX_GPU,21846,10923,0.08280842352101433,0.1596335025635658,0.003305714577436447,0.003640095703303814,0.9477249979972839,0.4238247834146023
Bank_Customer_Churn,LimiX_GPU,6666,3334,0.19737665974650279,0.3231799579536005,0.009626615792512894,0.021114710718393326,0.8671265840530396,0.2443486452102661
Bioresponse,LimiX_GPU,2500,1251,0.2757119442634321,0.4269751096361502,0.02427348494529724,0.027883045375347137,0.7993605136871338,0.203566525131464
E-CommereShippingData,LimiX_GPU,7332,3667,0.3551902652105232,0.4966279366775989,0.025279372930526733,0.014392691664397717,0.6880283355712891,0.2704795226454735
Fitness_Club,LimiX_GPU,1000,500,0.31417709946844813,0.4789861682055133,0.018244989216327667,0.04418601468205452,0.7720000147819519,0.18846477940678596
HR_Analytics_Job_Change_of_Data_Scientists,LimiX_GPU,12772,6386,0.26817827814831674,0.4227966694874622,0.007647637277841568,0.012144234031438828,0.8077043294906616,0.3396700769662857
Is-this-a-good-customer,LimiX_GPU,1148,575,0.18795346317928907,0.3220043758562238,0.014398648403584957,0.010628024116158485,0.8852173686027527,0.16936983168125153
Marketing_Campaign,LimiX_GPU,1493,747,0.13279089261154678,0.21458103077200905,0.01465555652976036,0.024256553500890732,0.9022757411003113,0.17290622368454933
NATICUSdroid,LimiX_GPU,4994,2497,0.0846336529064825,0.14614790330184674,0.006612861528992653,0.012199190445244312,0.9435322284698486,0.22253714129328728
bank-marketing,LimiX_GPU,30140,15071,0.17171494505220417,0.2994793480140719,0.004998141899704933,0.009441429749131203,0.8943666815757751,0.4814540632069111
blood-transfusion-service-center,LimiX_GPU,498,250,0.30640401442274584,0.4877861653134217,0.05491945892572403,0.0905899852514267,0.8040000200271606,0.1641083024442196
churn,LimiX_GPU,3333,1667,0.06586228670574923,0.13747487998032762,0.011478673666715622,0.014015868306159973,0.9598080515861511,0.18964166194200516
coil2000_insurance_policies,LimiX_GPU,6548,3274,0.10560311371103882,0.19842298290508104,0.005638810805976391,0.005179660394787788,0.9404398202896118,0.24874965474009514
credit-g,LimiX_GPU,666,334,0.3120335264392028,0.48047929740853274,0.0451304167509079,0.07603929936885834,0.7994012236595154,0.16870002448558807
