dataset,model,cal_size,test_size,Affine_brier,Affine_logloss,Affine_kuiper,Affine_ece-15,Affine_accuracy,Affine_time
online_shoppers_intention,TabICLv2,8220,4110,0.14042803926190187,0.22459097925224206,0.006037596613168716,0.010309700854122639,0.9002432823181152,0.005868209525942802
polish_companies_bankruptcy,TabICLv2,3940,1970,0.03035114360521025,0.06180979723136628,0.0075680906884372234,0.010736287571489811,0.9817258715629578,0.003991913050413132
qsar-biodeg,TabICLv2,702,352,0.17322834790575173,0.30479420836030785,0.03189413249492645,0.054565686732530594,0.8920454382896423,0.0025745537132024765
seismic-bumps,TabICLv2,1722,862,0.10869019823283417,0.20186216755674607,0.011014845222234726,0.013341396115720272,0.9338747262954712,0.0035970984026789665
taiwanese_bankruptcy_prediction,TabICLv2,4546,2273,0.042530269421967325,0.07889748758470773,0.0060090902261435986,0.007896442897617817,0.9705235362052917,0.0047974782064557076
APSFailure,RealTabPFN-v2.5,50666,25334,0.008649682894000444,0.01624431903402177,0.00040403567254543304,0.0012572909472510219,0.9944738149642944,0.02394536230713129
Amazon_employee_access,RealTabPFN-v2.5,21846,10923,0.08273620534018683,0.15933611975426512,0.004010455682873726,0.005312128458172083,0.9479081034660339,0.016016491688787937
Bank_Customer_Churn,RealTabPFN-v2.5,6666,3334,0.19433117481345172,0.3181812761072131,0.008273638784885406,0.019371312111616135,0.8689262270927429,0.005048833787441254
Bioresponse,RealTabPFN-v2.5,2500,1251,0.27118647302585996,0.421115954444824,0.02304902672767639,0.03773453086614609,0.8129496574401855,0.0033335192129015923
Diabetes130US,RealTabPFN-v2.5,47678,23840,0.15400586139443118,0.28147338108046344,0.004373400006443262,0.00473031448200345,0.911828875541687,0.03031887859106064
E-CommereShippingData,RealTabPFN-v2.5,7332,3667,0.35503472428526023,0.49596632861559065,0.014123484492301941,0.01218164898455143,0.6863921284675598,0.006746474653482437
Fitness_Club,RealTabPFN-v2.5,1000,500,0.313206155869877,0.4754419113879969,0.0197218656539917,0.05405843257904053,0.7760000228881836,0.003178057260811329
GiveMeSomeCredit,RealTabPFN-v2.5,100000,50000,0.09702513054579788,0.1754187149203522,0.0025212354958057404,0.004261873196810484,0.9383999705314636,0.04497377574443817
HR_Analytics_Job_Change_of_Data_Scientists,RealTabPFN-v2.5,12772,6386,0.2684303649384079,0.42362141645232027,0.009795412421226501,0.013324380852282047,0.8048856854438782,0.009108707308769226
Is-this-a-good-customer,RealTabPFN-v2.5,1148,575,0.19537323024704506,0.3346294686963438,0.019152697175741196,0.03419530764222145,0.8747826218605042,0.003469538874924183
Marketing_Campaign,RealTabPFN-v2.5,1493,747,0.1317283927983965,0.21136891245937559,0.01344403624534607,0.02647516503930092,0.9036144614219666,0.0030785920098423958
NATICUSdroid,RealTabPFN-v2.5,4994,2497,0.08426574584327572,0.1436517975154171,0.006573645398020744,0.008472754620015621,0.9411293268203735,0.003903757780790329
bank-marketing,RealTabPFN-v2.5,30140,15071,0.17114723924909014,0.2984681004572599,0.002666289685294032,0.004727058112621307,0.8941676020622253,0.01437652762979269
blood-transfusion-service-center,RealTabPFN-v2.5,498,250,0.3061811677298862,0.49035892992001434,0.055000271648168564,0.10703396797180176,0.7960000038146973,0.00296829454600811
churn,RealTabPFN-v2.5,3333,1667,0.049385166276945426,0.10910695154817272,0.01236647553741932,0.013736393302679062,0.9682063460350037,0.0038903113454580307
coil2000_insurance_policies,RealTabPFN-v2.5,6548,3274,0.10574883495716143,0.21497427067934197,0.005854920484125614,0.006094361189752817,0.9404398202896118,0.010501417331397533
credit-g,RealTabPFN-v2.5,666,334,0.3302681507439877,0.4985702152179545,0.034816768020391464,0.05624450743198395,0.7634730339050293,0.002371266484260559
credit_card_clients_default,RealTabPFN-v2.5,20000,10000,0.2625229081068065,0.4195378226566585,0.0047021061182022095,0.012268160469830036,0.8227999806404114,0.014146363362669945
customer_satisfaction_in_airline,RealTabPFN-v2.5,86586,43294,0.05395882055955621,0.0873931181553199,0.0018161814659833908,0.0034536246675997972,0.9621887803077698,0.033311023376882076
diabetes,RealTabPFN-v2.5,512,256,0.30624258397285764,0.4623301922483074,0.020679378882050514,0.06921747326850891,0.7578125,0.0024381624534726143
hazelnut-spread-contaminant-detection,RealTabPFN-v2.5,1600,800,0.06516683636454582,0.11781963749131111,0.008134275674819946,0.014303410425782204,0.9574999809265137,0.0031415876001119614
heloc,RealTabPFN-v2.5,6972,3487,0.3635724066607207,0.5435469003105424,0.013090170919895172,0.01862628571689129,0.7301405072212219,0.004663568921387196
in_vehicle_coupon_recommendation,RealTabPFN-v2.5,8456,4228,0.306063641970379,0.47007479961896453,0.009627185761928558,0.01539781503379345,0.7816934585571289,0.005786160938441753
jm1,RealTabPFN-v2.5,7256,3629,0.2599188019559547,0.4119497041548999,0.00812339037656784,0.01547961961477995,0.8178561329841614,0.005895164795219898
