dataset,model,cal_size,test_size,CB-tiny_brier,CB-tiny_logloss,CB-tiny_kuiper,CB-tiny_ece-15,CB-tiny_accuracy,CB-tiny_time
E-CommereShippingData,BetaTabPFN_GPU,7332,3667,0.3566230612331889,0.49844878879321447,0.025297507643699646,0.023643629625439644,0.6883010864257812,0.09536201879382133
Fitness_Club,BetaTabPFN_GPU,1000,500,0.3135202234427341,0.47907598283735164,0.020977238193154335,0.043706174939870834,0.777999997138977,0.031508877873420715
GiveMeSomeCredit,BetaTabPFN_GPU,100000,50000,0.0974109553886162,0.1761873664368143,0.0013577267527580261,0.0028135974425822496,0.9381399750709534,0.6538535505533218
HR_Analytics_Job_Change_of_Data_Scientists,BetaTabPFN_GPU,12772,6386,0.2728369690467543,0.4292711646961775,0.01218583807349205,0.017130153253674507,0.8017538189888,0.13361912220716476
Is-this-a-good-customer,BetaTabPFN_GPU,1148,575,0.18961227434695932,0.3224359538676296,0.02075779438018799,0.02864334173500538,0.8834782838821411,0.03196381777524948
Marketing_Campaign,BetaTabPFN_GPU,1493,747,0.1364682657972755,0.22017262476948019,0.016869544982910156,0.03343135118484497,0.9022757411003113,0.03737360239028931
NATICUSdroid,BetaTabPFN_GPU,4994,2497,0.08594356298017225,0.14850170130082724,0.004861472174525261,0.009454823099076748,0.9427312612533569,0.06943376362323761
bank-marketing,BetaTabPFN_GPU,30140,15071,0.17286965099123722,0.301028372169998,0.004792548716068268,0.006409057416021824,0.8932386636734009,0.23758719861507416
blood-transfusion-service-center,BetaTabPFN_GPU,498,250,0.3118013608890842,0.509770797792547,0.04882737621665001,0.08721388876438141,0.8119999766349792,0.027446947991847992
churn,BetaTabPFN_GPU,3333,1667,0.06035872708643324,0.1260244531693112,0.009427770972251892,0.016361108049750328,0.9610077738761902,0.05285557731986046
coil2000_insurance_policies,BetaTabPFN_GPU,6548,3274,0.10611699097010235,0.203637177155902,0.005915115587413311,0.005793426651507616,0.9404398202896118,0.09199156239628792
credit-g,BetaTabPFN_GPU,666,334,0.3483658459296902,0.5229403340550306,0.053482428193092346,0.07833414524793625,0.727544903755188,0.029339756816625595
