dataset,model,cal_size,test_size,Platt_brier,Platt_logloss,Platt_kuiper,Platt_ece-15,Platt_accuracy,Platt_time
Is-this-a-good-customer,ModernNCA_GPU,1148,575,0.19151710852229054,0.3314970823696814,0.025678234174847603,0.028452249243855476,0.8817391395568848,0.008627396076917648
Marketing_Campaign,ModernNCA_GPU,1493,747,0.1434841236896247,0.24296844247025093,0.03673700988292694,0.06064699590206146,0.9022757411003113,0.010050950571894646
NATICUSdroid,ModernNCA_GPU,4994,2497,0.08880419135619844,0.15991257352924101,0.009818922728300095,0.02098659798502922,0.9411293268203735,0.01399057824164629
bank-marketing,ModernNCA_GPU,30140,15071,0.1741082622172561,0.3050192202011261,0.014893479645252228,0.018813978880643845,0.8941676020622253,0.07826728094369173
blood-transfusion-service-center,ModernNCA_GPU,498,250,0.3153418783514177,0.4995279503042345,0.0380391851067543,0.07658609002828598,0.7879999876022339,0.010821101255714893
churn,ModernNCA_GPU,3333,1667,0.06267642584891715,0.12942700130379098,0.0104508763179183,0.018623536452651024,0.9610077738761902,0.01047611329704523
coil2000_insurance_policies,ModernNCA_GPU,6548,3274,0.10676804785340077,0.20681962976863366,0.011112847365438938,0.010099806822836399,0.9410507082939148,0.02364306803792715
credit-g,ModernNCA_GPU,666,334,0.337855892291323,0.5121530915234833,0.028620276600122452,0.06778539717197418,0.7544910311698914,0.00832061842083931
credit_card_clients_default,ModernNCA_GPU,20000,10000,0.2650695937090005,0.4243316331247861,0.013742368668317795,0.027661573141813278,0.823199987411499,0.06684605590999126
customer_satisfaction_in_airline,ModernNCA_GPU,86586,43294,0.059608606877056894,0.10693436014248918,0.009122151881456375,0.015611895360052586,0.960387110710144,0.13908890914171934
diabetes,ModernNCA_GPU,512,256,0.32402134661931464,0.4878496722222412,0.042333949357271194,0.08256057649850845,0.73828125,0.008682407438755035
hazelnut-spread-contaminant-detection,ModernNCA_GPU,1600,800,0.08478579791130372,0.1551985553529132,0.011396119371056557,0.028215160593390465,0.9449999928474426,0.010580843314528465
heloc,ModernNCA_GPU,6972,3487,0.3629056541456164,0.5427742851377697,0.013062499463558197,0.022334124892950058,0.735589325428009,0.019430387765169144
in_vehicle_coupon_recommendation,ModernNCA_GPU,8456,4228,0.31672090753107457,0.48980656232083414,0.020295098423957825,0.0458405427634716,0.7779091596603394,0.02450757473707199
jm1,ModernNCA_GPU,7256,3629,0.2667899823596957,0.423160170241629,0.02007819339632988,0.036604803055524826,0.8148249983787537,0.018158347345888615
kddcup09_appetency,ModernNCA_GPU,33333,16667,0.033781757230780654,0.07889540243391628,0.0035966667346656322,0.0013741357252001762,0.9821803569793701,0.0581366466358304
online_shoppers_intention,ModernNCA_GPU,8220,4110,0.1450642624889987,0.24541699763000976,0.02263226918876171,0.025623394176363945,0.8995133638381958,0.01646323036402464
polish_companies_bankruptcy,ModernNCA_GPU,3940,1970,0.03926757034442098,0.08622104142741926,0.011430337093770504,0.015180065296590328,0.9766497611999512,0.01270436029881239
qsar-biodeg,ModernNCA_GPU,702,352,0.19048871747313337,0.3233787770746848,0.02957936003804207,0.0756162628531456,0.8551136255264282,0.008150569163262844
seismic-bumps,ModernNCA_GPU,1722,862,0.11198099972908904,0.2085626301086907,0.016284076496958733,0.02134781703352928,0.9338747262954712,0.010370742529630661
