dataset,model,cal_size,test_size,LightGBM_brier,LightGBM_logloss,LightGBM_kuiper,LightGBM_ece-15,LightGBM_accuracy,LightGBM_time
E-CommereShippingData,TabM_GPU,7332,3667,0.3591715291356502,0.500959383015021,0.026137858629226685,0.035463202744722366,0.6820288896560669,0.2413016241043806
Fitness_Club,TabM_GPU,1000,500,0.3248297963513852,0.4925914639909223,0.027832958847284317,0.039042722433805466,0.7620000243186951,0.05434265686199069
GiveMeSomeCredit,TabM_GPU,100000,50000,0.09698371829200915,0.17546998503855346,0.0016922327922657132,0.0025305268354713917,0.9387199878692627,2.3442372661083937
HR_Analytics_Job_Change_of_Data_Scientists,TabM_GPU,12772,6386,0.27075995076123777,0.42644476977595525,0.014229603111743927,0.020263053476810455,0.8023802042007446,0.3196653798222542
Is-this-a-good-customer,TabM_GPU,1148,575,0.1949926320266686,0.33530952153936655,0.01626376062631607,0.020820461213588715,0.8852173686027527,0.05655430303886533
Marketing_Campaign,TabM_GPU,1493,747,0.1450746109560601,0.23160466590150067,0.016714388504624367,0.025888845324516296,0.8955823183059692,0.06997798709198833
NATICUSdroid,TabM_GPU,4994,2497,0.08452659003639496,0.14443466228017388,0.0067596351727843285,0.013844124041497707,0.9411293268203735,0.18009304674342275
bank-marketing,TabM_GPU,30140,15071,0.1720570635879971,0.30008981840798304,0.005610316526144743,0.007379779126495123,0.8941676020622253,0.668980326037854
blood-transfusion-service-center,TabM_GPU,498,250,0.31043618943434637,0.4840884035415861,0.033367060124874115,0.0626184269785881,0.7760000228881836,0.03833624068647623
churn,TabM_GPU,3333,1667,0.06601855177466324,0.13895808534674126,0.015226484276354313,0.019351672381162643,0.9628074169158936,0.1235125819221139
coil2000_insurance_policies,TabM_GPU,6548,3274,0.10655376688862381,0.20446862491594567,0.004935143515467644,0.0037368410266935825,0.9404398202896118,0.17634582705795765
credit-g,TabM_GPU,666,334,0.34763205207581294,0.5248135873085542,0.045046769082546234,0.0798228457570076,0.742514967918396,0.046804073732346296
credit_card_clients_default,TabM_GPU,20000,10000,0.2641744116774525,0.42203981875818264,0.007462255656719208,0.013936612755060196,0.8219000101089478,0.4851283272728324
customer_satisfaction_in_airline,TabM_GPU,86586,43294,0.052600629033724984,0.08315750748028684,0.0009126188233494759,0.0031870349775999784,0.9624890089035034,2.1109599173069
diabetes,TabM_GPU,512,256,0.346641721353922,0.5210524589932164,0.033174559473991394,0.0975520983338356,0.765625,0.036680230870842934
hazelnut-spread-contaminant-detection,TabM_GPU,1600,800,0.11078895770484218,0.18472465935144874,0.01422107219696045,0.021511830389499664,0.9262499809265137,0.07873536786064506
heloc,TabM_GPU,6972,3487,0.36626461395756377,0.5462203818406893,0.013089757412672043,0.019883442670106888,0.7278462648391724,0.19358642119914293
in_vehicle_coupon_recommendation,TabM_GPU,8456,4228,0.30105765482202296,0.4642454701086482,0.016532383859157562,0.029206646606326103,0.7805109024047852,0.24206100590527058
jm1,TabM_GPU,7256,3629,0.27181119137613124,0.43133899844669926,0.00912681594491005,0.015634899958968163,0.810967206954956,0.1821925900876522
kddcup09_appetency,TabM_GPU,33333,16667,0.033552350385811947,0.07672203212526843,0.0013375841081142426,0.0009847102919593453,0.9821803569793701,0.7264205832034349
online_shoppers_intention,TabM_GPU,8220,4110,0.14228886717620182,0.22862321643666683,0.0072375331073999405,0.010545291937887669,0.9017031788825989,0.2530552982352674
polish_companies_bankruptcy,TabM_GPU,3940,1970,0.04127010795964358,0.07824906224294706,0.011182405054569244,0.014901023358106613,0.9741116762161255,0.1375696719624102
qsar-biodeg,TabM_GPU,702,352,0.18900092849323824,0.32072104535721074,0.03359676152467728,0.06016373261809349,0.8721590638160706,0.05089698592200875
seismic-bumps,TabM_GPU,1722,862,0.11630164583212987,0.21609896306534,0.010498475283384323,0.015194623731076717,0.9338747262954712,0.07037603901699185
taiwanese_bankruptcy_prediction,TabM_GPU,4546,2273,0.04559511781028135,0.08426602689809953,0.005263670347630978,0.008340086787939072,0.9731632471084595,0.13977167522534728
APSFailure,RealMLP_GPU,50666,25334,0.010845162720201765,0.02001471491609716,0.000900895509403199,0.0017009730217978358,0.9926580786705017,1.1797147560864687
Amazon_employee_access,RealMLP_GPU,21846,10923,0.0797965590027285,0.15189731967881676,0.005424562841653824,0.01013569999486208,0.9496475458145142,0.4649664289318025
Bank_Customer_Churn,RealMLP_GPU,6666,3334,0.19928587032285572,0.326095665847492,0.009039605036377907,0.015454065054655075,0.8671265840530396,0.21063878713175654
Bioresponse,RealMLP_GPU,2500,1251,0.2812562014711253,0.4409209847207145,0.02699388936161995,0.05315381661057472,0.7993605136871338,0.09951367601752281
Diabetes130US,RealMLP_GPU,47678,23840,0.15316690995169518,0.2790364550176808,0.005301777273416519,0.0073014176450669765,0.9119966626167297,0.9937300728634
E-CommereShippingData,RealMLP_GPU,7332,3667,0.3589203136566313,0.5031518294862274,0.020523622632026672,0.0326186902821064,0.6790291666984558,0.23818405158817768
Fitness_Club,RealMLP_GPU,1000,500,0.3136825034537262,0.4797234276956688,0.02208714559674263,0.022306084632873535,0.7739999890327454,0.049905631225556135
GiveMeSomeCredit,RealMLP_GPU,100000,50000,0.09739387711601472,0.1760933265500935,0.00175507552921772,0.0026905180420726538,0.9382399916648865,2.2638909607194364
HR_Analytics_Job_Change_of_Data_Scientists,RealMLP_GPU,12772,6386,0.27192436362575606,0.4272327536332447,0.012002885341644287,0.02081097848713398,0.7989351749420166,0.29359848983585835
Is-this-a-good-customer,RealMLP_GPU,1148,575,0.1894981653041213,0.3266891020675192,0.01611696183681488,0.009316143579781055,0.8852173686027527,0.046985961962491274
Marketing_Campaign,RealMLP_GPU,1493,747,0.14759195633382355,0.23800770201908214,0.010380914434790611,0.021403206512331963,0.898259699344635,0.06633085384964943
NATICUSdroid,RealMLP_GPU,4994,2497,0.08463063007126247,0.14517348277633807,0.006034301593899727,0.009601766243577003,0.9419302940368652,0.18054943904280663
bank-marketing,RealMLP_GPU,30140,15071,0.1716476415289993,0.299921744119695,0.005679840222001076,0.008346443995833397,0.8941012620925903,0.667666451074183
blood-transfusion-service-center,RealMLP_GPU,498,250,0.32133537108793075,0.5056598997745414,0.04676503688097,0.07728060334920883,0.7839999794960022,0.044093526899814606
churn,RealMLP_GPU,3333,1667,0.06481972967127635,0.1379263886587639,0.02133024111390114,0.0261423010379076,0.9616076946258545,0.12004615785554051
coil2000_insurance_policies,RealMLP_GPU,6548,3274,0.10669634720340394,0.20465783065931628,0.006682064384222031,0.006337204482406378,0.9404398202896118,0.16723194811493158
credit-g,RealMLP_GPU,666,334,0.3319219050999937,0.5040875508530724,0.04245511442422867,0.0443558506667614,0.7514970302581787,0.048535238951444626
credit_card_clients_default,RealMLP_GPU,20000,10000,0.26434984127548866,0.4230837077910035,0.008494332432746887,0.01708202250301838,0.823199987411499,0.4552902588620782
customer_satisfaction_in_airline,RealMLP_GPU,86586,43294,0.05344243654739614,0.08540552890671654,0.0012017044937238097,0.003239345271140337,0.962119460105896,2.130523534025997
diabetes,RealMLP_GPU,512,256,0.30200859161036403,0.45807137040137574,0.016131818294525146,0.027666227892041206,0.78125,0.0399150843732059
hazelnut-spread-contaminant-detection,RealMLP_GPU,1600,800,0.09078073446416506,0.1637327632954596,0.011306330561637878,0.025429783388972282,0.9375,0.0825013811700046
heloc,RealMLP_GPU,6972,3487,0.3621566497418782,0.5417132792146369,0.009807776659727097,0.021004166454076767,0.7330083250999451,0.19657480716705322
in_vehicle_coupon_recommendation,RealMLP_GPU,8456,4228,0.3054540683760956,0.4702301767984434,0.021403051912784576,0.036901772022247314,0.7819299697875977,0.23351424001157284
jm1,RealMLP_GPU,7256,3629,0.26845886282390236,0.42514655442675403,0.01090896874666214,0.018145976588129997,0.814549446105957,0.18991652596741915
kddcup09_appetency,RealMLP_GPU,33333,16667,0.0334167968283982,0.07563873968803768,0.001454874174669385,0.0008514377987012267,0.9821803569793701,0.7158571421168745
online_shoppers_intention,RealMLP_GPU,8220,4110,0.1442959187808556,0.2339634728038666,0.005865953862667084,0.0122671602293849,0.9012165665626526,0.26549697294831276
polish_companies_bankruptcy,RealMLP_GPU,3940,1970,0.044531284517430283,0.08736452791359794,0.00878922175616026,0.01196299958974123,0.9720812439918518,0.1337095140479505
qsar-biodeg,RealMLP_GPU,702,352,0.18625601641252293,0.3241357426790919,0.03647235780954361,0.07592667639255524,0.8920454382896423,0.05048254178836942
seismic-bumps,RealMLP_GPU,1722,862,0.11397016093481227,0.21370292787020853,0.008986182510852814,0.014493700116872787,0.9338747262954712,0.0654755481518805
taiwanese_bankruptcy_prediction,RealMLP_GPU,4546,2273,0.04561392256755212,0.08258648909851389,0.007452886085957289,0.011021011509001255,0.968323826789856,0.1392685603350401
APSFailure,BetaTabPFN_GPU,50666,25334,0.009458637142825348,0.01796042960611291,0.0011773816077038646,0.001533450442366302,0.9939212203025818,1.0904688918963075
Amazon_employee_access,BetaTabPFN_GPU,21846,10923,0.08838746316759133,0.16726457474257655,0.005682043731212616,0.009989780373871326,0.9454362392425537,0.49747661780565977
Bank_Customer_Churn,BetaTabPFN_GPU,6666,3334,0.19730552021934633,0.3230220096289214,0.009453968144953251,0.01964174583554268,0.8677264451980591,0.18953654495999217
