dataset,model,cal_size,test_size,Kernel_brier,Kernel_logloss,Kernel_kuiper,Kernel_ece-15,Kernel_accuracy,Kernel_time
online_shoppers_intention,TabPFN-v2.6,8220,4110,0.1405009925365448,0.22861343622207642,0.01751161552965641,0.022627491503953934,0.9031630158424377,1.7915743980556726
polish_companies_bankruptcy,TabPFN-v2.6,3940,1970,0.025197364389896393,0.05390271171927452,0.007184045854955912,0.007701977156102657,0.9847715497016907,0.3438578271307051
qsar-biodeg,TabPFN-v2.6,702,352,0.18851150572299957,0.32025930285453796,0.0447414256632328,0.05632506683468819,0.8778409361839294,0.010598850902169943
seismic-bumps,TabPFN-v2.6,1722,862,0.1152435764670372,0.21399004757404327,0.026008596643805504,0.01956206187605858,0.9338747262954712,0.04975527711212635
taiwanese_bankruptcy_prediction,TabPFN-v2.6,4546,2273,0.044325876981019974,0.08399513363838196,0.010154135525226593,0.011009491980075836,0.9727232456207275,0.4141830373555422
APSFailure,TabICLv2,50666,25334,0.008139592595398426,0.01724531501531601,0.0016330122016370296,0.0021210031118243933,0.9948290586471558,10.545059729833156
Amazon_employee_access,TabICLv2,21846,10923,0.08184617012739182,0.15927079319953918,0.012443933635950089,0.01078598853200674,0.9484573602676392,4.781711974181235
Bank_Customer_Churn,TabICLv2,6666,3334,0.19857417047023773,0.3273542523384094,0.0238364115357399,0.026925047859549522,0.8683263063430786,1.0482335868291557
Bioresponse,TabICLv2,2500,1251,0.29101958870887756,0.45163673162460327,0.02994729019701481,0.03839020058512688,0.8009592294692993,0.11674511944875121
Diabetes130US,TabICLv2,47678,23840,0.15639497339725494,0.2866755723953247,0.017188459634780884,0.021982168778777122,0.9119966626167297,9.840965972281992
E-CommereShippingData,TabICLv2,7332,3667,0.35388749837875366,0.4970947504043579,0.006471530068665743,0.006401756778359413,0.6888464689254761,1.4018464451655746
Fitness_Club,TabICLv2,1000,500,0.31607168912887573,0.4813275635242462,0.037735216319561005,0.06240313500165939,0.777999997138977,0.018012388609349728
GiveMeSomeCredit,TabICLv2,100000,50000,0.09909888356924057,0.18080739676952362,0.016178395599126816,0.01437134388834238,0.9342799782752991,21.697337615769356
HR_Analytics_Job_Change_of_Data_Scientists,TabICLv2,12772,6386,0.26723358035087585,0.42284050583839417,0.01248224452137947,0.010509331710636616,0.8081741333007812,3.092536853160709
Is-this-a-good-customer,TabICLv2,1148,575,0.19118139147758484,0.3270132839679718,0.03558097034692764,0.039678942412137985,0.8852173686027527,0.022534857038408518
Marketing_Campaign,TabICLv2,1493,747,0.1373685896396637,0.21896091103553772,0.028006594628095627,0.032715391367673874,0.898259699344635,0.04212326277047396
NATICUSdroid,TabICLv2,4994,2497,0.08154398947954178,0.14355036616325378,0.009424682706594467,0.019081734120845795,0.9459351301193237,0.8332108058966696
bank-marketing,TabICLv2,30140,15071,0.173068568110466,0.3028242290019989,0.01986210234463215,0.02719767764210701,0.8944330215454102,6.577520157210529
blood-transfusion-service-center,TabICLv2,498,250,0.3060486912727356,0.4789792597293854,0.050679221749305725,0.0797019749879837,0.7839999794960022,0.005849028006196022
churn,TabICLv2,3333,1667,0.050486527383327484,0.11491668969392776,0.010881376452744007,0.012111234478652477,0.9706058502197266,0.31146333320066333
coil2000_insurance_policies,TabICLv2,6548,3274,0.10672078281641006,0.20507818460464478,0.017345871776342392,0.013886097818613052,0.9404398202896118,0.8189502949826419
credit-g,TabICLv2,666,334,0.3264855742454529,0.49668240547180176,0.02103400230407715,0.048689961433410645,0.7634730339050293,0.00955676892772317
credit_card_clients_default,TabICLv2,20000,10000,0.2627851963043213,0.42001351714134216,0.011788737028837204,0.013876659795641899,0.8230000138282776,4.851540875155479
customer_satisfaction_in_airline,TabICLv2,86586,43294,0.05339623987674713,0.08902771025896072,0.0035232065711170435,0.006042031105607748,0.9621425867080688,37.74744245316833
diabetes,TabICLv2,512,256,0.30554476380348206,0.46417462825775146,0.03124179318547249,0.08160700649023056,0.7578125,0.005010431166738272
hazelnut-spread-contaminant-detection,TabICLv2,1600,800,0.05248640477657318,0.09708558768033981,0.013352794572710991,0.022186655551195145,0.9637500047683716,0.08713809167966247
