dataset,model,cal_size,test_size,CatBoost_brier,CatBoost_logloss,CatBoost_kuiper,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
credit_card_clients_default,RealMLP_GPU,20000,10000,0.2640735869135687,0.42256629464701234,0.00897674635052681,0.013926183804869652,0.8228999972343445,4.375484450720251
customer_satisfaction_in_airline,RealMLP_GPU,86586,43294,0.053360430989171904,0.08524340486125517,0.0009454116225242615,0.0031767517793923616,0.962119460105896,15.81894058920443
diabetes,RealMLP_GPU,512,256,0.3031522191358418,0.4617982340933314,0.0213483776897192,0.03480275347828865,0.78125,0.4661223809234798
hazelnut-spread-contaminant-detection,RealMLP_GPU,1600,800,0.08925667490074123,0.15965497722787125,0.015866931527853012,0.03573978692293167,0.9412500262260437,0.7967529082670808
heloc,RealMLP_GPU,6972,3487,0.36218220706538606,0.5416010483154471,0.009755469858646393,0.02032933197915554,0.7350157499313354,1.5153214382007718
in_vehicle_coupon_recommendation,RealMLP_GPU,8456,4228,0.30404092185830073,0.4679279130455704,0.01857762783765793,0.028456246480345726,0.7824030518531799,1.448240399826318
jm1,RealMLP_GPU,7256,3629,0.26822301691604583,0.425033761078786,0.009645652025938034,0.01751401647925377,0.8139983415603638,1.128306828904897
kddcup09_appetency,RealMLP_GPU,33333,16667,0.03337704789234868,0.07524955869007187,0.0007645413279533386,0.0007498300401493907,0.9821803569793701,4.8988545490428805
online_shoppers_intention,RealMLP_GPU,8220,4110,0.14415269756469845,0.23292290741090999,0.006110408343374729,0.012613140977919102,0.9007299542427063,1.5789150618948042
polish_companies_bankruptcy,RealMLP_GPU,3940,1970,0.04428756263420092,0.08960762497496153,0.00896280538290739,0.012132268399000168,0.972588837146759,0.8235045410692692
qsar-biodeg,RealMLP_GPU,702,352,0.18309538762070107,0.3145828218584533,0.032922983169555664,0.05814993754029274,0.8892045617103577,0.49654824240133166
seismic-bumps,RealMLP_GPU,1722,862,0.11157231435498179,0.20799647346582775,0.01141204871237278,0.007026774808764458,0.9338747262954712,0.6341897179372609
taiwanese_bankruptcy_prediction,RealMLP_GPU,4546,2273,0.04469355191093597,0.08069243641460168,0.007897922769188881,0.011729758232831955,0.967883825302124,0.7825350509956479
APSFailure,BetaTabPFN_GPU,50666,25334,0.009435943999748326,0.01771402614306203,0.0012149563990533352,0.0015328634763136506,0.9940396547317505,8.75812823139131
Amazon_employee_access,BetaTabPFN_GPU,21846,10923,0.08834180394735706,0.16731393917936802,0.006323672831058502,0.010398111306130886,0.9451615810394287,4.210040824953467
Bank_Customer_Churn,BetaTabPFN_GPU,6666,3334,0.19668822709708855,0.3224357988793949,0.008314254693686962,0.01718878373503685,0.8674265146255493,1.0012201890349388
Bioresponse,BetaTabPFN_GPU,2500,1251,0.3129376477411845,0.47656430371010267,0.02549043297767639,0.04068298265337944,0.7657873630523682,1.0747438441030681
Diabetes130US,BetaTabPFN_GPU,47678,23840,0.15487338848423798,0.28305529961769943,0.004438020288944244,0.005396920256316662,0.9119966626167297,8.035997373051941
E-CommereShippingData,BetaTabPFN_GPU,7332,3667,0.3548273349873238,0.4962380551084656,0.016774997115135193,0.018320495262742043,0.6913008093833923,1.3196392776444554
